vec3(-8.425787, 0.000000, -22.228371)
vec4(-1.119887, -0.898700, -18.543770, 1.000000)
vec4(-1.119887, -1.002300, -18.544571, 1.000000)
vec4(-1.114387, -1.074000, -18.970570, 1.000000)
vec4(-1.119887, -1.106200, -18.545370, 1.000000)
vec4(0.159913, -1.390500, -16.445570, 1.000000)
vec4(-1.114387, -1.175300, -18.971470, 1.000000)
vec4(-1.119887, -1.210300, -18.546270, 1.000000)
vec4(0.157413, -1.468600, -17.018372, 1.000000)
vec4(0.159813, -1.520800, -16.446571, 1.000000)
vec4(-1.114387, -1.276900, -18.972271, 1.000000)
vec4(-1.119787, -1.314700, -18.547070, 1.000000)
vec4(0.157413, -1.595000, -17.019371, 1.000000)
vec4(0.148113, -1.649300, -16.458370, 1.000000)
vec4(-1.114387, -1.378700, -18.973070, 1.000000)
vec4(-1.119787, -1.419400, -18.547970, 1.000000)
vec4(0.157413, -1.721800, -17.020470, 1.000000)
vec4(0.159813, -1.782600, -16.448771, 1.000000)
vec4(-1.114387, -1.481000, -18.973970, 1.000000)
vec4(-1.119787, -1.524500, -18.548870, 1.000000)
vec4(0.157413, -1.849100, -17.021471, 1.000000)
vec4(0.159813, -1.914200, -16.449871, 1.000000)
vec4(-1.109187, -1.541700, -19.377972, 1.000000)
vec4(-1.114387, -1.583500, -18.974770, 1.000000)
vec4(-1.119787, -1.629900, -18.549671, 1.000000)
vec4(0.157413, -1.976800, -17.022572, 1.000000)
vec4(0.159813, -2.046200, -16.450970, 1.000000)
vec4(-1.109187, -1.642100, -19.378771, 1.000000)
vec4(-1.114387, -1.686500, -18.975571, 1.000000)
vec4(-1.119787, -1.735700, -18.550571, 1.000000)
vec4(0.157313, -2.105000, -17.023571, 1.000000)
vec4(0.159813, -2.178700, -16.452070, 1.000000)
vec4(-1.109187, -1.742900, -19.379671, 1.000000)
vec4(-1.114387, -1.789900, -18.976471, 1.000000)
vec4(-1.119787, -1.842000, -18.551371, 1.000000)
vec4(0.157313, -2.233600, -17.024670, 1.000000)
vec4(0.148113, -2.308600, -16.463671, 1.000000)
vec4(-1.109187, -1.844100, -19.380470, 1.000000)
vec4(-1.114387, -1.893700, -18.977270, 1.000000)
vec4(-1.119787, -1.948700, -18.552271, 1.000000)
vec4(0.093713, -2.345400, -17.079071, 1.000000)
vec4(-0.190987, -2.345400, -16.771870, 1.000000)
vec4(-1.109187, -1.945800, -19.381271, 1.000000)
vec4(-1.114287, -1.998000, -18.978170, 1.000000)
vec4(-1.119787, -2.055900, -18.553171, 1.000000)
vec4(-0.349987, -2.345400, -17.452471, 1.000000)
vec4(-0.619487, -2.345400, -17.160870, 1.000000)
vec4(-1.109187, -2.048000, -19.382172, 1.000000)
vec4(-1.114287, -2.102800, -18.978970, 1.000000)
vec4(-1.119787, -2.163700, -18.554070, 1.000000)
vec4(-0.751687, -2.345400, -17.790470, 1.000000)
vec4(-1.007387, -2.345400, -17.512970, 1.000000)
vec4(-1.109187, -2.150700, -19.382971, 1.000000)
vec4(-1.114287, -2.208200, -18.979870, 1.000000)
vec4(-1.119687, -2.271900, -18.554871, 1.000000)
vec4(-1.116987, -2.345400, -18.097870, 1.000000)
vec4(-1.360187, -2.345400, -17.833271, 1.000000)
vec4(-1.109187, -2.253900, -19.383770, 1.000000)
vec4(-1.114287, -2.314100, -18.980770, 1.000000)
vec4(-1.228287, -2.345400, -18.640070, 1.000000)
vec4(-1.450887, -2.345400, -18.378771, 1.000000)
vec4(-1.682687, -2.345400, -18.126070, 1.000000)
vec4(-1.147487, -2.345400, -19.410070, 1.000000)
vec4(-1.341387, -2.345400, -19.144470, 1.000000)
vec4(-1.544687, -2.345400, -18.886570, 1.000000)
vec4(-1.757187, -2.345400, -18.636471, 1.000000)
