vec3(0.003617, 0.000000, 1.984346)
vec4(-1.197483, -2.405900, -19.240253, 1.000000)
vec4(-0.473483, -2.405900, -19.272554, 1.000000)
vec4(0.251117, -2.405900, -19.277454, 1.000000)
vec4(0.975517, -2.405900, -19.254953, 1.000000)
vec4(-1.760383, -2.405900, -17.594553, 1.000000)
vec4(-1.097983, -2.405900, -17.649153, 1.000000)
vec4(-0.433983, -2.405900, -17.678654, 1.000000)
vec4(0.230617, -2.405900, -17.683153, 1.000000)
vec4(0.895017, -2.405900, -17.662453, 1.000000)
vec4(1.558217, -2.405900, -17.616854, 1.000000)
vec4(-1.013583, -2.405900, -16.297453, 1.000000)
vec4(-0.400483, -2.405900, -16.324654, 1.000000)
vec4(0.213317, -2.405900, -16.328754, 1.000000)
vec4(0.826717, -2.405900, -16.309753, 1.000000)
