vec3(-25.685833, 0.000000, -264.189209)
vec4(-50.376076, 2.919800, -311.248108, 1.000000)
vec4(-48.969677, 3.057100, -314.876709, 1.000000)
vec4(-55.809380, 4.064600, -314.870087, 1.000000)
vec4(-49.174179, 3.203600, -315.920898, 1.000000)
vec4(-54.619278, 3.908300, -315.177185, 1.000000)
vec4(-53.983078, 3.866500, -315.759888, 1.000000)
vec4(-53.359978, 3.831000, -316.331207, 1.000000)
vec4(-54.568577, 4.203000, -318.257111, 1.000000)
vec4(-45.939575, 2.987200, -317.296509, 1.000000)
vec4(-46.583977, 3.334400, -319.271484, 1.000000)
vec4(-47.336777, 3.759100, -321.676086, 1.000000)
vec4(-46.492176, 3.701900, -321.831604, 1.000000)
vec4(-54.031876, 6.654400, -336.791290, 1.000000)
vec4(-47.811577, 2.984600, -315.574799, 1.000000)
vec4(-50.089676, 5.616900, -332.242004, 1.000000)
vec4(-48.194977, 3.193300, -316.871399, 1.000000)
vec4(-47.332375, 3.097000, -316.935791, 1.000000)
vec4(-47.321777, 4.912800, -329.159607, 1.000000)
vec4(-45.791676, 2.811600, -316.136200, 1.000000)
vec4(-46.150879, 4.815700, -329.078796, 1.000000)
vec4(-45.687576, 8.510800, -351.065887, 1.000000)
vec4(-45.950378, 5.189200, -331.436798, 1.000000)
vec4(-46.521576, 11.157300, -366.165283, 1.000000)
vec4(-45.443375, 5.483800, -333.389008, 1.000000)
vec4(-48.621475, 8.151200, -348.218811, 1.000000)
vec4(-47.333878, 8.426500, -350.188812, 1.000000)
vec4(-12.735577, 9.721100, -354.059906, 1.000000)
vec4(3.118122, 10.718600, -350.765106, 1.000000)
vec4(5.072224, 10.777000, -349.527405, 1.000000)
vec4(22.640121, 12.594000, -345.252411, 1.000000)
vec4(25.113022, 12.796300, -343.665283, 1.000000)
vec4(19.650723, 13.077000, -353.356384, 1.000000)
vec4(-28.156677, 1.515100, -308.401886, 1.000000)
vec4(-26.709377, 1.708100, -308.001495, 1.000000)
vec4(-14.993076, 4.137700, -315.300812, 1.000000)
vec4(-26.708378, 1.680500, -307.608307, 1.000000)
vec4(-26.710476, 1.739200, -308.408508, 1.000000)
vec4(-26.707376, 1.656000, -307.226898, 1.000000)
vec4(-28.131376, 1.329000, -305.497192, 1.000000)
vec4(-26.706478, 1.634500, -306.855988, 1.000000)
vec4(-28.148678, 1.316500, -305.207092, 1.000000)
vec4(-26.705477, 1.615800, -306.493988, 1.000000)
