vec3(-11.732243, 0.000000, -137.312637)
vec4(-36.422489, 2.919800, -184.371506, 1.000000)
vec4(-41.855789, 4.064600, -187.993515, 1.000000)
vec4(-40.665688, 3.908300, -188.300613, 1.000000)
vec4(-40.029488, 3.866500, -188.883316, 1.000000)
vec4(-39.406387, 3.831000, -189.454620, 1.000000)
vec4(-40.614990, 4.203000, -191.380508, 1.000000)
vec4(-35.016090, 3.057100, -188.000107, 1.000000)
vec4(-35.220589, 3.203600, -189.044312, 1.000000)
vec4(-33.857986, 2.984600, -188.698212, 1.000000)
vec4(-34.241386, 3.193300, -189.994812, 1.000000)
vec4(-33.378788, 3.097000, -190.059219, 1.000000)
vec4(-31.838089, 2.811600, -189.259613, 1.000000)
vec4(-31.985989, 2.987200, -190.419907, 1.000000)
vec4(-32.630386, 3.334400, -192.394913, 1.000000)
vec4(-33.383186, 3.759100, -194.799515, 1.000000)
vec4(-32.538589, 3.701900, -194.955017, 1.000000)
vec4(-40.078289, 6.654400, -209.914703, 1.000000)
vec4(-36.136089, 5.616900, -205.365417, 1.000000)
vec4(-31.733990, 8.510800, -224.189316, 1.000000)
vec4(-33.368187, 4.912800, -202.283020, 1.000000)
vec4(-32.567989, 11.157300, -239.288712, 1.000000)
vec4(-32.197289, 4.815700, -202.202209, 1.000000)
vec4(-31.996788, 5.189200, -204.560211, 1.000000)
vec4(-31.489788, 5.483800, -206.512421, 1.000000)
vec4(-34.667889, 8.151200, -221.342209, 1.000000)
vec4(-33.380287, 8.426500, -223.312210, 1.000000)
vec4(1.218012, 9.721100, -227.183319, 1.000000)
vec4(17.071711, 10.718600, -223.888519, 1.000000)
vec4(19.025812, 10.777000, -222.650818, 1.000000)
vec4(36.593712, 12.594000, -218.375809, 1.000000)
vec4(39.066612, 12.796300, -216.788712, 1.000000)
vec4(33.604309, 13.077000, -226.479813, 1.000000)
vec4(-14.203089, 1.515100, -181.525314, 1.000000)
vec4(-12.755789, 1.708100, -181.124908, 1.000000)
vec4(-12.754788, 1.680500, -180.731720, 1.000000)
vec4(-1.039488, 4.137700, -188.424210, 1.000000)
vec4(-12.753788, 1.656000, -180.350311, 1.000000)
vec4(-12.756888, 1.739200, -181.531906, 1.000000)
vec4(-12.752889, 1.634500, -179.979416, 1.000000)
vec4(-14.177788, 1.329000, -178.620605, 1.000000)
vec4(-12.751888, 1.615800, -179.617416, 1.000000)
vec4(-14.170788, 1.341700, -178.914017, 1.000000)
vec4(-14.195088, 1.316500, -178.330505, 1.000000)
vec4(-14.194388, 1.309300, -178.047714, 1.000000)
vec4(-14.191488, 1.299000, -176.935013, 1.000000)
vec4(-14.190788, 1.301000, -176.657516, 1.000000)
vec4(-14.193688, 1.303900, -177.767517, 1.000000)
vec4(-14.190088, 1.304900, -176.378708, 1.000000)
vec4(-14.192988, 1.300400, -177.489212, 1.000000)
vec4(-14.189288, 1.310700, -176.097717, 1.000000)
vec4(-14.192188, 1.298800, -177.212006, 1.000000)
vec4(-14.188588, 1.318400, -175.813919, 1.000000)
vec4(-14.159389, 1.344900, -175.226807, 1.000000)
vec4(-14.168188, 1.331600, -175.522018, 1.000000)
vec4(-12.738688, 1.619700, -174.510513, 1.000000)
vec4(-12.737688, 1.639100, -174.145813, 1.000000)
vec4(-12.733688, 1.746800, -172.577408, 1.000000)
vec4(-12.736789, 1.661200, -173.771713, 1.000000)
vec4(-12.732589, 1.782500, -172.149307, 1.000000)
vec4(-12.735788, 1.686400, -173.386719, 1.000000)
vec4(-0.977488, 4.250600, -164.511719, 1.000000)
vec4(-12.734689, 1.714800, -172.989212, 1.000000)
vec4(-14.167488, 1.562600, -172.190109, 1.000000)
vec4(-10.519188, 2.540400, -167.814819, 1.000000)
vec4(-8.786388, 2.772300, -167.902512, 1.000000)
vec4(-11.323889, 2.433800, -167.812805, 1.000000)
vec4(-12.064689, 2.338800, -167.810806, 1.000000)
vec4(-9.639688, 2.660800, -167.817108, 1.000000)
vec4(-12.750988, 2.254100, -167.809113, 1.000000)
vec4(-13.777988, 2.275700, -166.776810, 1.000000)
vec4(-13.390188, 2.178300, -167.807419, 1.000000)
vec4(-13.775788, 2.397700, -165.922607, 1.000000)
vec4(-13.773289, 2.537200, -164.970108, 1.000000)
vec4(-13.779988, 2.168500, -167.549316, 1.000000)
vec4(-13.811388, 2.684000, -163.967606, 1.000000)
vec4(-13.824389, 3.338000, -159.784409, 1.000000)
vec4(-13.705288, 2.908200, -162.564117, 1.000000)
vec4(-13.777689, 3.099300, -161.304413, 1.000000)
