vec3(-2.091868, 0.000000, -21.000399)
vec4(1.518332, -2.302600, -16.877998, 1.000000)
vec4(1.820332, -2.302600, -17.379599, 1.000000)
vec4(1.606032, -2.302600, -17.236599, 1.000000)
vec4(1.882832, -2.302600, -17.724798, 1.000000)
vec4(1.681432, -2.302600, -17.579199, 1.000000)
vec4(1.474732, -2.302600, -17.441299, 1.000000)
vec4(1.934532, -2.302600, -18.054899, 1.000000)
vec4(1.745432, -2.302600, -17.907099, 1.000000)
vec4(1.551032, -2.302600, -17.766499, 1.000000)
vec4(1.799031, -2.302600, -18.221399, 1.000000)
vec4(1.616332, -2.302600, -18.078598, 1.000000)
vec4(1.428432, -2.302600, -17.942699, 1.000000)
vec4(1.842632, -2.302600, -18.522999, 1.000000)
vec4(1.671332, -2.302600, -18.378300, 1.000000)
vec4(1.494632, -2.302600, -18.240099, 1.000000)
vec4(1.716532, -2.302600, -18.666498, 1.000000)
vec4(1.550732, -2.302600, -18.526398, 1.000000)
vec4(1.752732, -2.302600, -18.943798, 1.000000)
vec4(1.597332, -2.302600, -18.802198, 1.000000)
vec4(1.436632, -2.302600, -18.666599, 1.000000)
vec4(1.634932, -2.302600, -19.068098, 1.000000)
vec4(1.484232, -2.302600, -18.930899, 1.000000)
vec4(1.523132, -2.302600, -19.186098, 1.000000)
vec4(1.416831, -2.302600, -19.298298, 1.000000)
