vec3(-7.334176, 0.000000, -17.631531)
vec4(0.029725, -0.435100, -18.346830, 1.000000)
vec4(0.030425, -0.438400, -18.059132, 1.000000)
vec4(0.031224, -0.442400, -17.766830, 1.000000)
vec4(0.032924, -0.515400, -18.630230, 1.000000)
vec4(0.029725, -0.518300, -18.346830, 1.000000)
vec4(0.030425, -0.522200, -18.059231, 1.000000)
vec4(0.031224, -0.527000, -17.766830, 1.000000)
vec4(0.032024, -0.532600, -17.468731, 1.000000)
vec4(0.032924, -0.598200, -18.630230, 1.000000)
vec4(0.029725, -0.601600, -18.346931, 1.000000)
vec4(0.030425, -0.606100, -18.059231, 1.000000)
vec4(0.031224, -0.611600, -17.766830, 1.000000)
vec4(0.032024, -0.618100, -17.468731, 1.000000)
vec4(0.037324, -0.626000, -17.162430, 1.000000)
vec4(0.028224, -0.677700, -18.911732, 1.000000)
vec4(0.032924, -0.681200, -18.630230, 1.000000)
vec4(0.029725, -0.685000, -18.346931, 1.000000)
vec4(0.030425, -0.690200, -18.059231, 1.000000)
vec4(0.031224, -0.696500, -17.766830, 1.000000)
vec4(0.032024, -0.703800, -17.468830, 1.000000)
vec4(0.039225, -0.713000, -17.161831, 1.000000)
vec4(0.028224, -0.760500, -18.911732, 1.000000)
vec4(0.032924, -0.764400, -18.630331, 1.000000)
vec4(0.029725, -0.768600, -18.346931, 1.000000)
vec4(0.030425, -0.774400, -18.059330, 1.000000)
vec4(0.031224, -0.781500, -17.766932, 1.000000)
vec4(0.032024, -0.789700, -17.468830, 1.000000)
vec4(0.041024, -0.800200, -17.161230, 1.000000)
vec4(0.049924, -0.812100, -16.845230, 1.000000)
vec4(0.027524, -0.840700, -19.190531, 1.000000)
vec4(0.028224, -0.843400, -18.911732, 1.000000)
vec4(0.032924, -0.847800, -18.630331, 1.000000)
vec4(0.029725, -0.852400, -18.347031, 1.000000)
vec4(0.030425, -0.858900, -18.059330, 1.000000)
vec4(0.031224, -0.866600, -17.766932, 1.000000)
vec4(0.032024, -0.875800, -17.468830, 1.000000)
vec4(0.042924, -0.887600, -17.160631, 1.000000)
vec4(0.051825, -0.900800, -16.844530, 1.000000)
vec4(0.027524, -0.923600, -19.190630, 1.000000)
vec4(0.028224, -0.926500, -18.911831, 1.000000)
vec4(0.032924, -0.931300, -18.630331, 1.000000)
vec4(0.029725, -0.936500, -18.347031, 1.000000)
vec4(0.030425, -0.943500, -18.059330, 1.000000)
vec4(0.031224, -0.952000, -17.766932, 1.000000)
vec4(0.032024, -0.962100, -17.468931, 1.000000)
vec4(0.044825, -0.975300, -17.160030, 1.000000)
vec4(0.053625, -0.989800, -16.843830, 1.000000)
vec4(0.027524, -1.006700, -19.190630, 1.000000)
vec4(0.028224, -1.009900, -18.911831, 1.000000)
vec4(0.032924, -1.015100, -18.630331, 1.000000)
vec4(0.029725, -1.020700, -18.347031, 1.000000)
vec4(0.030425, -1.028400, -18.059330, 1.000000)
vec4(0.031224, -1.037700, -17.767031, 1.000000)
vec4(0.032024, -1.048600, -17.468931, 1.000000)
vec4(0.046724, -1.063300, -17.159431, 1.000000)
vec4(0.055524, -1.079000, -16.843231, 1.000000)
vec4(0.056624, -1.095600, -16.520330, 1.000000)
vec4(0.026824, -1.088200, -19.468130, 1.000000)
vec4(0.027524, -1.090100, -19.190630, 1.000000)
vec4(0.028224, -1.093600, -18.911831, 1.000000)
vec4(0.032924, -1.099200, -18.630430, 1.000000)
vec4(0.029725, -1.105200, -18.347130, 1.000000)
vec4(0.030425, -1.113500, -18.059431, 1.000000)
vec4(0.031224, -1.123600, -17.767031, 1.000000)
vec4(0.032024, -1.135400, -17.468931, 1.000000)
vec4(0.048625, -1.151600, -17.158831, 1.000000)
