vec3(-33.918736, 0.000000, -340.801758)
vec4(-58.608990, 2.919800, -387.860657, 1.000000)
vec4(-57.202591, 3.057100, -391.489258, 1.000000)
vec4(-64.042290, 4.064600, -391.482635, 1.000000)
vec4(-62.852188, 3.908300, -391.789734, 1.000000)
vec4(-57.407089, 3.203600, -392.533447, 1.000000)
vec4(-62.215988, 3.866500, -392.372437, 1.000000)
vec4(-56.044491, 2.984600, -392.187347, 1.000000)
vec4(-61.592892, 3.831000, -392.943756, 1.000000)
vec4(-62.801491, 4.203000, -394.869659, 1.000000)
vec4(-56.427891, 3.193300, -393.483948, 1.000000)
vec4(-54.172493, 2.987200, -393.909058, 1.000000)
vec4(-55.565292, 3.097000, -393.548340, 1.000000)
vec4(-54.816891, 3.334400, -395.884033, 1.000000)
vec4(-54.024590, 2.811600, -392.748749, 1.000000)
vec4(-55.569691, 3.759100, -398.288635, 1.000000)
vec4(-54.725090, 3.701900, -398.444153, 1.000000)
vec4(-55.554691, 4.912800, -405.772156, 1.000000)
vec4(-62.264793, 6.654400, -413.403839, 1.000000)
vec4(-54.383789, 4.815700, -405.691345, 1.000000)
vec4(-58.322590, 5.616900, -408.854553, 1.000000)
vec4(-54.183289, 5.189200, -408.049347, 1.000000)
vec4(-53.920490, 8.510800, -427.678436, 1.000000)
vec4(-53.676292, 5.483800, -410.001556, 1.000000)
vec4(-54.754490, 11.157300, -442.777832, 1.000000)
vec4(-56.854393, 8.151200, -424.831360, 1.000000)
vec4(-55.566792, 8.426500, -426.801361, 1.000000)
vec4(-20.968491, 9.721100, -430.672455, 1.000000)
vec4(-5.114792, 10.718600, -427.377655, 1.000000)
vec4(-3.160690, 10.777000, -426.139954, 1.000000)
vec4(14.407207, 12.594000, -421.864960, 1.000000)
vec4(11.417809, 13.077000, -429.968933, 1.000000)
vec4(16.880108, 12.796300, -420.277832, 1.000000)
vec4(-34.942291, 1.708100, -384.614044, 1.000000)
vec4(-36.389591, 1.515100, -385.014435, 1.000000)
vec4(-34.941292, 1.680500, -384.220856, 1.000000)
vec4(-34.940292, 1.656000, -383.839447, 1.000000)
vec4(-34.939392, 1.634500, -383.468536, 1.000000)
vec4(-23.225990, 4.137700, -391.913361, 1.000000)
vec4(-34.938393, 1.615800, -383.106537, 1.000000)
vec4(-36.357292, 1.341700, -382.403137, 1.000000)
vec4(-34.943390, 1.739200, -385.021057, 1.000000)
vec4(-36.364292, 1.329000, -382.109741, 1.000000)
vec4(-36.377991, 1.299000, -380.424133, 1.000000)
