vec3(-3.749173, 0.000000, -19.694077)
vec4(1.224127, -1.258700, -17.510178, 1.000000)
vec4(1.087927, -1.265200, -17.303577, 1.000000)
vec4(1.092627, -1.298300, -17.620777, 1.000000)
vec4(0.907527, -1.290500, -17.467377, 1.000000)
vec4(0.843727, -1.318900, -17.198875, 1.000000)
vec4(1.118727, -1.378900, -17.598877, 1.000000)
vec4(0.890427, -1.358300, -17.482977, 1.000000)
vec4(0.889227, -1.407000, -17.154377, 1.000000)
vec4(1.123227, -1.454300, -17.595177, 1.000000)
vec4(0.892527, -1.431800, -17.480976, 1.000000)
vec4(0.887427, -1.482000, -17.156076, 1.000000)
vec4(1.127727, -1.530100, -17.591377, 1.000000)
vec4(0.894727, -1.505800, -17.479076, 1.000000)
vec4(0.886027, -1.557400, -17.157476, 1.000000)
vec4(1.132227, -1.606500, -17.587576, 1.000000)
vec4(0.896927, -1.580200, -17.477177, 1.000000)
vec4(1.136827, -1.683400, -17.583776, 1.000000)
vec4(0.899127, -1.655100, -17.475176, 1.000000)
vec4(1.141427, -1.761000, -17.579977, 1.000000)
vec4(0.901327, -1.730600, -17.473276, 1.000000)
vec4(1.146127, -1.839200, -17.575977, 1.000000)
vec4(0.903527, -1.806600, -17.471277, 1.000000)
vec4(1.151027, -1.918100, -17.571976, 1.000000)
vec4(0.906127, -1.883200, -17.468977, 1.000000)
vec4(1.155927, -1.997700, -17.567877, 1.000000)
vec4(0.910227, -1.961100, -17.465277, 1.000000)
vec4(1.860327, -2.302600, -17.324877, 1.000000)
vec4(1.160927, -2.078000, -17.563677, 1.000000)
vec4(0.914327, -2.039700, -17.461475, 1.000000)
vec4(1.331827, -2.302600, -16.721478, 1.000000)
vec4(1.141027, -2.302600, -16.533978, 1.000000)
vec4(0.943227, -2.302600, -16.353977, 1.000000)
vec4(0.738827, -2.302600, -16.181377, 1.000000)
vec4(1.956927, -2.302600, -17.902477, 1.000000)
vec4(1.810027, -2.302600, -17.690678, 1.000000)
vec4(1.655227, -2.302600, -17.484577, 1.000000)
vec4(1.165927, -2.159000, -17.559477, 1.000000)
vec4(0.918527, -2.119000, -17.457777, 1.000000)
vec4(1.146127, -2.302600, -16.903175, 1.000000)
vec4(0.962227, -2.302600, -16.722677, 1.000000)
vec4(0.771727, -2.302600, -16.549177, 1.000000)
vec4(0.574827, -2.302600, -16.382877, 1.000000)
vec4(0.371827, -2.302600, -16.224176, 1.000000)
vec4(0.163027, -2.302600, -16.073277, 1.000000)
vec4(1.888127, -2.302600, -18.246677, 1.000000)
vec4(1.754227, -2.302600, -18.037176, 1.000000)
vec4(1.612527, -2.302600, -17.832977, 1.000000)
vec4(1.463327, -2.302600, -17.634176, 1.000000)
vec4(1.169627, -2.240200, -17.556377, 1.000000)
vec4(0.922627, -2.198900, -17.454077, 1.000000)
vec4(0.972227, -2.302600, -17.073376, 1.000000)
vec4(0.794927, -2.302600, -16.899277, 1.000000)
vec4(0.611227, -2.302600, -16.731876, 1.000000)
vec4(0.421327, -2.302600, -16.571577, 1.000000)
vec4(0.225527, -2.302600, -16.418476, 1.000000)
vec4(0.024127, -2.302600, -16.272877, 1.000000)
vec4(-0.182573, -2.302600, -16.134975, 1.000000)
vec4(1.814827, -2.302600, -18.572777, 1.000000)
vec4(1.693227, -2.302600, -18.365877, 1.000000)
vec4(1.564027, -2.302600, -18.163576, 1.000000)
vec4(1.427227, -2.302600, -17.966377, 1.000000)
vec4(1.283127, -2.302600, -17.774477, 1.000000)
vec4(1.131927, -2.302600, -17.588078, 1.000000)
vec4(0.924127, -2.278400, -17.452776, 1.000000)
vec4(0.809127, -2.302600, -17.233076, 1.000000)
vec4(0.637927, -2.302600, -17.064976, 1.000000)
vec4(0.460527, -2.302600, -16.903378, 1.000000)
vec4(0.277227, -2.302600, -16.748577, 1.000000)
vec4(0.088127, -2.302600, -16.600777, 1.000000)
vec4(-0.106273, -2.302600, -16.460176, 1.000000)
vec4(1.737427, -2.302600, -18.882177, 1.000000)
vec4(1.627527, -2.302600, -18.677977, 1.000000)
vec4(1.510027, -2.302600, -18.477976, 1.000000)
vec4(1.385127, -2.302600, -18.282476, 1.000000)
vec4(1.253027, -2.302600, -18.091976, 1.000000)
vec4(1.113727, -2.302600, -17.906477, 1.000000)
vec4(0.967627, -2.302600, -17.726376, 1.000000)
vec4(0.814927, -2.302600, -17.551876, 1.000000)
vec4(0.655727, -2.302600, -17.383276, 1.000000)
vec4(0.490227, -2.302600, -17.220776, 1.000000)
vec4(0.318827, -2.302600, -17.064676, 1.000000)
vec4(0.141727, -2.302600, -16.915077, 1.000000)
vec4(-0.040973, -2.302600, -16.772276, 1.000000)
vec4(-0.228873, -2.302600, -16.636375, 1.000000)
