vec3(-5.947555, 0.000000, -18.290977)
vec4(1.418645, -1.048600, -18.128378, 1.000000)
vec4(1.433345, -1.063300, -17.818878, 1.000000)
vec4(1.417845, -1.123600, -18.426477, 1.000000)
vec4(1.418645, -1.135400, -18.128378, 1.000000)
vec4(1.435245, -1.151600, -17.818277, 1.000000)
vec4(1.443945, -1.168600, -17.501978, 1.000000)
vec4(1.417045, -1.199000, -18.718878, 1.000000)
vec4(1.417845, -1.209700, -18.426477, 1.000000)
vec4(1.418645, -1.222500, -18.128477, 1.000000)
vec4(1.437145, -1.240200, -17.817677, 1.000000)
vec4(1.445845, -1.258600, -17.501278, 1.000000)
vec4(1.417045, -1.284700, -18.718878, 1.000000)
vec4(1.417845, -1.296200, -18.426577, 1.000000)
vec4(1.418645, -1.309900, -18.128477, 1.000000)
vec4(1.439045, -1.329200, -17.817078, 1.000000)
vec4(1.447745, -1.348800, -17.500677, 1.000000)
vec4(1.448945, -1.369600, -17.177578, 1.000000)
vec4(1.417045, -1.370700, -18.718977, 1.000000)
vec4(1.417845, -1.383000, -18.426577, 1.000000)
vec4(1.418645, -1.397600, -18.128477, 1.000000)
vec4(1.440245, -1.418500, -17.816677, 1.000000)
vec4(1.446945, -1.439000, -17.500977, 1.000000)
vec4(1.447245, -1.460900, -17.178278, 1.000000)
vec4(1.416345, -1.446300, -19.006678, 1.000000)
vec4(1.417045, -1.457100, -18.718977, 1.000000)
vec4(1.417845, -1.470200, -18.426577, 1.000000)
vec4(1.418645, -1.485700, -18.128578, 1.000000)
vec4(1.440245, -1.507900, -17.816778, 1.000000)
vec4(1.444245, -1.529100, -17.501978, 1.000000)
vec4(1.444445, -1.552400, -17.179478, 1.000000)
vec4(1.416345, -1.532400, -19.006678, 1.000000)
vec4(1.417045, -1.543900, -18.718977, 1.000000)
vec4(1.417845, -1.557700, -18.426678, 1.000000)
vec4(1.418645, -1.574100, -18.128578, 1.000000)
vec4(1.440245, -1.597600, -17.816778, 1.000000)
vec4(1.441545, -1.619500, -17.503078, 1.000000)
vec4(1.441645, -1.644200, -17.180677, 1.000000)
vec4(1.427745, -1.668800, -16.854477, 1.000000)
vec4(1.416345, -1.618900, -19.006678, 1.000000)
vec4(1.417045, -1.631000, -18.719078, 1.000000)
vec4(1.417845, -1.645700, -18.426678, 1.000000)
vec4(1.418645, -1.663000, -18.128578, 1.000000)
vec4(1.438545, -1.687400, -17.817377, 1.000000)
vec4(1.438745, -1.710300, -17.504177, 1.000000)
vec4(1.438845, -1.736300, -17.181877, 1.000000)
vec4(1.425045, -1.762300, -16.855778, 1.000000)
vec4(1.416345, -1.705800, -19.006777, 1.000000)
vec4(1.417045, -1.718600, -18.719078, 1.000000)
vec4(1.417845, -1.734000, -18.426678, 1.000000)
vec4(1.418645, -1.752200, -18.128677, 1.000000)
vec4(1.435845, -1.777300, -17.818277, 1.000000)
vec4(1.436045, -1.801400, -17.505177, 1.000000)
vec4(1.436045, -1.828800, -17.183178, 1.000000)
vec4(1.422345, -1.856200, -16.857077, 1.000000)
vec4(1.416345, -1.793200, -19.006777, 1.000000)
vec4(1.417045, -1.806600, -18.719078, 1.000000)
vec4(1.417845, -1.822800, -18.426777, 1.000000)
vec4(1.418645, -1.842000, -18.128677, 1.000000)
vec4(1.433145, -1.867700, -17.819277, 1.000000)
vec4(1.433245, -1.893000, -17.506277, 1.000000)
vec4(1.433245, -1.921700, -17.184378, 1.000000)
vec4(1.421945, -1.951200, -16.857378, 1.000000)
vec4(1.415645, -1.869800, -19.290678, 1.000000)
vec4(1.416345, -1.881000, -19.006777, 1.000000)
vec4(1.417045, -1.895100, -18.719177, 1.000000)
vec4(1.417845, -1.912100, -18.426777, 1.000000)
vec4(1.418645, -1.932200, -18.128677, 1.000000)
vec4(1.430345, -1.958400, -17.820177, 1.000000)
vec4(1.430445, -1.984900, -17.507378, 1.000000)
vec4(1.430345, -2.015000, -17.185577, 1.000000)
vec4(1.421945, -2.046700, -16.857378, 1.000000)
vec4(1.415645, -1.957600, -19.290678, 1.000000)
vec4(1.416345, -1.969400, -19.006878, 1.000000)
vec4(1.417045, -1.984100, -18.719177, 1.000000)
vec4(1.417845, -2.001900, -18.426777, 1.000000)
vec4(1.418645, -2.022900, -18.128777, 1.000000)
vec4(1.427645, -2.049600, -17.821178, 1.000000)
vec4(1.427645, -2.077300, -17.508478, 1.000000)
vec4(1.427545, -2.108800, -17.186878, 1.000000)
vec4(1.421945, -2.142800, -16.857378, 1.000000)
vec4(1.415645, -2.045900, -19.290678, 1.000000)
vec4(1.416345, -2.058200, -19.006878, 1.000000)
vec4(1.417045, -2.073600, -18.719177, 1.000000)
vec4(1.417845, -2.092200, -18.426878, 1.000000)
vec4(1.418645, -2.114100, -18.128777, 1.000000)
vec4(1.424845, -2.141200, -17.822178, 1.000000)
vec4(1.424845, -2.170200, -17.509577, 1.000000)
vec4(1.424645, -2.203100, -17.188078, 1.000000)
vec4(1.421945, -2.239400, -16.857477, 1.000000)
vec4(1.415645, -2.134800, -19.290777, 1.000000)
vec4(1.416345, -2.147600, -19.006878, 1.000000)
vec4(1.417045, -2.163600, -18.719278, 1.000000)
vec4(1.417845, -2.183100, -18.426878, 1.000000)
vec4(1.418645, -2.206000, -18.128777, 1.000000)
vec4(1.422045, -2.233300, -17.823078, 1.000000)
vec4(1.421945, -2.263500, -17.510677, 1.000000)
vec4(1.421745, -2.297800, -17.189278, 1.000000)
vec4(1.451145, -2.345900, -16.843878, 1.000000)
vec4(1.315845, -2.345900, -16.568178, 1.000000)
vec4(1.415645, -2.224200, -19.290777, 1.000000)
vec4(1.416345, -2.237600, -19.006977, 1.000000)
vec4(1.417045, -2.254300, -18.719278, 1.000000)
vec4(1.417845, -2.274500, -18.426878, 1.000000)
vec4(1.418645, -2.298300, -18.128878, 1.000000)
vec4(1.482345, -2.345900, -17.802979, 1.000000)
vec4(1.383045, -2.345900, -17.525377, 1.000000)
vec4(1.273545, -2.345900, -17.251778, 1.000000)
vec4(1.153745, -2.345900, -16.982477, 1.000000)
vec4(1.023945, -2.345900, -16.717876, 1.000000)
vec4(0.884245, -2.345900, -16.458277, 1.000000)
vec4(0.734945, -2.345900, -16.204178, 1.000000)
vec4(1.415645, -2.314200, -19.290777, 1.000000)
vec4(1.472545, -2.345900, -18.997177, 1.000000)
vec4(1.418245, -2.345900, -18.719078, 1.000000)
vec4(1.353645, -2.345900, -18.443178, 1.000000)
vec4(1.278545, -2.345900, -18.169977, 1.000000)
