vec3(-23.380383, 0.000000, -242.972733)
vec4(-48.070621, 2.919800, -290.031647, 1.000000)
vec4(-53.503922, 4.064600, -293.653625, 1.000000)
vec4(-52.313820, 3.908300, -293.960724, 1.000000)
vec4(-51.677620, 3.866500, -294.543427, 1.000000)
vec4(-51.054523, 3.831000, -295.114746, 1.000000)
vec4(-52.263123, 4.203000, -297.040649, 1.000000)
vec4(-46.664223, 3.057100, -293.660248, 1.000000)
vec4(-46.868721, 3.203600, -294.704437, 1.000000)
vec4(-45.506123, 2.984600, -294.358337, 1.000000)
vec4(-45.889523, 3.193300, -295.654938, 1.000000)
vec4(-45.026924, 3.097000, -295.719330, 1.000000)
vec4(-43.486221, 2.811600, -294.919739, 1.000000)
vec4(-43.634125, 2.987200, -296.080048, 1.000000)
vec4(-44.278522, 3.334400, -298.055054, 1.000000)
vec4(-45.031322, 3.759100, -300.459625, 1.000000)
vec4(-44.186722, 3.701900, -300.615143, 1.000000)
vec4(-51.726425, 6.654400, -315.574829, 1.000000)
vec4(-47.784222, 5.616900, -311.025543, 1.000000)
vec4(-45.016323, 4.912800, -307.943146, 1.000000)
vec4(-43.845421, 4.815700, -307.862335, 1.000000)
vec4(-43.644920, 5.189200, -310.220337, 1.000000)
vec4(-43.137924, 5.483800, -312.172546, 1.000000)
vec4(-46.316025, 8.151200, -327.002350, 1.000000)
vec4(-45.028423, 8.426500, -328.972351, 1.000000)
vec4(-43.382122, 8.510800, -329.849426, 1.000000)
vec4(-44.216122, 11.157300, -344.948853, 1.000000)
vec4(-10.430122, 9.721100, -332.843445, 1.000000)
vec4(5.423576, 10.718600, -329.548645, 1.000000)
vec4(7.377678, 10.777000, -328.310944, 1.000000)
vec4(21.956177, 13.077000, -332.139954, 1.000000)
vec4(24.945576, 12.594000, -324.035950, 1.000000)
vec4(27.418476, 12.796300, -322.448853, 1.000000)
vec4(-25.851223, 1.515100, -287.185425, 1.000000)
vec4(-12.687622, 4.137700, -294.084351, 1.000000)
vec4(-24.405022, 1.739200, -287.192047, 1.000000)
vec4(-24.403923, 1.708100, -286.785034, 1.000000)
vec4(-24.402924, 1.680500, -286.391846, 1.000000)
vec4(-24.401922, 1.656000, -286.010437, 1.000000)
vec4(-24.401024, 1.634500, -285.639526, 1.000000)
vec4(-24.400023, 1.615800, -285.277527, 1.000000)
vec4(-25.818922, 1.341700, -284.574127, 1.000000)
vec4(-25.825922, 1.329000, -284.280731, 1.000000)
vec4(-25.843224, 1.316500, -283.990631, 1.000000)
vec4(-25.842522, 1.309300, -283.707825, 1.000000)
