vec3(-5.437024, 0.000000, -18.579996)
vec4(-0.595224, -1.298300, -16.506697, 1.000000)
vec4(-0.569124, -1.378900, -16.484797, 1.000000)
vec4(-0.564624, -1.454300, -16.481096, 1.000000)
vec4(-0.560124, -1.530100, -16.477295, 1.000000)
vec4(1.940876, -1.958400, -18.109196, 1.000000)
vec4(1.940976, -1.984900, -17.796396, 1.000000)
vec4(-0.555624, -1.606500, -16.473495, 1.000000)
vec4(-0.790924, -1.580200, -16.363096, 1.000000)
vec4(1.938176, -2.049600, -18.110195, 1.000000)
vec4(1.938176, -2.077300, -17.797497, 1.000000)
vec4(-0.551024, -1.683400, -16.469696, 1.000000)
vec4(-0.788724, -1.655100, -16.361095, 1.000000)
vec4(1.929176, -2.114100, -18.417797, 1.000000)
vec4(1.935376, -2.141200, -18.111197, 1.000000)
vec4(1.935376, -2.170200, -17.798595, 1.000000)
vec4(-0.546424, -1.761000, -16.465897, 1.000000)
vec4(-0.786524, -1.730600, -16.359196, 1.000000)
vec4(1.929176, -2.206000, -18.417797, 1.000000)
vec4(1.932576, -2.233300, -18.112097, 1.000000)
vec4(1.932476, -2.263500, -17.799696, 1.000000)
vec4(-0.541724, -1.839200, -16.461895, 1.000000)
vec4(-0.784324, -1.806600, -16.357197, 1.000000)
vec4(1.929176, -2.298300, -18.417896, 1.000000)
vec4(1.992876, -2.345900, -18.091995, 1.000000)
vec4(1.893576, -2.345900, -17.814396, 1.000000)
vec4(1.784076, -2.345900, -17.540796, 1.000000)
vec4(1.664276, -2.345900, -17.271496, 1.000000)
vec4(1.534476, -2.345900, -17.006897, 1.000000)
vec4(1.394776, -2.345900, -16.747295, 1.000000)
vec4(1.245476, -2.345900, -16.493196, 1.000000)
vec4(-0.536824, -1.918100, -16.457897, 1.000000)
vec4(-0.781724, -1.883200, -16.354897, 1.000000)
vec4(1.789076, -2.345900, -18.458996, 1.000000)
vec4(1.703876, -2.345900, -18.188797, 1.000000)
vec4(1.608576, -2.345900, -17.921997, 1.000000)
vec4(1.503276, -2.345900, -17.658997, 1.000000)
vec4(1.388176, -2.345900, -17.400196, 1.000000)
vec4(1.263376, -2.345900, -17.145796, 1.000000)
vec4(1.129176, -2.345900, -16.896397, 1.000000)
