vec3(-7.237226, 0.000000, -17.671312)
vec4(0.127374, -0.438400, -18.098913, 1.000000)
vec4(0.128173, -0.442400, -17.806612, 1.000000)
vec4(0.126674, -0.518300, -18.386612, 1.000000)
vec4(0.127374, -0.522200, -18.099012, 1.000000)
vec4(0.128173, -0.527000, -17.806612, 1.000000)
vec4(0.128973, -0.532600, -17.508512, 1.000000)
vec4(0.129873, -0.598200, -18.670012, 1.000000)
vec4(0.126674, -0.601600, -18.386713, 1.000000)
vec4(0.127374, -0.606100, -18.099012, 1.000000)
vec4(0.128173, -0.611600, -17.806612, 1.000000)
vec4(0.128973, -0.618100, -17.508512, 1.000000)
vec4(0.134274, -0.626000, -17.202213, 1.000000)
vec4(0.125174, -0.677700, -18.951511, 1.000000)
vec4(0.129873, -0.681200, -18.670012, 1.000000)
vec4(0.126674, -0.685000, -18.386713, 1.000000)
vec4(0.127374, -0.690200, -18.099012, 1.000000)
vec4(0.128173, -0.696500, -17.806612, 1.000000)
vec4(0.128973, -0.703800, -17.508612, 1.000000)
vec4(0.136174, -0.713000, -17.201612, 1.000000)
vec4(0.125174, -0.760500, -18.951511, 1.000000)
vec4(0.129873, -0.764400, -18.670113, 1.000000)
vec4(0.126674, -0.768600, -18.386713, 1.000000)
vec4(0.127374, -0.774400, -18.099112, 1.000000)
vec4(0.128173, -0.781500, -17.806713, 1.000000)
vec4(0.128973, -0.789700, -17.508612, 1.000000)
vec4(0.137973, -0.800200, -17.201012, 1.000000)
vec4(0.146873, -0.812100, -16.885012, 1.000000)
vec4(0.124474, -0.840700, -19.230312, 1.000000)
vec4(0.125174, -0.843400, -18.951511, 1.000000)
vec4(0.129873, -0.847800, -18.670113, 1.000000)
vec4(0.126674, -0.852400, -18.386812, 1.000000)
vec4(0.127374, -0.858900, -18.099112, 1.000000)
vec4(0.128173, -0.866600, -17.806713, 1.000000)
vec4(0.128973, -0.875800, -17.508612, 1.000000)
vec4(0.139874, -0.887600, -17.200413, 1.000000)
vec4(0.148774, -0.900800, -16.884312, 1.000000)
vec4(0.124474, -0.923600, -19.230412, 1.000000)
vec4(0.125174, -0.926500, -18.951612, 1.000000)
vec4(0.129873, -0.931300, -18.670113, 1.000000)
vec4(0.126674, -0.936500, -18.386812, 1.000000)
vec4(0.127374, -0.943500, -18.099112, 1.000000)
vec4(0.128173, -0.952000, -17.806713, 1.000000)
vec4(0.128973, -0.962100, -17.508713, 1.000000)
vec4(0.141774, -0.975300, -17.199812, 1.000000)
vec4(0.150574, -0.989800, -16.883612, 1.000000)
vec4(0.124474, -1.006700, -19.230412, 1.000000)
vec4(0.125174, -1.009900, -18.951612, 1.000000)
vec4(0.129873, -1.015100, -18.670113, 1.000000)
vec4(0.126674, -1.020700, -18.386812, 1.000000)
vec4(0.127374, -1.028400, -18.099112, 1.000000)
vec4(0.128173, -1.037700, -17.806812, 1.000000)
vec4(0.128973, -1.048600, -17.508713, 1.000000)
vec4(0.143673, -1.063300, -17.199213, 1.000000)
vec4(0.152473, -1.079000, -16.883013, 1.000000)
vec4(0.153574, -1.095600, -16.560112, 1.000000)
vec4(0.124474, -1.090100, -19.230412, 1.000000)
vec4(0.125174, -1.093600, -18.951612, 1.000000)
vec4(0.129873, -1.099200, -18.670212, 1.000000)
vec4(0.126674, -1.105200, -18.386913, 1.000000)
vec4(0.127374, -1.113500, -18.099213, 1.000000)
vec4(0.128173, -1.123600, -17.806812, 1.000000)
vec4(0.128973, -1.135400, -17.508713, 1.000000)
vec4(0.145574, -1.151600, -17.198612, 1.000000)
vec4(0.154274, -1.168600, -16.882313, 1.000000)
vec4(0.155474, -1.186600, -16.559412, 1.000000)
vec4(0.123774, -1.171700, -19.507912, 1.000000)
vec4(0.124474, -1.173800, -19.230513, 1.000000)
vec4(0.125174, -1.177500, -18.951712, 1.000000)
vec4(0.129873, -1.183500, -18.670212, 1.000000)
vec4(0.126674, -1.190000, -18.386913, 1.000000)
vec4(0.127374, -1.199000, -18.099213, 1.000000)
vec4(0.128173, -1.209700, -17.806812, 1.000000)
vec4(0.128973, -1.222500, -17.508812, 1.000000)
vec4(0.147473, -1.240200, -17.198013, 1.000000)
vec4(0.156174, -1.258600, -16.881613, 1.000000)
vec4(0.157373, -1.277900, -16.558613, 1.000000)
vec4(0.129673, -1.256600, -19.507812, 1.000000)
vec4(0.130273, -1.258700, -19.230112, 1.000000)
vec4(0.130774, -1.262600, -18.951113, 1.000000)
vec4(0.129873, -1.268100, -18.670212, 1.000000)
vec4(0.126674, -1.275100, -18.386913, 1.000000)
vec4(0.127374, -1.284700, -18.099213, 1.000000)
vec4(0.128173, -1.296200, -17.806911, 1.000000)
vec4(0.128973, -1.309900, -17.508812, 1.000000)
vec4(0.149374, -1.329200, -17.197412, 1.000000)
vec4(0.158073, -1.348800, -16.881012, 1.000000)
vec4(0.159274, -1.369600, -16.557913, 1.000000)
vec4(0.125673, -1.340000, -19.508013, 1.000000)
vec4(0.126373, -1.342300, -19.230412, 1.000000)
vec4(0.126873, -1.346500, -18.951612, 1.000000)
vec4(0.127274, -1.352600, -18.670612, 1.000000)
vec4(0.126674, -1.360500, -18.386913, 1.000000)
vec4(0.127374, -1.370700, -18.099312, 1.000000)
vec4(0.128173, -1.383000, -17.806911, 1.000000)
vec4(0.128973, -1.397600, -17.508812, 1.000000)
vec4(0.150574, -1.418500, -17.197012, 1.000000)
vec4(0.157273, -1.439000, -16.881313, 1.000000)
vec4(0.157574, -1.460900, -16.558613, 1.000000)
vec4(0.143474, -1.482800, -16.232313, 1.000000)
vec4(0.123774, -1.424100, -19.508013, 1.000000)
vec4(0.124474, -1.426600, -19.230612, 1.000000)
vec4(0.125174, -1.431100, -18.951712, 1.000000)
vec4(0.125974, -1.437600, -18.670813, 1.000000)
vec4(0.126674, -1.446300, -18.387012, 1.000000)
vec4(0.127374, -1.457100, -18.099312, 1.000000)
vec4(0.128173, -1.470200, -17.806911, 1.000000)
vec4(0.128973, -1.485700, -17.508913, 1.000000)
vec4(0.150574, -1.507900, -17.197113, 1.000000)
vec4(0.154573, -1.529100, -16.882313, 1.000000)
vec4(0.154774, -1.552400, -16.559813, 1.000000)
vec4(0.140773, -1.575600, -16.233513, 1.000000)
vec4(0.123074, -1.508500, -19.785013, 1.000000)
vec4(0.123774, -1.509000, -19.508013, 1.000000)
vec4(0.124474, -1.511500, -19.230612, 1.000000)
vec4(0.125174, -1.516300, -18.951813, 1.000000)
vec4(0.125974, -1.523200, -18.670912, 1.000000)
vec4(0.126674, -1.532400, -18.387012, 1.000000)
vec4(0.127374, -1.543900, -18.099312, 1.000000)
vec4(0.128173, -1.557700, -17.807013, 1.000000)
vec4(0.128973, -1.574100, -17.508913, 1.000000)
vec4(0.150574, -1.597600, -17.197113, 1.000000)
vec4(0.151874, -1.619500, -16.883411, 1.000000)
vec4(0.151974, -1.644200, -16.561012, 1.000000)
vec4(0.138073, -1.668800, -16.234812, 1.000000)
vec4(0.123074, -1.593700, -19.785013, 1.000000)
vec4(0.123774, -1.594200, -19.508112, 1.000000)
vec4(0.124474, -1.596900, -19.230612, 1.000000)
vec4(0.125174, -1.601900, -18.951813, 1.000000)
vec4(0.125974, -1.609200, -18.670912, 1.000000)
vec4(0.126674, -1.618900, -18.387012, 1.000000)
vec4(0.127374, -1.631000, -18.099413, 1.000000)
vec4(0.128173, -1.645700, -17.807013, 1.000000)
vec4(0.128973, -1.663000, -17.508913, 1.000000)
vec4(0.148873, -1.687400, -17.197712, 1.000000)
vec4(0.149074, -1.710300, -16.884512, 1.000000)
vec4(0.149174, -1.736300, -16.562212, 1.000000)
vec4(0.135374, -1.762300, -16.236113, 1.000000)
vec4(0.123074, -1.679300, -19.785112, 1.000000)
vec4(0.123774, -1.679800, -19.508112, 1.000000)
vec4(0.124474, -1.682700, -19.230612, 1.000000)
vec4(0.125174, -1.687900, -18.951813, 1.000000)
vec4(0.125974, -1.695600, -18.670912, 1.000000)
vec4(0.126674, -1.705800, -18.387112, 1.000000)
vec4(0.127374, -1.718600, -18.099413, 1.000000)
vec4(0.128173, -1.734000, -17.807013, 1.000000)
vec4(0.128973, -1.752200, -17.509012, 1.000000)
vec4(0.146173, -1.777300, -17.198612, 1.000000)
vec4(0.146374, -1.801400, -16.885513, 1.000000)
vec4(0.146374, -1.828800, -16.563513, 1.000000)
vec4(0.132674, -1.856200, -16.237411, 1.000000)
vec4(0.123074, -1.765400, -19.785112, 1.000000)
vec4(0.123774, -1.765900, -19.508112, 1.000000)
vec4(0.124474, -1.768900, -19.230713, 1.000000)
vec4(0.125174, -1.774400, -18.951912, 1.000000)
vec4(0.125974, -1.782500, -18.671013, 1.000000)
vec4(0.126674, -1.793200, -18.387112, 1.000000)
vec4(0.127374, -1.806600, -18.099413, 1.000000)
vec4(0.128173, -1.822800, -17.807112, 1.000000)
vec4(0.128973, -1.842000, -17.509012, 1.000000)
vec4(0.143474, -1.867700, -17.199612, 1.000000)
vec4(0.143573, -1.893000, -16.886612, 1.000000)
vec4(0.143573, -1.921700, -16.564713, 1.000000)
vec4(0.132274, -1.951200, -16.237713, 1.000000)
vec4(0.123074, -1.851900, -19.785112, 1.000000)
vec4(0.123774, -1.852400, -19.508213, 1.000000)
vec4(0.124474, -1.855500, -19.230713, 1.000000)
vec4(0.125174, -1.861300, -18.951912, 1.000000)
vec4(0.125974, -1.869800, -18.671013, 1.000000)
vec4(0.126674, -1.881000, -18.387112, 1.000000)
vec4(0.127374, -1.895100, -18.099512, 1.000000)
vec4(0.128173, -1.912100, -17.807112, 1.000000)
vec4(0.128973, -1.932200, -17.509012, 1.000000)
vec4(0.140674, -1.958400, -17.200512, 1.000000)
vec4(0.140773, -1.984900, -16.887712, 1.000000)
vec4(0.140674, -2.015000, -16.565912, 1.000000)
vec4(0.132274, -2.046700, -16.237713, 1.000000)
vec4(0.123074, -1.938800, -19.785212, 1.000000)
vec4(0.123774, -1.939400, -19.508213, 1.000000)
vec4(0.124474, -1.942700, -19.230713, 1.000000)
vec4(0.125174, -1.948700, -18.951912, 1.000000)
vec4(0.125974, -1.957600, -18.671013, 1.000000)
vec4(0.126674, -1.969400, -18.387213, 1.000000)
vec4(0.127374, -1.984100, -18.099512, 1.000000)
vec4(0.128173, -2.001900, -17.807112, 1.000000)
vec4(0.128973, -2.022900, -17.509113, 1.000000)
vec4(0.137973, -2.049600, -17.201511, 1.000000)
vec4(0.137973, -2.077300, -16.888813, 1.000000)
vec4(0.137874, -2.108800, -16.567213, 1.000000)
vec4(0.132274, -2.142800, -16.237713, 1.000000)
vec4(0.123074, -2.026300, -19.785212, 1.000000)
vec4(0.123774, -2.026900, -19.508213, 1.000000)
vec4(0.124474, -2.030300, -19.230713, 1.000000)
vec4(0.125174, -2.036700, -18.952013, 1.000000)
vec4(0.125974, -2.045900, -18.671013, 1.000000)
vec4(0.126674, -2.058200, -18.387213, 1.000000)
vec4(0.127374, -2.073600, -18.099512, 1.000000)
vec4(0.128173, -2.092200, -17.807213, 1.000000)
vec4(0.128973, -2.114100, -17.509113, 1.000000)
vec4(0.135173, -2.141200, -17.202513, 1.000000)
vec4(0.135173, -2.170200, -16.889912, 1.000000)
vec4(0.134974, -2.203100, -16.568413, 1.000000)
vec4(0.132274, -2.239400, -16.237812, 1.000000)
vec4(0.123074, -2.114400, -19.785212, 1.000000)
vec4(0.123774, -2.114900, -19.508312, 1.000000)
vec4(0.124474, -2.118500, -19.230812, 1.000000)
vec4(0.125174, -2.125100, -18.952013, 1.000000)
vec4(0.125974, -2.134800, -18.671112, 1.000000)
vec4(0.126674, -2.147600, -18.387213, 1.000000)
vec4(0.127374, -2.163600, -18.099613, 1.000000)
vec4(0.128173, -2.183100, -17.807213, 1.000000)
vec4(0.128973, -2.206000, -17.509113, 1.000000)
vec4(0.132373, -2.233300, -17.203413, 1.000000)
vec4(0.132274, -2.263500, -16.891012, 1.000000)
vec4(0.132073, -2.297800, -16.569613, 1.000000)
vec4(0.161474, -2.345900, -16.224213, 1.000000)
vec4(0.123074, -2.202900, -19.785313, 1.000000)
vec4(0.123774, -2.203500, -19.508312, 1.000000)
vec4(0.124474, -2.207300, -19.230812, 1.000000)
vec4(0.125174, -2.214100, -18.952013, 1.000000)
vec4(0.125974, -2.224200, -18.671112, 1.000000)
vec4(0.126674, -2.237600, -18.387312, 1.000000)
vec4(0.127374, -2.254300, -18.099613, 1.000000)
vec4(0.128173, -2.274500, -17.807213, 1.000000)
vec4(0.128973, -2.298300, -17.509212, 1.000000)
vec4(0.192674, -2.345900, -17.183311, 1.000000)
vec4(0.093373, -2.345900, -16.905712, 1.000000)
vec4(-0.016127, -2.345900, -16.632113, 1.000000)
vec4(-0.135927, -2.345900, -16.362812, 1.000000)
vec4(-0.265727, -2.345900, -16.098213, 1.000000)
vec4(0.123074, -2.292100, -19.785313, 1.000000)
vec4(0.123774, -2.292700, -19.508312, 1.000000)
vec4(0.124474, -2.296600, -19.230812, 1.000000)
vec4(0.125174, -2.303800, -18.952112, 1.000000)
vec4(0.125974, -2.314200, -18.671112, 1.000000)
vec4(0.182874, -2.345900, -18.377512, 1.000000)
vec4(0.128573, -2.345900, -18.099413, 1.000000)
vec4(0.063973, -2.345900, -17.823513, 1.000000)
vec4(-0.011127, -2.345900, -17.550312, 1.000000)
vec4(-0.096326, -2.345900, -17.280113, 1.000000)
vec4(-0.191627, -2.345900, -17.013313, 1.000000)
vec4(-0.296926, -2.345900, -16.750313, 1.000000)
vec4(-0.412026, -2.345900, -16.491512, 1.000000)
vec4(-0.536827, -2.345900, -16.237112, 1.000000)
vec4(0.011673, -2.345900, -19.783613, 1.000000)
vec4(0.010474, -2.345900, -19.510813, 1.000000)
vec4(-0.001027, -2.345900, -19.238413, 1.000000)
vec4(-0.022727, -2.345900, -18.966513, 1.000000)
vec4(-0.054626, -2.345900, -18.695713, 1.000000)
vec4(-0.096827, -2.345900, -18.426311, 1.000000)
vec4(-0.149026, -2.345900, -18.158613, 1.000000)
vec4(-0.211226, -2.345900, -17.893211, 1.000000)
vec4(-0.283426, -2.345900, -17.630213, 1.000000)
vec4(-0.365427, -2.345900, -17.370213, 1.000000)
vec4(-0.457127, -2.345900, -17.113512, 1.000000)
vec4(-0.558426, -2.345900, -16.860413, 1.000000)
vec4(-0.669227, -2.345900, -16.611313, 1.000000)
vec4(-0.789227, -2.345900, -16.366512, 1.000000)
vec4(-0.253427, -2.345900, -19.779512, 1.000000)
vec4(-0.254626, -2.345900, -19.516813, 1.000000)
vec4(-0.265727, -2.345900, -19.254211, 1.000000)
vec4(-0.286626, -2.345900, -18.992311, 1.000000)
vec4(-0.317327, -2.345900, -18.731413, 1.000000)
vec4(-0.357926, -2.345900, -18.471813, 1.000000)
vec4(-0.408226, -2.345900, -18.214012, 1.000000)
vec4(-0.468126, -2.345900, -17.958212, 1.000000)
vec4(-0.537726, -2.345900, -17.704912, 1.000000)
vec4(-0.616726, -2.345900, -17.454412, 1.000000)
vec4(-0.705126, -2.345900, -17.207012, 1.000000)
vec4(-0.802726, -2.345900, -16.963213, 1.000000)
vec4(-0.909427, -2.345900, -16.723213, 1.000000)
vec4(-1.025026, -2.345900, -16.487411, 1.000000)
vec4(-0.501727, -2.345900, -19.775713, 1.000000)
vec4(-0.502827, -2.345900, -19.522312, 1.000000)
vec4(-0.513426, -2.345900, -19.269112, 1.000000)
vec4(-0.533627, -2.345900, -19.016512, 1.000000)
vec4(-0.563326, -2.345900, -18.764812, 1.000000)
vec4(-0.602427, -2.345900, -18.514513, 1.000000)
vec4(-0.650927, -2.345900, -18.265812, 1.000000)
vec4(-0.708726, -2.345900, -18.019112, 1.000000)
vec4(-0.775726, -2.345900, -17.774813, 1.000000)
vec4(-0.851926, -2.345900, -17.533213, 1.000000)
vec4(-0.937127, -2.345900, -17.294613, 1.000000)
vec4(-1.031326, -2.345900, -17.059513, 1.000000)
vec4(-1.134226, -2.345900, -16.828012, 1.000000)
vec4(-1.245727, -2.345900, -16.600613, 1.000000)
vec4(-0.734626, -2.345900, -19.772112, 1.000000)
vec4(-0.735726, -2.345900, -19.527512, 1.000000)
vec4(-0.745926, -2.345900, -19.283012, 1.000000)
vec4(-0.765427, -2.345900, -19.039213, 1.000000)
vec4(-0.794026, -2.345900, -18.796213, 1.000000)
vec4(-0.831827, -2.345900, -18.554512, 1.000000)
vec4(-0.878626, -2.345900, -18.314413, 1.000000)
vec4(-0.934426, -2.345900, -18.076313, 1.000000)
vec4(-0.999126, -2.345900, -17.840412, 1.000000)
vec4(-1.072726, -2.345900, -17.607113, 1.000000)
vec4(-1.154926, -2.345900, -17.376812, 1.000000)
vec4(-1.245827, -2.345900, -17.149813, 1.000000)
vec4(-1.345127, -2.345900, -16.926311, 1.000000)
vec4(-1.559526, -2.302600, -16.761412, 1.000000)
vec4(-0.954727, -2.345900, -19.532312, 1.000000)
vec4(-0.964626, -2.345900, -19.296112, 1.000000)
vec4(-0.983427, -2.345900, -19.060513, 1.000000)
vec4(-1.011026, -2.345900, -18.825712, 1.000000)
vec4(-1.047526, -2.345900, -18.592213, 1.000000)
vec4(-1.092727, -2.345900, -18.360212, 1.000000)
vec4(-1.146626, -2.345900, -18.130013, 1.000000)
vec4(-1.209227, -2.345900, -17.902113, 1.000000)
vec4(-1.280227, -2.345900, -17.676712, 1.000000)
vec4(-1.468126, -2.302600, -17.495012, 1.000000)
vec4(-1.554327, -2.302600, -17.279713, 1.000000)
vec4(-1.648527, -2.302600, -17.067713, 1.000000)
vec4(-1.161026, -2.345900, -19.536913, 1.000000)
vec4(-1.170627, -2.345900, -19.308512, 1.000000)
vec4(-1.188827, -2.345900, -19.080612, 1.000000)
vec4(-1.215527, -2.345900, -18.853512, 1.000000)
vec4(-1.250826, -2.345900, -18.627613, 1.000000)
vec4(-1.294527, -2.345900, -18.403212, 1.000000)
vec4(-1.346726, -2.345900, -18.180712, 1.000000)
vec4(-1.514727, -2.302600, -17.991812, 1.000000)
vec4(-1.582127, -2.302600, -17.777813, 1.000000)
vec4(-1.657627, -2.302600, -17.566513, 1.000000)
vec4(-1.740926, -2.302600, -17.358212, 1.000000)
vec4(-1.473526, -2.302600, -19.326612, 1.000000)
vec4(-1.490726, -2.302600, -19.110113, 1.000000)
vec4(-1.516127, -2.302600, -18.894413, 1.000000)
vec4(-1.549626, -2.302600, -18.679811, 1.000000)
vec4(-1.591227, -2.302600, -18.466612, 1.000000)
vec4(-1.640727, -2.302600, -18.255112, 1.000000)
vec4(-1.698126, -2.302600, -18.045712, 1.000000)
vec4(-1.763426, -2.302600, -17.838512, 1.000000)
vec4(-1.836426, -2.302600, -17.634012, 1.000000)
vec4(-1.695426, -2.302600, -18.918812, 1.000000)
vec4(-1.727827, -2.302600, -18.710913, 1.000000)
vec4(-1.768126, -2.302600, -18.504313, 1.000000)
vec4(-1.816027, -2.302600, -18.299513, 1.000000)
vec4(-1.871727, -2.302600, -18.096613, 1.000000)
vec4(-1.934927, -2.302600, -17.896011, 1.000000)
