vec3(-35.280735, 0.000000, -353.605957)
vec4(-58.564590, 3.057100, -404.293457, 1.000000)
vec4(-59.970989, 2.919800, -400.664856, 1.000000)
vec4(-58.769089, 3.203600, -405.337646, 1.000000)
vec4(-65.404289, 4.064600, -404.286835, 1.000000)
vec4(-64.214188, 3.908300, -404.593933, 1.000000)
vec4(-57.406490, 2.984600, -404.991547, 1.000000)
vec4(-63.577988, 3.866500, -405.176636, 1.000000)
vec4(-62.954891, 3.831000, -405.747955, 1.000000)
vec4(-57.789890, 3.193300, -406.288147, 1.000000)
vec4(-64.163490, 4.203000, -407.673859, 1.000000)
vec4(-56.927292, 3.097000, -406.352539, 1.000000)
vec4(-55.534492, 2.987200, -406.713257, 1.000000)
vec4(-55.386589, 2.811600, -405.552948, 1.000000)
vec4(-56.178890, 3.334400, -408.688232, 1.000000)
vec4(-56.931690, 3.759100, -411.092834, 1.000000)
vec4(-56.087090, 3.701900, -411.248352, 1.000000)
vec4(-56.916691, 4.912800, -418.576355, 1.000000)
vec4(-63.626793, 6.654400, -426.208038, 1.000000)
vec4(-55.745789, 4.815700, -418.495544, 1.000000)
vec4(-59.684589, 5.616900, -421.658752, 1.000000)
vec4(-55.545288, 5.189200, -420.853546, 1.000000)
vec4(-55.282490, 8.510800, -440.482635, 1.000000)
vec4(-55.038292, 5.483800, -422.805756, 1.000000)
vec4(-56.116489, 11.157300, -455.582031, 1.000000)
vec4(-58.216393, 8.151200, -437.635559, 1.000000)
vec4(-56.928791, 8.426500, -439.605560, 1.000000)
vec4(-22.330490, 9.721100, -443.476654, 1.000000)
vec4(-6.476791, 10.718600, -440.181854, 1.000000)
vec4(-4.522690, 10.777000, -438.944153, 1.000000)
vec4(13.045208, 12.594000, -434.669159, 1.000000)
vec4(15.518108, 12.796300, -433.082031, 1.000000)
vec4(-37.751591, 1.515100, -397.818634, 1.000000)
vec4(-24.587990, 4.137700, -404.717560, 1.000000)
vec4(10.055809, 13.077000, -442.773132, 1.000000)
vec4(-36.305389, 1.739200, -397.825256, 1.000000)
vec4(-36.304291, 1.708100, -397.418243, 1.000000)
vec4(-36.303291, 1.680500, -397.025055, 1.000000)
vec4(-36.302292, 1.656000, -396.643646, 1.000000)
vec4(-37.726292, 1.329000, -394.913940, 1.000000)
vec4(-36.301392, 1.634500, -396.272736, 1.000000)
vec4(-36.300392, 1.615800, -395.910736, 1.000000)
vec4(-37.743591, 1.316500, -394.623840, 1.000000)
vec4(-37.719292, 1.341700, -395.207336, 1.000000)
vec4(-37.742889, 1.309300, -394.341034, 1.000000)
vec4(-37.739990, 1.299000, -393.228333, 1.000000)
vec4(-37.742191, 1.303900, -394.060852, 1.000000)
vec4(-37.739288, 1.301000, -392.950836, 1.000000)
vec4(-37.738590, 1.304900, -392.672058, 1.000000)
vec4(-37.741489, 1.300400, -393.782562, 1.000000)
vec4(-37.737789, 1.310700, -392.391052, 1.000000)
vec4(-37.737091, 1.318400, -392.107239, 1.000000)
vec4(-37.740692, 1.298800, -393.505341, 1.000000)
vec4(-37.716690, 1.331600, -391.815338, 1.000000)
vec4(-36.282188, 1.746800, -388.870758, 1.000000)
vec4(-37.707890, 1.344900, -391.520142, 1.000000)
vec4(-36.281090, 1.782500, -388.442657, 1.000000)
vec4(-36.287189, 1.619700, -390.803833, 1.000000)
vec4(-24.525990, 4.250600, -380.805054, 1.000000)
vec4(-36.286190, 1.639100, -390.439148, 1.000000)
vec4(-37.715988, 1.562600, -388.483459, 1.000000)
vec4(-36.285290, 1.661200, -390.065033, 1.000000)
vec4(-32.334892, 2.772300, -384.195862, 1.000000)
vec4(-36.284290, 1.686400, -389.680054, 1.000000)
vec4(-33.188190, 2.660800, -384.110443, 1.000000)
vec4(-34.067688, 2.540400, -384.108154, 1.000000)
vec4(-36.283192, 1.714800, -389.282562, 1.000000)
vec4(-34.872391, 2.433800, -384.106140, 1.000000)
vec4(-37.326492, 2.275700, -383.070160, 1.000000)
vec4(-35.613190, 2.338800, -384.104156, 1.000000)
vec4(-37.324291, 2.397700, -382.215942, 1.000000)
vec4(-36.299492, 2.254100, -384.102448, 1.000000)
vec4(-36.938690, 2.178300, -384.100739, 1.000000)
vec4(-37.321789, 2.537200, -381.263458, 1.000000)
vec4(-37.328491, 2.168500, -383.842651, 1.000000)
vec4(-37.359890, 2.684000, -380.260956, 1.000000)
vec4(-37.372890, 3.338000, -376.077759, 1.000000)
vec4(-37.253792, 2.908200, -378.857452, 1.000000)
vec4(-37.326191, 3.099300, -377.597748, 1.000000)
vec4(-35.378189, 4.589400, -369.202637, 1.000000)
vec4(-36.440491, 4.513300, -369.259644, 1.000000)
vec4(-54.491692, 3.119100, -378.359650, 1.000000)
