vec3(-3.964667, 0.000000, -19.539047)
vec4(1.008633, -1.258700, -17.355148, 1.000000)
vec4(0.872433, -1.265200, -17.148548, 1.000000)
vec4(0.877133, -1.298300, -17.465748, 1.000000)
vec4(0.692033, -1.290500, -17.312347, 1.000000)
vec4(0.628232, -1.318900, -17.043846, 1.000000)
vec4(0.903233, -1.378900, -17.443848, 1.000000)
vec4(0.674932, -1.358300, -17.327948, 1.000000)
vec4(0.673733, -1.407000, -16.999348, 1.000000)
vec4(0.907732, -1.454300, -17.440147, 1.000000)
vec4(0.677032, -1.431800, -17.325947, 1.000000)
vec4(0.671933, -1.482000, -17.001047, 1.000000)
vec4(0.912233, -1.530100, -17.436348, 1.000000)
vec4(0.679233, -1.505800, -17.324047, 1.000000)
vec4(0.670533, -1.557400, -17.002447, 1.000000)
vec4(0.916733, -1.606500, -17.432547, 1.000000)
vec4(0.681433, -1.580200, -17.322147, 1.000000)
vec4(0.921333, -1.683400, -17.428747, 1.000000)
vec4(0.683633, -1.655100, -17.320147, 1.000000)
vec4(0.925933, -1.761000, -17.424948, 1.000000)
vec4(0.685833, -1.730600, -17.318247, 1.000000)
vec4(0.930633, -1.839200, -17.420948, 1.000000)
vec4(0.688033, -1.806600, -17.316248, 1.000000)
vec4(0.935533, -1.918100, -17.416946, 1.000000)
vec4(0.690633, -1.883200, -17.313948, 1.000000)
vec4(0.940433, -1.997700, -17.412848, 1.000000)
vec4(0.694733, -1.961100, -17.310247, 1.000000)
vec4(1.805433, -2.302600, -17.383747, 1.000000)
vec4(1.644833, -2.302600, -17.169847, 1.000000)
vec4(0.945433, -2.078000, -17.408648, 1.000000)
vec4(0.698833, -2.039700, -17.306446, 1.000000)
vec4(1.116333, -2.302600, -16.566448, 1.000000)
vec4(0.925533, -2.302600, -16.378948, 1.000000)
vec4(0.727733, -2.302600, -16.198948, 1.000000)
vec4(1.990033, -2.345900, -17.897448, 1.000000)
vec4(1.741433, -2.302600, -17.747448, 1.000000)
vec4(1.594532, -2.302600, -17.535648, 1.000000)
vec4(1.439733, -2.302600, -17.329548, 1.000000)
vec4(0.950433, -2.159000, -17.404448, 1.000000)
vec4(0.703032, -2.119000, -17.302748, 1.000000)
vec4(0.930633, -2.302600, -16.748146, 1.000000)
vec4(0.746733, -2.302600, -16.567648, 1.000000)
vec4(0.556232, -2.302600, -16.394148, 1.000000)
vec4(0.359333, -2.302600, -16.227848, 1.000000)
vec4(0.156332, -2.302600, -16.069147, 1.000000)
vec4(1.798532, -2.302600, -18.306047, 1.000000)
vec4(1.672633, -2.302600, -18.091648, 1.000000)
vec4(1.538733, -2.302600, -17.882147, 1.000000)
vec4(1.397033, -2.302600, -17.677948, 1.000000)
vec4(1.247833, -2.302600, -17.479147, 1.000000)
vec4(0.954133, -2.240200, -17.401348, 1.000000)
vec4(0.707133, -2.198900, -17.299047, 1.000000)
vec4(0.756732, -2.302600, -16.918346, 1.000000)
vec4(0.579432, -2.302600, -16.744247, 1.000000)
vec4(0.395733, -2.302600, -16.576847, 1.000000)
vec4(0.205832, -2.302600, -16.416548, 1.000000)
vec4(0.010033, -2.302600, -16.263447, 1.000000)
vec4(-0.191367, -2.302600, -16.117847, 1.000000)
vec4(1.713033, -2.302600, -18.629147, 1.000000)
vec4(1.599333, -2.302600, -18.417747, 1.000000)
vec4(1.477733, -2.302600, -18.210848, 1.000000)
vec4(1.348533, -2.302600, -18.008547, 1.000000)
vec4(1.211733, -2.302600, -17.811348, 1.000000)
vec4(1.067633, -2.302600, -17.619448, 1.000000)
vec4(0.916433, -2.302600, -17.433048, 1.000000)
