vec3(-6.648763, 0.000000, -17.933657)
vec4(0.715837, -0.606100, -18.361357, 1.000000)
vec4(0.716637, -0.611600, -18.068956, 1.000000)
vec4(0.717437, -0.618100, -17.770857, 1.000000)
vec4(0.722737, -0.626000, -17.464558, 1.000000)
vec4(0.715137, -0.685000, -18.649057, 1.000000)
vec4(0.715837, -0.690200, -18.361357, 1.000000)
vec4(0.716637, -0.696500, -18.068956, 1.000000)
vec4(0.717437, -0.703800, -17.770956, 1.000000)
vec4(0.724638, -0.713000, -17.463957, 1.000000)
vec4(0.715137, -0.768600, -18.649057, 1.000000)
vec4(0.715837, -0.774400, -18.361456, 1.000000)
vec4(0.716637, -0.781500, -18.069057, 1.000000)
vec4(0.717437, -0.789700, -17.770956, 1.000000)
vec4(0.726437, -0.800200, -17.463356, 1.000000)
vec4(0.735337, -0.812100, -17.147356, 1.000000)
vec4(0.718337, -0.847800, -18.932457, 1.000000)
vec4(0.715137, -0.852400, -18.649157, 1.000000)
vec4(0.715837, -0.858900, -18.361456, 1.000000)
vec4(0.716637, -0.866600, -18.069057, 1.000000)
vec4(0.717437, -0.875800, -17.770956, 1.000000)
vec4(0.728337, -0.887600, -17.462757, 1.000000)
vec4(0.737237, -0.900800, -17.146656, 1.000000)
vec4(0.718337, -0.931300, -18.932457, 1.000000)
vec4(0.715137, -0.936500, -18.649157, 1.000000)
vec4(0.715837, -0.943500, -18.361456, 1.000000)
vec4(0.716637, -0.952000, -18.069057, 1.000000)
vec4(0.717437, -0.962100, -17.771057, 1.000000)
vec4(0.730237, -0.975300, -17.462156, 1.000000)
vec4(0.739038, -0.989800, -17.145956, 1.000000)
vec4(0.740137, -1.005000, -16.823257, 1.000000)
vec4(0.713637, -1.009900, -19.213957, 1.000000)
vec4(0.718337, -1.015100, -18.932457, 1.000000)
vec4(0.715137, -1.020700, -18.649157, 1.000000)
vec4(0.715837, -1.028400, -18.361456, 1.000000)
vec4(0.716637, -1.037700, -18.069157, 1.000000)
vec4(0.717437, -1.048600, -17.771057, 1.000000)
vec4(0.732137, -1.063300, -17.461557, 1.000000)
vec4(0.740937, -1.079000, -17.145357, 1.000000)
vec4(0.742037, -1.095600, -16.822456, 1.000000)
vec4(0.713637, -1.093600, -19.213957, 1.000000)
vec4(0.718337, -1.099200, -18.932556, 1.000000)
vec4(0.715137, -1.105200, -18.649258, 1.000000)
vec4(0.715837, -1.113500, -18.361557, 1.000000)
vec4(0.716637, -1.123600, -18.069157, 1.000000)
