4119,217.7776
4129,198.6787
4139,136.3334
4149,112.7430
4159,157.5582
4169,225.5919
4179,223.8224
4189, 220.2958
4199,220.5471
4209,215.9508
4219,196.9395
4229,221.4644
4239,214.1118
4249,214.1106
4259,210.9659
4269,168.7399
4279,107.3727
4289,224.6975
4299,221.9398
4309,202.9850
4319,150.5442
4329,225.2342
4339,220.4673
4349,195.9184
4359,217.8157
4369,186.8551
4379,197.4392
4389,180.3801
4399,223.8234
4409,224.5374
4419,221.8470
4429,216.1963
4439,162.3250
4449,229.9363
4459, 220.0328
4469,221.2857
4479,216.2745
4489,208.5198
4499,202.0045
