vec3(-32.553837, 0.000000, -328.007629)
vec4(-57.244091, 2.919800, -375.066528, 1.000000)
vec4(-62.677391, 4.064600, -378.688507, 1.000000)
vec4(-61.487289, 3.908300, -378.995605, 1.000000)
vec4(-60.851089, 3.866500, -379.578308, 1.000000)
vec4(-60.227993, 3.831000, -380.149628, 1.000000)
vec4(-61.436592, 4.203000, -382.075531, 1.000000)
vec4(-55.837692, 3.057100, -378.695129, 1.000000)
vec4(-56.042191, 3.203600, -379.739319, 1.000000)
vec4(-52.807594, 2.987200, -381.114929, 1.000000)
vec4(-54.679592, 2.984600, -379.393219, 1.000000)
vec4(-53.451992, 3.334400, -383.089905, 1.000000)
vec4(-55.062992, 3.193300, -380.689819, 1.000000)
vec4(-54.204792, 3.759100, -385.494507, 1.000000)
vec4(-53.360191, 3.701900, -385.650024, 1.000000)
vec4(-54.200394, 3.097000, -380.754211, 1.000000)
vec4(-52.659691, 2.811600, -379.954620, 1.000000)
vec4(-60.899895, 6.654400, -400.609711, 1.000000)
vec4(-54.189793, 4.912800, -392.978027, 1.000000)
vec4(-56.957691, 5.616900, -396.060425, 1.000000)
vec4(-53.018890, 4.815700, -392.897217, 1.000000)
vec4(-52.555592, 8.510800, -414.884308, 1.000000)
vec4(-53.389591, 11.157300, -429.983704, 1.000000)
vec4(-52.818390, 5.189200, -395.255219, 1.000000)
vec4(-52.311394, 5.483800, -397.207428, 1.000000)
vec4(-55.489494, 8.151200, -412.037231, 1.000000)
vec4(-54.201893, 8.426500, -414.007233, 1.000000)
vec4(-19.603592, 9.721100, -417.878326, 1.000000)
vec4(-3.749893, 10.718600, -414.583527, 1.000000)
vec4(-1.795792, 10.777000, -413.345825, 1.000000)
vec4(15.772106, 12.594000, -409.070831, 1.000000)
vec4(18.245007, 12.796300, -407.483704, 1.000000)
vec4(12.782707, 13.077000, -417.174805, 1.000000)
vec4(-35.024693, 1.515100, -372.220306, 1.000000)
vec4(-33.577393, 1.708100, -371.819916, 1.000000)
vec4(-21.861092, 4.137700, -379.119232, 1.000000)
vec4(-33.576393, 1.680500, -371.426727, 1.000000)
vec4(-33.578491, 1.739200, -372.226929, 1.000000)
vec4(-33.575394, 1.656000, -371.045319, 1.000000)
vec4(-33.574493, 1.634500, -370.674408, 1.000000)
vec4(-34.999393, 1.329000, -369.315613, 1.000000)
vec4(-33.573494, 1.615800, -370.312408, 1.000000)
vec4(-35.016693, 1.316500, -369.025513, 1.000000)
vec4(-34.992393, 1.341700, -369.609009, 1.000000)
vec4(-35.015991, 1.309300, -368.742706, 1.000000)
vec4(-35.013092, 1.299000, -367.630005, 1.000000)
