vec3(-7.962284, 0.000000, -103.650078)
vec4(-32.652538, 2.919800, -150.708954, 1.000000)
vec4(-38.085838, 4.064600, -154.330963, 1.000000)
vec4(-36.895737, 3.908300, -154.638062, 1.000000)
vec4(-36.259537, 3.866500, -155.220764, 1.000000)
vec4(-35.636436, 3.831000, -155.792053, 1.000000)
vec4(-36.845039, 4.203000, -157.717957, 1.000000)
vec4(-31.246138, 3.057100, -154.337555, 1.000000)
vec4(-28.216038, 2.987200, -156.757355, 1.000000)
vec4(-31.450638, 3.203600, -155.381760, 1.000000)
vec4(-28.860437, 3.334400, -158.732361, 1.000000)
vec4(-30.088037, 2.984600, -155.035660, 1.000000)
vec4(-29.613237, 3.759100, -161.136963, 1.000000)
vec4(-28.768639, 3.701900, -161.292465, 1.000000)
vec4(-30.471437, 3.193300, -156.332260, 1.000000)
vec4(-29.608837, 3.097000, -156.396667, 1.000000)
vec4(-36.308338, 6.654400, -176.252167, 1.000000)
vec4(-28.068138, 2.811600, -155.597061, 1.000000)
vec4(-32.366138, 5.616900, -171.702866, 1.000000)
vec4(-29.598236, 4.912800, -168.620453, 1.000000)
vec4(-27.964039, 8.510800, -190.526764, 1.000000)
vec4(-28.427338, 4.815700, -168.539658, 1.000000)
vec4(-28.798038, 11.157300, -205.626160, 1.000000)
vec4(-28.226837, 5.189200, -170.897659, 1.000000)
vec4(-27.719837, 5.483800, -172.849854, 1.000000)
vec4(-30.897938, 8.151200, -187.679657, 1.000000)
vec4(-29.610336, 8.426500, -189.649658, 1.000000)
vec4(4.987963, 9.721100, -193.520752, 1.000000)
vec4(20.841661, 10.718600, -190.225952, 1.000000)
vec4(22.795763, 10.777000, -188.988266, 1.000000)
vec4(40.363663, 12.594000, -184.713257, 1.000000)
vec4(42.836563, 12.796300, -183.126160, 1.000000)
vec4(37.374260, 13.077000, -192.817261, 1.000000)
vec4(-10.433138, 1.515100, -147.862762, 1.000000)
vec4(-8.985838, 1.708100, -147.462357, 1.000000)
vec4(-8.984838, 1.680500, -147.069168, 1.000000)
vec4(2.730463, 4.137700, -154.761658, 1.000000)
vec4(-8.983837, 1.656000, -146.687759, 1.000000)
vec4(-8.986938, 1.739200, -147.869354, 1.000000)
vec4(-8.982938, 1.634500, -146.316864, 1.000000)
vec4(-10.407837, 1.329000, -144.958054, 1.000000)
vec4(-8.981937, 1.615800, -145.954865, 1.000000)
vec4(-10.425138, 1.316500, -144.667953, 1.000000)
vec4(-10.400837, 1.341700, -145.251465, 1.000000)
vec4(-10.424438, 1.309300, -144.385162, 1.000000)
vec4(-10.421537, 1.299000, -143.272461, 1.000000)
vec4(-10.423738, 1.303900, -144.104965, 1.000000)
vec4(-10.420837, 1.301000, -142.994965, 1.000000)
vec4(-10.423038, 1.300400, -143.826660, 1.000000)
vec4(-10.420137, 1.304900, -142.716156, 1.000000)
vec4(-10.422237, 1.298800, -143.549454, 1.000000)
vec4(-10.419337, 1.310700, -142.435165, 1.000000)
vec4(-10.389438, 1.344900, -141.564255, 1.000000)
vec4(-10.418637, 1.318400, -142.151367, 1.000000)
vec4(-8.968738, 1.619700, -140.847961, 1.000000)
vec4(-10.398237, 1.331600, -141.859467, 1.000000)
vec4(-8.967737, 1.639100, -140.483261, 1.000000)
vec4(-8.963737, 1.746800, -138.914856, 1.000000)
vec4(-8.966838, 1.661200, -140.109161, 1.000000)
vec4(-8.962638, 1.782500, -138.486755, 1.000000)
vec4(-8.965837, 1.686400, -139.724167, 1.000000)
vec4(-8.964738, 1.714800, -139.326660, 1.000000)
vec4(2.792463, 4.250600, -130.849167, 1.000000)
vec4(-6.749237, 2.540400, -134.152267, 1.000000)
vec4(-10.397537, 1.562600, -138.527557, 1.000000)
vec4(-7.553938, 2.433800, -134.150269, 1.000000)
vec4(-5.016438, 2.772300, -134.239960, 1.000000)
vec4(-8.294738, 2.338800, -134.148254, 1.000000)
vec4(-5.869738, 2.660800, -134.154556, 1.000000)
vec4(-8.981037, 2.254100, -134.146561, 1.000000)
vec4(-10.008038, 2.275700, -133.114258, 1.000000)
vec4(-9.620237, 2.178300, -134.144867, 1.000000)
vec4(-10.005837, 2.397700, -132.260056, 1.000000)
vec4(-10.010037, 2.168500, -133.886765, 1.000000)
vec4(-10.003338, 2.537200, -131.307556, 1.000000)
