vec3(-30.272558, 0.000000, -306.706665)
vec4(-54.962811, 2.919800, -353.765564, 1.000000)
vec4(-53.556412, 3.057100, -357.394165, 1.000000)
vec4(-53.760910, 3.203600, -358.438354, 1.000000)
vec4(-60.396111, 4.064600, -357.387543, 1.000000)
vec4(-59.206009, 3.908300, -357.694641, 1.000000)
vec4(-52.398312, 2.984600, -358.092255, 1.000000)
vec4(-58.569809, 3.866500, -358.277344, 1.000000)
vec4(-57.946712, 3.831000, -358.848663, 1.000000)
vec4(-59.155312, 4.203000, -360.774567, 1.000000)
vec4(-52.781712, 3.193300, -359.388855, 1.000000)
vec4(-50.526314, 2.987200, -359.813965, 1.000000)
vec4(-51.170712, 3.334400, -361.788940, 1.000000)
vec4(-51.919113, 3.097000, -359.453247, 1.000000)
vec4(-51.923512, 3.759100, -364.193542, 1.000000)
vec4(-50.378410, 2.811600, -358.653656, 1.000000)
vec4(-51.078911, 3.701900, -364.349060, 1.000000)
vec4(-51.908512, 4.912800, -371.677063, 1.000000)
vec4(-58.618614, 6.654400, -379.308746, 1.000000)
vec4(-50.737610, 4.815700, -371.596252, 1.000000)
vec4(-54.676411, 5.616900, -374.759460, 1.000000)
vec4(-50.537109, 5.189200, -373.954254, 1.000000)
vec4(-50.274311, 8.510800, -393.583344, 1.000000)
vec4(-51.108311, 11.157300, -408.682739, 1.000000)
vec4(-50.030113, 5.483800, -375.906464, 1.000000)
vec4(-53.208214, 8.151200, -390.736267, 1.000000)
vec4(-51.920612, 8.426500, -392.706268, 1.000000)
vec4(-17.322311, 9.721100, -396.577362, 1.000000)
vec4(-1.468613, 10.718600, -393.282562, 1.000000)
vec4(0.485489, 10.777000, -392.044861, 1.000000)
vec4(18.053387, 12.594000, -387.769867, 1.000000)
vec4(20.526287, 12.796300, -386.182739, 1.000000)
vec4(-32.743412, 1.515100, -350.919342, 1.000000)
vec4(15.063988, 13.077000, -395.873840, 1.000000)
vec4(-19.579811, 4.137700, -357.818268, 1.000000)
vec4(-31.297211, 1.739200, -350.925964, 1.000000)
vec4(-31.296112, 1.708100, -350.518951, 1.000000)
vec4(-32.718113, 1.329000, -348.014648, 1.000000)
vec4(-31.295113, 1.680500, -350.125763, 1.000000)
vec4(-32.735413, 1.316500, -347.724548, 1.000000)
vec4(-31.294111, 1.656000, -349.744354, 1.000000)
vec4(-32.734711, 1.309300, -347.441742, 1.000000)
vec4(-31.293213, 1.634500, -349.373444, 1.000000)
vec4(-32.734013, 1.303900, -347.161560, 1.000000)
