vec3(0.002248, 0.000000, 1.990270)
vec4(-1.198852, -2.405900, -19.234329, 1.000000)
vec4(-0.474852, -2.405900, -19.266630, 1.000000)
vec4(0.249748, -2.405900, -19.271530, 1.000000)
vec4(0.974148, -2.405900, -19.249029, 1.000000)
vec4(-1.761752, -2.405900, -17.588629, 1.000000)
vec4(-1.099352, -2.405900, -17.643229, 1.000000)
vec4(-0.435352, -2.405900, -17.672729, 1.000000)
vec4(0.229248, -2.405900, -17.677229, 1.000000)
vec4(0.893648, -2.405900, -17.656528, 1.000000)
vec4(1.556848, -2.405900, -17.610929, 1.000000)
vec4(-1.014952, -2.405900, -16.291529, 1.000000)
vec4(-0.401852, -2.405900, -16.318729, 1.000000)
vec4(0.211948, -2.405900, -16.322830, 1.000000)
vec4(0.825348, -2.405900, -16.303829, 1.000000)
