vec3(-6.747646, 0.000000, -17.887117)
vec4(0.617754, -0.527000, -18.022417, 1.000000)
vec4(0.618554, -0.532600, -17.724318, 1.000000)
vec4(0.616254, -0.601600, -18.602518, 1.000000)
vec4(0.616954, -0.606100, -18.314817, 1.000000)
vec4(0.617754, -0.611600, -18.022417, 1.000000)
vec4(0.618554, -0.618100, -17.724318, 1.000000)
vec4(0.623854, -0.626000, -17.418018, 1.000000)
vec4(0.616254, -0.685000, -18.602518, 1.000000)
vec4(0.616954, -0.690200, -18.314817, 1.000000)
vec4(0.617754, -0.696500, -18.022417, 1.000000)
vec4(0.618554, -0.703800, -17.724417, 1.000000)
vec4(0.625754, -0.713000, -17.417418, 1.000000)
vec4(0.619454, -0.764400, -18.885918, 1.000000)
vec4(0.616254, -0.768600, -18.602518, 1.000000)
vec4(0.616954, -0.774400, -18.314917, 1.000000)
vec4(0.617754, -0.781500, -18.022518, 1.000000)
vec4(0.618554, -0.789700, -17.724417, 1.000000)
vec4(0.627554, -0.800200, -17.416817, 1.000000)
vec4(0.636454, -0.812100, -17.100817, 1.000000)
vec4(0.619454, -0.847800, -18.885918, 1.000000)
vec4(0.616254, -0.852400, -18.602617, 1.000000)
vec4(0.616954, -0.858900, -18.314917, 1.000000)
vec4(0.617754, -0.866600, -18.022518, 1.000000)
vec4(0.618554, -0.875800, -17.724417, 1.000000)
vec4(0.629454, -0.887600, -17.416218, 1.000000)
vec4(0.638354, -0.900800, -17.100117, 1.000000)
vec4(0.614754, -0.926500, -19.167418, 1.000000)
vec4(0.619454, -0.931300, -18.885918, 1.000000)
vec4(0.616254, -0.936500, -18.602617, 1.000000)
vec4(0.616954, -0.943500, -18.314917, 1.000000)
vec4(0.617754, -0.952000, -18.022518, 1.000000)
vec4(0.618554, -0.962100, -17.724518, 1.000000)
vec4(0.631354, -0.975300, -17.415617, 1.000000)
vec4(0.640154, -0.989800, -17.099417, 1.000000)
vec4(0.641254, -1.005000, -16.776718, 1.000000)
vec4(0.614754, -1.009900, -19.167418, 1.000000)
vec4(0.619454, -1.015100, -18.885918, 1.000000)
vec4(0.616254, -1.020700, -18.602617, 1.000000)
vec4(0.616954, -1.028400, -18.314917, 1.000000)
vec4(0.617754, -1.037700, -18.022617, 1.000000)
vec4(0.618554, -1.048600, -17.724518, 1.000000)
vec4(0.633254, -1.063300, -17.415018, 1.000000)
vec4(0.642054, -1.079000, -17.098818, 1.000000)
vec4(0.643154, -1.095600, -16.775917, 1.000000)
vec4(0.614754, -1.093600, -19.167418, 1.000000)
vec4(0.619454, -1.099200, -18.886017, 1.000000)
