vec3(-31.642290, 0.000000, -319.483856)
vec4(-54.926147, 3.057100, -370.171356, 1.000000)
vec4(-56.332546, 2.919800, -366.542755, 1.000000)
vec4(-61.765846, 4.064600, -370.164734, 1.000000)
vec4(-55.130646, 3.203600, -371.215546, 1.000000)
vec4(-60.575745, 3.908300, -370.471832, 1.000000)
vec4(-53.768047, 2.984600, -370.869446, 1.000000)
vec4(-59.939545, 3.866500, -371.054535, 1.000000)
vec4(-59.316448, 3.831000, -371.625854, 1.000000)
vec4(-54.151447, 3.193300, -372.166046, 1.000000)
vec4(-60.525047, 4.203000, -373.551758, 1.000000)
vec4(-53.288849, 3.097000, -372.230438, 1.000000)
vec4(-51.896049, 2.987200, -372.591156, 1.000000)
vec4(-51.748146, 2.811600, -371.430847, 1.000000)
vec4(-52.540447, 3.334400, -374.566162, 1.000000)
vec4(-53.293247, 3.759100, -376.970734, 1.000000)
vec4(-52.448647, 3.701900, -377.126251, 1.000000)
vec4(-59.988350, 6.654400, -392.085938, 1.000000)
vec4(-56.046146, 5.616900, -387.536652, 1.000000)
vec4(-51.644047, 8.510800, -406.360535, 1.000000)
vec4(-52.478046, 11.157300, -421.459961, 1.000000)
vec4(-53.278248, 4.912800, -384.454254, 1.000000)
vec4(-52.107346, 4.815700, -384.373444, 1.000000)
vec4(-51.906845, 5.189200, -386.731445, 1.000000)
vec4(-51.399849, 5.483800, -388.683655, 1.000000)
vec4(-54.577950, 8.151200, -403.513458, 1.000000)
vec4(-18.692047, 9.721100, -409.354553, 1.000000)
vec4(-53.290348, 8.426500, -405.483459, 1.000000)
vec4(-2.838348, 10.718600, -406.059753, 1.000000)
vec4(-0.884247, 10.777000, -404.822052, 1.000000)
vec4(16.683651, 12.594000, -400.547058, 1.000000)
vec4(13.694252, 13.077000, -408.651062, 1.000000)
vec4(19.156551, 12.796300, -398.959961, 1.000000)
vec4(-34.113148, 1.515100, -363.696533, 1.000000)
vec4(-32.665848, 1.708100, -363.296143, 1.000000)
vec4(-32.664848, 1.680500, -362.902954, 1.000000)
vec4(-20.949547, 4.137700, -370.595459, 1.000000)
vec4(-32.663849, 1.656000, -362.521545, 1.000000)
vec4(-32.666946, 1.739200, -363.703156, 1.000000)
vec4(-32.662949, 1.634500, -362.150635, 1.000000)
vec4(-32.661949, 1.615800, -361.788635, 1.000000)
vec4(-34.087849, 1.329000, -360.791840, 1.000000)
vec4(-34.080849, 1.341700, -361.085236, 1.000000)
vec4(-34.105148, 1.316500, -360.501740, 1.000000)
vec4(-34.101547, 1.299000, -359.106232, 1.000000)
vec4(-34.104446, 1.309300, -360.218933, 1.000000)
vec4(-34.100845, 1.301000, -358.828735, 1.000000)
vec4(-34.103748, 1.303900, -359.938751, 1.000000)
vec4(-34.100147, 1.304900, -358.549957, 1.000000)
vec4(-34.103046, 1.300400, -359.660461, 1.000000)
vec4(-34.099346, 1.310700, -358.268951, 1.000000)
vec4(-34.102249, 1.298800, -359.383240, 1.000000)
vec4(-34.098648, 1.318400, -357.985138, 1.000000)
vec4(-34.069447, 1.344900, -357.398041, 1.000000)
vec4(-34.078247, 1.331600, -357.693237, 1.000000)
vec4(-32.648746, 1.619700, -356.681732, 1.000000)
vec4(-32.643745, 1.746800, -354.748657, 1.000000)
vec4(-32.647747, 1.639100, -356.317047, 1.000000)
vec4(-32.646847, 1.661200, -355.942932, 1.000000)
vec4(-32.642647, 1.782500, -354.320557, 1.000000)
vec4(-32.645847, 1.686400, -355.557953, 1.000000)
vec4(-20.887547, 4.250600, -346.682953, 1.000000)
vec4(-32.644749, 1.714800, -355.160461, 1.000000)
vec4(-34.077545, 1.562600, -354.361359, 1.000000)
vec4(-30.429247, 2.540400, -349.986053, 1.000000)
vec4(-28.696447, 2.772300, -350.073761, 1.000000)
vec4(-31.233948, 2.433800, -349.984039, 1.000000)
vec4(-29.549747, 2.660800, -349.988342, 1.000000)
vec4(-31.974747, 2.338800, -349.982056, 1.000000)
vec4(-32.661049, 2.254100, -349.980347, 1.000000)
vec4(-33.300247, 2.178300, -349.978638, 1.000000)
vec4(-33.688049, 2.275700, -348.948059, 1.000000)
vec4(-33.690048, 2.168500, -349.720551, 1.000000)
vec4(-33.685848, 2.397700, -348.093842, 1.000000)
vec4(-33.683346, 2.537200, -347.141357, 1.000000)
vec4(-33.734447, 3.338000, -341.955658, 1.000000)
vec4(-33.721447, 2.684000, -346.138855, 1.000000)
vec4(-33.615349, 2.908200, -344.735352, 1.000000)
vec4(-31.739746, 4.589400, -335.080536, 1.000000)
vec4(-33.687748, 3.099300, -343.475647, 1.000000)
vec4(-32.802048, 4.513300, -335.137543, 1.000000)
vec4(-50.853249, 3.119100, -344.237549, 1.000000)
vec4(-52.687347, 3.034700, -346.180847, 1.000000)
vec4(-51.060745, 3.009100, -345.119232, 1.000000)
vec4(-53.495850, 3.118800, -346.261932, 1.000000)
vec4(-51.331848, 2.933500, -345.836548, 1.000000)
vec4(-52.074646, 3.002800, -345.909332, 1.000000)
vec4(-53.837746, 3.084300, -346.862946, 1.000000)
vec4(-54.315147, 2.812800, -349.776550, 1.000000)
