vec3(0.000451, 0.000000, 1.998047)
vec4(-1.200549, -2.405600, -19.224653, 1.000000)
vec4(-0.476649, -2.405600, -19.256952, 1.000000)
vec4(0.247951, -2.405600, -19.261852, 1.000000)
vec4(0.972251, -2.405600, -19.239353, 1.000000)
vec4(-1.763449, -2.405600, -17.579153, 1.000000)
vec4(-1.101049, -2.405600, -17.633753, 1.000000)
vec4(-0.437149, -2.405600, -17.663254, 1.000000)
vec4(0.227451, -2.405600, -17.667654, 1.000000)
vec4(0.891751, -2.405600, -17.647053, 1.000000)
vec4(1.554851, -2.405600, -17.601353, 1.000000)
vec4(-1.016649, -2.405600, -16.282253, 1.000000)
vec4(-0.403549, -2.405600, -16.309353, 1.000000)
vec4(0.210051, -2.405600, -16.313454, 1.000000)
vec4(0.823451, -2.405600, -16.294453, 1.000000)
