vec3(0.280372, 0.000000, -11.880859)
vec4(-0.933028, -2.405800, -18.630058, 1.000000)
vec4(-0.753628, -2.405800, -18.672760, 1.000000)
vec4(-0.572828, -2.405800, -18.708559, 1.000000)
vec4(-0.390728, -2.405800, -18.737560, 1.000000)
vec4(-0.207728, -2.405800, -18.759659, 1.000000)
vec4(-0.023928, -2.405800, -18.774860, 1.000000)
vec4(0.160272, -2.405800, -18.783159, 1.000000)
vec4(0.344672, -2.405800, -18.784460, 1.000000)
vec4(0.528972, -2.405800, -18.778858, 1.000000)
vec4(0.712972, -2.405800, -18.766258, 1.000000)
vec4(0.896372, -2.405800, -18.746759, 1.000000)
vec4(1.078872, -2.405800, -18.720360, 1.000000)
vec4(1.260272, -2.405800, -18.687059, 1.000000)
vec4(1.440372, -2.405800, -18.646959, 1.000000)
vec4(1.618772, -2.405800, -18.600159, 1.000000)
vec4(1.795272, -2.405800, -18.546558, 1.000000)
vec4(-1.902228, -2.405800, -18.116760, 1.000000)
vec4(-1.741528, -2.405800, -18.196159, 1.000000)
vec4(-1.578028, -2.405800, -18.269560, 1.000000)
vec4(-1.411828, -2.405800, -18.336760, 1.000000)
vec4(-1.243228, -2.405800, -18.397560, 1.000000)
vec4(-1.072428, -2.405800, -18.452059, 1.000000)
vec4(-0.899728, -2.405800, -18.499960, 1.000000)
vec4(-0.725228, -2.405800, -18.541460, 1.000000)
vec4(-0.549328, -2.405800, -18.576260, 1.000000)
vec4(-0.372328, -2.405800, -18.604460, 1.000000)
vec4(-0.194228, -2.405800, -18.625959, 1.000000)
vec4(-0.015528, -2.405800, -18.640759, 1.000000)
vec4(0.163572, -2.405800, -18.648760, 1.000000)
vec4(0.342972, -2.405800, -18.650059, 1.000000)
vec4(0.522172, -2.405800, -18.644560, 1.000000)
vec4(0.701172, -2.405800, -18.632359, 1.000000)
vec4(0.879472, -2.405800, -18.613359, 1.000000)
vec4(1.057072, -2.405800, -18.587660, 1.000000)
vec4(1.233472, -2.405800, -18.555359, 1.000000)
vec4(1.408572, -2.405800, -18.516359, 1.000000)
vec4(1.582072, -2.405800, -18.470760, 1.000000)
vec4(1.753772, -2.405800, -18.418659, 1.000000)
vec4(1.923272, -2.405800, -18.360159, 1.000000)
vec4(-1.996628, -2.405800, -17.919460, 1.000000)
vec4(-1.843328, -2.405800, -18.002560, 1.000000)
vec4(-1.687028, -2.405800, -18.079859, 1.000000)
vec4(-1.527828, -2.405800, -18.151260, 1.000000)
vec4(-1.366128, -2.405800, -18.216560, 1.000000)
vec4(-1.202128, -2.405800, -18.275759, 1.000000)
vec4(-1.035928, -2.405800, -18.328758, 1.000000)
vec4(-0.867828, -2.405800, -18.375460, 1.000000)
vec4(-0.698128, -2.405800, -18.415760, 1.000000)
vec4(-0.526928, -2.405800, -18.449659, 1.000000)
vec4(-0.354628, -2.405800, -18.477160, 1.000000)
vec4(-0.181428, -2.405800, -18.498058, 1.000000)
vec4(-0.007528, -2.405800, -18.512459, 1.000000)
vec4(0.166772, -2.405800, -18.520260, 1.000000)
vec4(0.341272, -2.405800, -18.521460, 1.000000)
vec4(0.515772, -2.405800, -18.516159, 1.000000)
vec4(0.689872, -2.405800, -18.504259, 1.000000)
vec4(0.863372, -2.405800, -18.485760, 1.000000)
vec4(1.036172, -2.405800, -18.460758, 1.000000)
vec4(1.207772, -2.405800, -18.429260, 1.000000)
vec4(1.378172, -2.405800, -18.391258, 1.000000)
vec4(1.546972, -2.405800, -18.346960, 1.000000)
vec4(1.713972, -2.405800, -18.296259, 1.000000)
vec4(1.878972, -2.405800, -18.239359, 1.000000)
vec4(-1.936128, -2.405800, -17.812260, 1.000000)
vec4(-1.786928, -2.405800, -17.893259, 1.000000)
vec4(-1.634728, -2.405800, -17.968460, 1.000000)
vec4(-1.479828, -2.405800, -18.037960, 1.000000)
vec4(-1.322428, -2.405800, -18.101559, 1.000000)
vec4(-1.162728, -2.405800, -18.159159, 1.000000)
