vec3(0.028776, 0.000000, -1.174566)
vec4(-0.382124, -2.404900, -19.898966, 1.000000)
vec4(0.245876, -2.404900, -19.907667, 1.000000)
vec4(-1.511824, -2.404900, -18.589766, 1.000000)
vec4(-0.932824, -2.404900, -18.645466, 1.000000)
vec4(-0.351824, -2.404900, -18.677166, 1.000000)
vec4(0.230176, -2.404900, -18.684866, 1.000000)
vec4(0.812176, -2.404900, -18.668566, 1.000000)
vec4(1.392976, -2.404900, -18.628265, 1.000000)
vec4(-1.406324, -2.404900, -17.537867, 1.000000)
vec4(-0.866924, -2.404900, -17.589266, 1.000000)
vec4(-0.325624, -2.404900, -17.618366, 1.000000)
vec4(0.216576, -2.404900, -17.625366, 1.000000)
vec4(0.758676, -2.404900, -17.609966, 1.000000)
vec4(1.299676, -2.404900, -17.572466, 1.000000)
vec4(1.838676, -2.404900, -17.512667, 1.000000)
vec4(-1.313924, -2.404900, -16.617266, 1.000000)
vec4(-0.809124, -2.404900, -16.664865, 1.000000)
vec4(-0.302624, -2.404900, -16.691767, 1.000000)
vec4(0.204676, -2.404900, -16.698067, 1.000000)
vec4(0.711876, -2.404900, -16.683565, 1.000000)
vec4(1.218076, -2.404900, -16.648466, 1.000000)
