vec3(-19.210264, 0.000000, -204.854004)
vec4(-43.900501, 2.919800, -251.912888, 1.000000)
vec4(-49.333801, 4.064600, -255.534897, 1.000000)
vec4(-42.494102, 3.057100, -255.541489, 1.000000)
vec4(-48.143700, 3.908300, -255.841995, 1.000000)
vec4(-42.698601, 3.203600, -256.585693, 1.000000)
vec4(-47.507500, 3.866500, -256.424683, 1.000000)
vec4(-41.335999, 2.984600, -256.239594, 1.000000)
vec4(-46.884399, 3.831000, -256.996002, 1.000000)
vec4(-48.093002, 4.203000, -258.921906, 1.000000)
vec4(-41.719398, 3.193300, -257.536194, 1.000000)
vec4(-39.464001, 2.987200, -257.961304, 1.000000)
vec4(-40.856800, 3.097000, -257.600586, 1.000000)
vec4(-40.108398, 3.334400, -259.936279, 1.000000)
vec4(-39.316101, 2.811600, -256.800995, 1.000000)
vec4(-40.861198, 3.759100, -262.340881, 1.000000)
vec4(-40.016602, 3.701900, -262.496399, 1.000000)
vec4(-40.846199, 4.912800, -269.824402, 1.000000)
vec4(-47.556301, 6.654400, -277.456085, 1.000000)
vec4(-39.675301, 4.815700, -269.743591, 1.000000)
vec4(-39.474800, 5.189200, -272.101593, 1.000000)
vec4(-43.614101, 5.616900, -272.906799, 1.000000)
vec4(-38.967800, 5.483800, -274.053802, 1.000000)
vec4(-39.212002, 8.510800, -291.730682, 1.000000)
vec4(-40.046001, 11.157300, -306.830078, 1.000000)
vec4(-42.145901, 8.151200, -288.883606, 1.000000)
vec4(-40.858299, 8.426500, -290.853607, 1.000000)
vec4(-6.260000, 9.721100, -294.724701, 1.000000)
vec4(9.593699, 10.718600, -291.429901, 1.000000)
vec4(11.547800, 10.777000, -290.192200, 1.000000)
vec4(29.115698, 12.594000, -285.917206, 1.000000)
vec4(31.588598, 12.796300, -284.330078, 1.000000)
vec4(-21.681101, 1.515100, -249.066696, 1.000000)
vec4(26.126299, 13.077000, -294.021179, 1.000000)
vec4(-8.517500, 4.137700, -255.965591, 1.000000)
vec4(-20.233801, 1.708100, -248.666290, 1.000000)
vec4(-20.234901, 1.739200, -249.073288, 1.000000)
vec4(-20.232800, 1.680500, -248.273102, 1.000000)
vec4(-21.655800, 1.329000, -246.161987, 1.000000)
vec4(-20.231800, 1.656000, -247.891693, 1.000000)
vec4(-21.673100, 1.316500, -245.871887, 1.000000)
vec4(-20.230900, 1.634500, -247.520798, 1.000000)
vec4(-21.672401, 1.309300, -245.589096, 1.000000)
vec4(-20.229900, 1.615800, -247.158798, 1.000000)
vec4(-21.671700, 1.303900, -245.308899, 1.000000)
vec4(-21.648800, 1.341700, -246.455399, 1.000000)
vec4(-21.671001, 1.300400, -245.030594, 1.000000)
vec4(-21.669500, 1.299000, -244.476395, 1.000000)
vec4(-21.670200, 1.298800, -244.753387, 1.000000)
vec4(-21.637402, 1.344900, -242.768188, 1.000000)
vec4(-21.668800, 1.301000, -244.198898, 1.000000)
vec4(-20.216702, 1.619700, -242.051895, 1.000000)
vec4(-21.668100, 1.304900, -243.920090, 1.000000)
vec4(-20.215700, 1.639100, -241.687195, 1.000000)
vec4(-20.214802, 1.661200, -241.313095, 1.000000)
vec4(-21.667301, 1.310700, -243.639099, 1.000000)
vec4(-20.213800, 1.686400, -240.928101, 1.000000)
vec4(-20.212700, 1.714800, -240.530594, 1.000000)
vec4(-21.666599, 1.318400, -243.355301, 1.000000)
vec4(-20.211700, 1.746800, -240.118790, 1.000000)
vec4(-21.646200, 1.331600, -243.063400, 1.000000)
vec4(-20.210602, 1.782500, -239.690689, 1.000000)
vec4(-8.455500, 4.250600, -232.053101, 1.000000)
vec4(-17.997200, 2.540400, -235.356201, 1.000000)
vec4(-21.645500, 1.562600, -239.731491, 1.000000)
vec4(-18.801901, 2.433800, -235.354187, 1.000000)
vec4(-16.264400, 2.772300, -235.443893, 1.000000)
vec4(-19.542702, 2.338800, -235.352188, 1.000000)
vec4(-17.117701, 2.660800, -235.358490, 1.000000)
vec4(-20.229000, 2.254100, -235.350494, 1.000000)
vec4(-21.256001, 2.275700, -234.318192, 1.000000)
vec4(-21.253799, 2.397700, -233.463989, 1.000000)
vec4(-20.868200, 2.178300, -235.348801, 1.000000)
vec4(-21.251301, 2.537200, -232.511490, 1.000000)
vec4(-21.257999, 2.168500, -235.090698, 1.000000)
vec4(-21.289400, 2.684000, -231.508987, 1.000000)
vec4(-21.183300, 2.908200, -230.105499, 1.000000)
vec4(-21.302401, 3.338000, -227.325790, 1.000000)
vec4(-21.255701, 3.099300, -228.845795, 1.000000)
vec4(-19.307701, 4.589400, -220.450699, 1.000000)
vec4(-20.370001, 4.513300, -220.507690, 1.000000)
vec4(-38.421200, 3.119100, -229.607697, 1.000000)
vec4(-38.628700, 3.009100, -230.489395, 1.000000)
vec4(-38.899799, 2.933500, -231.206696, 1.000000)
vec4(-39.642601, 3.002800, -231.279495, 1.000000)
vec4(-40.255302, 3.034700, -231.550995, 1.000000)
vec4(-41.883102, 2.812800, -235.146698, 1.000000)
vec4(-42.665600, 2.905500, -235.340500, 1.000000)
vec4(-41.063801, 3.118800, -231.632095, 1.000000)
vec4(-42.940201, 2.892100, -235.901093, 1.000000)
vec4(-41.405701, 3.084300, -232.233093, 1.000000)
vec4(-41.408199, 2.975000, -233.130798, 1.000000)
vec4(-42.787701, 2.796400, -236.702499, 1.000000)
vec4(-41.445499, 2.885200, -233.937988, 1.000000)
vec4(-44.002899, 2.981000, -236.736496, 1.000000)
vec4(-44.879501, 3.096400, -237.021698, 1.000000)
vec4(-46.349201, 3.901200, -230.811401, 1.000000)
vec4(-45.037102, 2.868600, -241.649399, 1.000000)
