vec3(-29.357792, 0.000000, -298.194183)
vec4(-54.048042, 2.919800, -345.253082, 1.000000)
vec4(-59.481346, 4.064600, -348.875061, 1.000000)
vec4(-58.291245, 3.908300, -349.182159, 1.000000)
vec4(-57.655045, 3.866500, -349.764862, 1.000000)
vec4(-57.031944, 3.831000, -350.336182, 1.000000)
vec4(-52.641644, 3.057100, -348.881683, 1.000000)
vec4(-58.240543, 4.203000, -352.262085, 1.000000)
vec4(-52.846146, 3.203600, -349.925873, 1.000000)
vec4(-49.611542, 2.987200, -351.301483, 1.000000)
vec4(-51.483543, 2.984600, -349.579773, 1.000000)
vec4(-50.255943, 3.334400, -353.276489, 1.000000)
vec4(-51.866943, 3.193300, -350.876373, 1.000000)
vec4(-51.008743, 3.759100, -355.681061, 1.000000)
vec4(-50.164143, 3.701900, -355.836578, 1.000000)
vec4(-51.004341, 3.097000, -350.940765, 1.000000)
vec4(-49.463642, 2.811600, -350.141174, 1.000000)
vec4(-57.703842, 6.654400, -370.796265, 1.000000)
vec4(-53.761642, 5.616900, -366.246979, 1.000000)
vec4(-50.993744, 4.912800, -363.164581, 1.000000)
vec4(-49.359543, 8.510800, -385.070862, 1.000000)
vec4(-50.193542, 11.157300, -400.170288, 1.000000)
vec4(-49.822845, 4.815700, -363.083771, 1.000000)
vec4(-49.622345, 5.189200, -365.441772, 1.000000)
vec4(-49.115341, 5.483800, -367.393982, 1.000000)
vec4(-52.293442, 8.151200, -382.223785, 1.000000)
vec4(-51.005844, 8.426500, -384.193787, 1.000000)
vec4(-16.407543, 9.721100, -388.064880, 1.000000)
vec4(-0.553844, 10.718600, -384.770081, 1.000000)
vec4(1.400257, 10.777000, -383.532379, 1.000000)
vec4(15.978756, 13.077000, -387.361389, 1.000000)
vec4(18.968155, 12.594000, -379.257385, 1.000000)
vec4(-30.381344, 1.708100, -342.006470, 1.000000)
vec4(-30.380344, 1.680500, -341.613281, 1.000000)
vec4(21.441055, 12.796300, -377.670288, 1.000000)
vec4(-30.379343, 1.656000, -341.231873, 1.000000)
vec4(-30.378445, 1.634500, -340.860962, 1.000000)
vec4(-30.377443, 1.615800, -340.498962, 1.000000)
vec4(-31.828644, 1.515100, -342.406860, 1.000000)
vec4(-31.796343, 1.341700, -339.795563, 1.000000)
vec4(-31.803343, 1.329000, -339.502167, 1.000000)
vec4(-31.820644, 1.316500, -339.212067, 1.000000)
vec4(-18.665043, 4.137700, -349.305786, 1.000000)
vec4(-31.819942, 1.309300, -338.929260, 1.000000)
vec4(-31.819244, 1.303900, -338.649078, 1.000000)
vec4(-30.382442, 1.739200, -342.413483, 1.000000)
vec4(-31.818542, 1.300400, -338.370789, 1.000000)
vec4(-31.817743, 1.298800, -338.093567, 1.000000)
vec4(-31.817043, 1.299000, -337.816559, 1.000000)
vec4(-31.784943, 1.344900, -336.108368, 1.000000)
vec4(-31.816343, 1.301000, -337.539062, 1.000000)
vec4(-30.364243, 1.619700, -335.392059, 1.000000)
vec4(-31.815643, 1.304900, -337.260284, 1.000000)
vec4(-30.363243, 1.639100, -335.027374, 1.000000)
vec4(-30.362343, 1.661200, -334.653259, 1.000000)
vec4(-31.814842, 1.310700, -336.979279, 1.000000)
vec4(-30.361343, 1.686400, -334.268280, 1.000000)
vec4(-31.814144, 1.318400, -336.695465, 1.000000)
vec4(-30.360245, 1.714800, -333.870789, 1.000000)
vec4(-30.359243, 1.746800, -333.458984, 1.000000)
vec4(-31.793743, 1.331600, -336.403564, 1.000000)
vec4(-30.358143, 1.782500, -333.030884, 1.000000)
vec4(-18.603043, 4.250600, -325.393280, 1.000000)
vec4(-28.144743, 2.540400, -328.696381, 1.000000)
vec4(-31.793043, 1.562600, -333.071686, 1.000000)
vec4(-28.949444, 2.433800, -328.694366, 1.000000)
vec4(-26.411943, 2.772300, -328.784088, 1.000000)
vec4(-29.690243, 2.338800, -328.692383, 1.000000)
vec4(-30.376543, 2.254100, -328.690674, 1.000000)
vec4(-27.265244, 2.660800, -328.698669, 1.000000)
vec4(-31.015743, 2.178300, -328.688965, 1.000000)
vec4(-31.403543, 2.275700, -327.658386, 1.000000)
vec4(-31.401344, 2.397700, -326.804169, 1.000000)
vec4(-31.405544, 2.168500, -328.430878, 1.000000)
vec4(-31.398844, 2.537200, -325.851685, 1.000000)
vec4(-31.436943, 2.684000, -324.849182, 1.000000)
vec4(-31.449944, 3.338000, -320.665985, 1.000000)
vec4(-31.330843, 2.908200, -323.445679, 1.000000)
vec4(-31.403244, 3.099300, -322.185974, 1.000000)
vec4(-29.455242, 4.589400, -313.790863, 1.000000)
vec4(-30.517544, 4.513300, -313.847870, 1.000000)
vec4(-48.568745, 3.119100, -322.947876, 1.000000)
vec4(-48.776245, 3.009100, -323.829559, 1.000000)
vec4(-49.047344, 2.933500, -324.546875, 1.000000)
vec4(-49.790142, 3.002800, -324.619659, 1.000000)
vec4(-52.030643, 2.812800, -328.486877, 1.000000)
vec4(-50.402843, 3.034700, -324.891174, 1.000000)
vec4(-52.813145, 2.905500, -328.680664, 1.000000)
vec4(-53.087746, 2.892100, -329.241272, 1.000000)
vec4(-51.211342, 3.118800, -324.972260, 1.000000)
vec4(-52.935242, 2.796400, -330.042664, 1.000000)
vec4(-51.553246, 3.084300, -325.573273, 1.000000)
vec4(-54.150444, 2.981000, -330.076660, 1.000000)
vec4(-55.027042, 3.096400, -330.361877, 1.000000)
vec4(-51.555744, 2.975000, -326.470978, 1.000000)
vec4(-54.796345, 2.999400, -331.183685, 1.000000)
vec4(-51.593044, 2.885200, -327.278168, 1.000000)
vec4(-54.311646, 2.861700, -332.061188, 1.000000)
vec4(-56.230244, 3.180200, -332.040070, 1.000000)
vec4(-56.496742, 3.901200, -324.151581, 1.000000)
vec4(-64.765541, 4.713800, -330.132568, 1.000000)
vec4(-55.184643, 2.868600, -334.989563, 1.000000)
vec4(-54.911842, 2.802200, -335.649170, 1.000000)
vec4(-71.392944, 5.871600, -329.411285, 1.000000)
vec4(-54.553642, 2.725300, -336.290375, 1.000000)
vec4(-66.702042, 4.970700, -331.757477, 1.000000)
vec4(-55.021343, 2.798800, -336.840088, 1.000000)
vec4(-61.669243, 3.967200, -338.903259, 1.000000)
vec4(-55.572945, 2.890700, -337.418976, 1.000000)
vec4(-52.164642, 2.296000, -339.003876, 1.000000)
vec4(-52.281143, 2.325300, -339.510773, 1.000000)
vec4(-54.639744, 2.724800, -338.032867, 1.000000)
vec4(-51.309341, 2.164100, -339.862274, 1.000000)
vec4(-52.641441, 2.417700, -340.590881, 1.000000)
vec4(-52.768444, 2.460400, -341.150177, 1.000000)
vec4(-55.542145, 2.991100, -342.452179, 1.000000)
vec4(-54.164944, 2.770100, -342.688477, 1.000000)
vec4(-54.387444, 2.847100, -343.394867, 1.000000)
vec4(-52.018444, 2.438200, -343.103577, 1.000000)
vec4(-52.131344, 2.499100, -343.722382, 1.000000)
vec4(-54.035042, 2.728700, -345.246765, 1.000000)
vec4(-59.325844, 3.772700, -348.791779, 1.000000)
vec4(-58.270042, 3.651600, -349.169861, 1.000000)
vec4(-57.634743, 3.612600, -349.752075, 1.000000)
vec4(-57.012543, 3.579500, -350.322876, 1.000000)
vec4(-58.017441, 3.885400, -352.095062, 1.000000)
vec4(-52.675644, 2.866700, -348.909363, 1.000000)
vec4(-52.882343, 3.004500, -349.957581, 1.000000)
vec4(-51.759445, 2.854400, -349.839966, 1.000000)
vec4(-52.171844, 3.058800, -351.186371, 1.000000)
vec4(-50.900742, 2.871600, -350.827271, 1.000000)
vec4(-50.646141, 2.932300, -351.539276, 1.000000)
vec4(-49.643044, 2.802700, -351.341888, 1.000000)
vec4(-50.265244, 3.121600, -353.289368, 1.000000)
vec4(-51.031544, 3.523100, -355.715363, 1.000000)
vec4(-50.184944, 3.469400, -355.870667, 1.000000)
vec4(-55.697441, 5.550500, -367.242462, 1.000000)
vec4(-53.155441, 5.035800, -365.072388, 1.000000)
vec4(-51.042542, 4.614500, -363.268677, 1.000000)
vec4(-49.985146, 4.573400, -363.466583, 1.000000)
vec4(-49.918743, 4.991900, -366.221161, 1.000000)
vec4(-48.792343, 4.963000, -366.438171, 1.000000)
