vec3(-4.178872, 0.000000, -19.388523)
vec4(0.794428, -1.258700, -17.204624, 1.000000)
vec4(0.658228, -1.265200, -16.998024, 1.000000)
vec4(0.662928, -1.298300, -17.315224, 1.000000)
vec4(0.477828, -1.290500, -17.161823, 1.000000)
vec4(0.414028, -1.318900, -16.893322, 1.000000)
vec4(0.689028, -1.378900, -17.293324, 1.000000)
vec4(0.460728, -1.358300, -17.177423, 1.000000)
vec4(0.459528, -1.407000, -16.848824, 1.000000)
vec4(0.693528, -1.454300, -17.289623, 1.000000)
vec4(0.462828, -1.431800, -17.175423, 1.000000)
vec4(0.457728, -1.482000, -16.850523, 1.000000)
vec4(0.698028, -1.530100, -17.285824, 1.000000)
vec4(0.465028, -1.505800, -17.173523, 1.000000)
vec4(0.456328, -1.557400, -16.851923, 1.000000)
vec4(0.702528, -1.606500, -17.282022, 1.000000)
vec4(0.467228, -1.580200, -17.171623, 1.000000)
vec4(0.707128, -1.683400, -17.278223, 1.000000)
vec4(0.469428, -1.655100, -17.169622, 1.000000)
vec4(0.711728, -1.761000, -17.274424, 1.000000)
vec4(0.471628, -1.730600, -17.167723, 1.000000)
vec4(0.716428, -1.839200, -17.270424, 1.000000)
vec4(0.473828, -1.806600, -17.165724, 1.000000)
vec4(0.721328, -1.918100, -17.266422, 1.000000)
vec4(0.476428, -1.883200, -17.163424, 1.000000)
vec4(0.726228, -1.997700, -17.262323, 1.000000)
vec4(0.480528, -1.961100, -17.159723, 1.000000)
vec4(1.855028, -2.345900, -17.379124, 1.000000)
vec4(1.591228, -2.302600, -17.233223, 1.000000)
vec4(1.430628, -2.302600, -17.019323, 1.000000)
vec4(0.731228, -2.078000, -17.258123, 1.000000)
vec4(0.484628, -2.039700, -17.155922, 1.000000)
vec4(0.902128, -2.302600, -16.415924, 1.000000)
vec4(0.711328, -2.302600, -16.228424, 1.000000)
vec4(1.908928, -2.345900, -17.973324, 1.000000)
vec4(1.775828, -2.345900, -17.746923, 1.000000)
vec4(1.527228, -2.302600, -17.596924, 1.000000)
vec4(1.380328, -2.302600, -17.385124, 1.000000)
vec4(1.225528, -2.302600, -17.179024, 1.000000)
vec4(0.736228, -2.159000, -17.253923, 1.000000)
vec4(0.488828, -2.119000, -17.152224, 1.000000)
vec4(0.716428, -2.302600, -16.597622, 1.000000)
vec4(0.532528, -2.302600, -16.417124, 1.000000)
vec4(0.342028, -2.302600, -16.243624, 1.000000)
vec4(0.145128, -2.302600, -16.077324, 1.000000)
vec4(1.812628, -2.345900, -18.317823, 1.000000)
vec4(1.584328, -2.302600, -18.155523, 1.000000)
vec4(1.458428, -2.302600, -17.941124, 1.000000)
vec4(1.324528, -2.302600, -17.731623, 1.000000)
vec4(1.182828, -2.302600, -17.527424, 1.000000)
vec4(1.033628, -2.302600, -17.328623, 1.000000)
vec4(0.739928, -2.240200, -17.250824, 1.000000)
vec4(0.492928, -2.198900, -17.148523, 1.000000)
vec4(0.542528, -2.302600, -16.767822, 1.000000)
vec4(0.365228, -2.302600, -16.593723, 1.000000)
vec4(0.181528, -2.302600, -16.426323, 1.000000)
vec4(-0.008372, -2.302600, -16.266024, 1.000000)
vec4(-0.204172, -2.302600, -16.112923, 1.000000)
vec4(1.713228, -2.345900, -18.643524, 1.000000)
vec4(1.498828, -2.302600, -18.478622, 1.000000)
vec4(1.385128, -2.302600, -18.267223, 1.000000)
vec4(1.263528, -2.302600, -18.060324, 1.000000)
vec4(1.134328, -2.302600, -17.858023, 1.000000)
vec4(0.997528, -2.302600, -17.660824, 1.000000)
vec4(0.853428, -2.302600, -17.468924, 1.000000)
vec4(0.702228, -2.302600, -17.282524, 1.000000)
vec4(0.494428, -2.278400, -17.147223, 1.000000)
vec4(0.379428, -2.302600, -16.927523, 1.000000)
vec4(0.208228, -2.302600, -16.759422, 1.000000)
vec4(0.030828, -2.302600, -16.597824, 1.000000)
vec4(-0.152472, -2.302600, -16.443024, 1.000000)
vec4(-0.341572, -2.302600, -16.295223, 1.000000)
vec4(-0.535972, -2.302600, -16.154623, 1.000000)
vec4(1.504028, -2.302600, -18.996923, 1.000000)
vec4(1.409828, -2.302600, -18.784924, 1.000000)
vec4(1.307728, -2.302600, -18.576624, 1.000000)
vec4(1.197828, -2.302600, -18.372423, 1.000000)
vec4(1.080328, -2.302600, -18.172422, 1.000000)
vec4(0.955428, -2.302600, -17.976923, 1.000000)
vec4(0.823328, -2.302600, -17.786423, 1.000000)
vec4(0.684028, -2.302600, -17.600924, 1.000000)
vec4(0.537928, -2.302600, -17.420822, 1.000000)
vec4(0.385228, -2.302600, -17.246323, 1.000000)
vec4(0.226028, -2.302600, -17.077723, 1.000000)
vec4(0.060528, -2.302600, -16.915222, 1.000000)
vec4(-0.110872, -2.302600, -16.759123, 1.000000)
vec4(-0.287972, -2.302600, -16.609524, 1.000000)
vec4(-0.470672, -2.302600, -16.466722, 1.000000)
vec4(-0.658572, -2.302600, -16.330822, 1.000000)
vec4(1.400728, -2.302600, -19.283724, 1.000000)
vec4(1.317428, -2.302600, -19.075422, 1.000000)
vec4(1.226328, -2.302600, -18.870422, 1.000000)
vec4(1.127528, -2.302600, -18.669024, 1.000000)
vec4(1.021328, -2.302600, -18.471424, 1.000000)
vec4(0.907728, -2.302600, -18.278023, 1.000000)
vec4(0.786928, -2.302600, -18.089024, 1.000000)
vec4(0.659028, -2.302600, -17.904623, 1.000000)
vec4(0.524428, -2.302600, -17.725323, 1.000000)
vec4(0.383128, -2.302600, -17.551123, 1.000000)
vec4(0.235328, -2.302600, -17.382324, 1.000000)
vec4(0.081428, -2.302600, -17.219322, 1.000000)
vec4(-0.078572, -2.302600, -17.062122, 1.000000)
vec4(-0.244372, -2.302600, -16.911123, 1.000000)
vec4(-0.415672, -2.302600, -16.766422, 1.000000)
vec4(-0.592372, -2.302600, -16.628223, 1.000000)
vec4(1.221928, -2.302600, -19.351223, 1.000000)
vec4(1.141228, -2.302600, -19.149624, 1.000000)
vec4(1.053028, -2.302600, -18.951223, 1.000000)
vec4(0.957428, -2.302600, -18.756224, 1.000000)
vec4(0.854628, -2.302600, -18.564922, 1.000000)
vec4(0.744628, -2.302600, -18.377724, 1.000000)
vec4(0.627728, -2.302600, -18.194822, 1.000000)
vec4(0.504028, -2.302600, -18.016323, 1.000000)
vec4(0.373728, -2.302600, -17.842724, 1.000000)
vec4(0.236928, -2.302600, -17.674124, 1.000000)
vec4(0.093928, -2.302600, -17.510723, 1.000000)
vec4(-0.055172, -2.302600, -17.352922, 1.000000)
vec4(-0.209972, -2.302600, -17.200823, 1.000000)
vec4(-0.370472, -2.302600, -17.054623, 1.000000)
vec4(-0.536272, -2.302600, -16.914524, 1.000000)
vec4(1.123428, -2.302600, -19.613224, 1.000000)
vec4(1.052728, -2.302600, -19.415123, 1.000000)
vec4(0.974528, -2.302600, -19.219824, 1.000000)
vec4(0.889128, -2.302600, -19.027523, 1.000000)
vec4(0.796528, -2.302600, -18.838722, 1.000000)
vec4(0.696928, -2.302600, -18.653423, 1.000000)
vec4(0.590428, -2.302600, -18.472023, 1.000000)
vec4(0.477128, -2.302600, -18.294823, 1.000000)
vec4(0.357328, -2.302600, -18.122023, 1.000000)
vec4(0.231128, -2.302600, -17.953823, 1.000000)
vec4(0.098628, -2.302600, -17.790524, 1.000000)
vec4(-0.039872, -2.302600, -17.632223, 1.000000)
vec4(-0.184272, -2.302600, -17.479322, 1.000000)
vec4(-0.334272, -2.302600, -17.331923, 1.000000)
vec4(-0.489672, -2.302600, -17.190323, 1.000000)
vec4(-0.650372, -2.302600, -17.054724, 1.000000)
vec4(0.960928, -2.302600, -19.667624, 1.000000)
vec4(0.892328, -2.302600, -19.475624, 1.000000)
vec4(0.816628, -2.302600, -19.286222, 1.000000)
vec4(0.733828, -2.302600, -19.099922, 1.000000)
vec4(0.644128, -2.302600, -18.916822, 1.000000)
vec4(0.547528, -2.302600, -18.737223, 1.000000)
vec4(0.444328, -2.302600, -18.561422, 1.000000)
vec4(0.334528, -2.302600, -18.389624, 1.000000)
vec4(0.218328, -2.302600, -18.222122, 1.000000)
vec4(0.096028, -2.302600, -18.059023, 1.000000)
vec4(-0.032472, -2.302600, -17.900723, 1.000000)
vec4(-0.166672, -2.302600, -17.747322, 1.000000)
vec4(-0.306672, -2.302600, -17.599123, 1.000000)
vec4(-0.452072, -2.302600, -17.456223, 1.000000)
vec4(-0.602772, -2.302600, -17.319023, 1.000000)
vec4(0.806628, -2.302600, -19.719322, 1.000000)
vec4(0.740228, -2.302600, -19.533024, 1.000000)
