vec3(-7.634079, 0.000000, -17.636217)
vec4(-0.269479, -0.438600, -18.063917, 1.000000)
vec4(-0.268779, -0.442600, -17.771517, 1.000000)
vec4(-0.270179, -0.518400, -18.351618, 1.000000)
vec4(-0.269479, -0.522400, -18.063917, 1.000000)
vec4(-0.268779, -0.527200, -17.771618, 1.000000)
vec4(-0.267980, -0.532800, -17.473516, 1.000000)
vec4(-0.266880, -0.598300, -18.635017, 1.000000)
vec4(-0.270179, -0.601700, -18.351717, 1.000000)
vec4(-0.269479, -0.606300, -18.064016, 1.000000)
vec4(-0.268779, -0.611800, -17.771618, 1.000000)
vec4(-0.267980, -0.618400, -17.473516, 1.000000)
vec4(-0.262779, -0.626300, -17.167316, 1.000000)
vec4(-0.271679, -0.677800, -18.916517, 1.000000)
vec4(-0.266880, -0.681300, -18.635017, 1.000000)
vec4(-0.270179, -0.685100, -18.351717, 1.000000)
vec4(-0.269479, -0.690400, -18.064016, 1.000000)
vec4(-0.268779, -0.696700, -17.771618, 1.000000)
vec4(-0.267980, -0.704100, -17.473618, 1.000000)
vec4(-0.260980, -0.713200, -17.166718, 1.000000)
vec4(-0.271679, -0.760500, -18.916517, 1.000000)
vec4(-0.266880, -0.764500, -18.635017, 1.000000)
vec4(-0.270179, -0.768800, -18.351717, 1.000000)
vec4(-0.269479, -0.774600, -18.064117, 1.000000)
vec4(-0.268779, -0.781600, -17.771717, 1.000000)
vec4(-0.267980, -0.789900, -17.473618, 1.000000)
vec4(-0.259079, -0.800400, -17.166117, 1.000000)
vec4(-0.250080, -0.812400, -16.850018, 1.000000)
vec4(-0.272379, -0.840800, -19.195316, 1.000000)
vec4(-0.271679, -0.843500, -18.916517, 1.000000)
vec4(-0.266880, -0.847900, -18.635117, 1.000000)
vec4(-0.270179, -0.852600, -18.351818, 1.000000)
vec4(-0.269479, -0.859000, -18.064117, 1.000000)
vec4(-0.268779, -0.866800, -17.771717, 1.000000)
vec4(-0.267980, -0.876000, -17.473618, 1.000000)
vec4(-0.257179, -0.887900, -17.165518, 1.000000)
vec4(-0.248179, -0.901100, -16.849318, 1.000000)
vec4(-0.272379, -0.923600, -19.195417, 1.000000)
vec4(-0.271679, -0.926600, -18.916616, 1.000000)
vec4(-0.266880, -0.931400, -18.635117, 1.000000)
vec4(-0.270179, -0.936600, -18.351818, 1.000000)
vec4(-0.269479, -0.943700, -18.064117, 1.000000)
vec4(-0.268779, -0.952200, -17.771816, 1.000000)
vec4(-0.267980, -0.962300, -17.473717, 1.000000)
vec4(-0.255280, -0.975600, -17.164917, 1.000000)
vec4(-0.246379, -0.990100, -16.848717, 1.000000)
vec4(-0.272379, -1.006800, -19.195417, 1.000000)
vec4(-0.271679, -1.010000, -18.916616, 1.000000)
vec4(-0.266880, -1.015200, -18.635218, 1.000000)
vec4(-0.270179, -1.020800, -18.351818, 1.000000)
vec4(-0.269479, -1.028600, -18.064217, 1.000000)
vec4(-0.268779, -1.037900, -17.771816, 1.000000)
vec4(-0.267980, -1.048800, -17.473717, 1.000000)
vec4(-0.253479, -1.063500, -17.164318, 1.000000)
vec4(-0.244480, -1.079300, -16.848017, 1.000000)
vec4(-0.243380, -1.096000, -16.525217, 1.000000)
vec4(-0.273079, -1.088200, -19.472918, 1.000000)
vec4(-0.272379, -1.090200, -19.195417, 1.000000)
vec4(-0.271679, -1.093600, -18.916718, 1.000000)
vec4(-0.266880, -1.099300, -18.635218, 1.000000)
vec4(-0.270179, -1.105400, -18.351917, 1.000000)
