vec3(-27.065235, 0.000000, -276.932617)
vec4(-51.755482, 2.919800, -323.991516, 1.000000)
vec4(-57.188782, 4.064600, -327.613495, 1.000000)
vec4(-55.998680, 3.908300, -327.920593, 1.000000)
vec4(-55.362480, 3.866500, -328.503296, 1.000000)
vec4(-54.739384, 3.831000, -329.074615, 1.000000)
vec4(-55.947983, 4.203000, -331.000519, 1.000000)
vec4(-50.349083, 3.057100, -327.620117, 1.000000)
vec4(-50.553581, 3.203600, -328.664307, 1.000000)
vec4(-49.190983, 2.984600, -328.318207, 1.000000)
vec4(-49.574383, 3.193300, -329.614807, 1.000000)
vec4(-47.318985, 2.987200, -330.039917, 1.000000)
vec4(-47.963383, 3.334400, -332.014893, 1.000000)
vec4(-48.711784, 3.097000, -329.679199, 1.000000)
vec4(-48.716183, 3.759100, -334.419495, 1.000000)
vec4(-47.171082, 2.811600, -328.879608, 1.000000)
vec4(-47.871582, 3.701900, -334.575012, 1.000000)
vec4(-48.701183, 4.912800, -341.903015, 1.000000)
vec4(-55.411285, 6.654400, -349.534698, 1.000000)
vec4(-47.530281, 4.815700, -341.822205, 1.000000)
vec4(-51.469082, 5.616900, -344.985413, 1.000000)
vec4(-47.329781, 5.189200, -344.180206, 1.000000)
vec4(-47.066982, 8.510800, -363.809296, 1.000000)
vec4(-46.822784, 5.483800, -346.132416, 1.000000)
vec4(-47.900982, 11.157300, -378.908691, 1.000000)
vec4(-50.000885, 8.151200, -360.962219, 1.000000)
vec4(-48.713284, 8.426500, -362.932220, 1.000000)
vec4(-14.114983, 9.721100, -366.803314, 1.000000)
vec4(1.738716, 10.718600, -363.508514, 1.000000)
vec4(3.692818, 10.777000, -362.270813, 1.000000)
vec4(21.260715, 12.594000, -357.995819, 1.000000)
vec4(23.733616, 12.796300, -356.408691, 1.000000)
vec4(18.271317, 13.077000, -366.099792, 1.000000)
vec4(-29.536083, 1.515100, -321.145294, 1.000000)
vec4(-28.088783, 1.708100, -320.744904, 1.000000)
vec4(-16.372482, 4.137700, -328.044220, 1.000000)
vec4(-28.087784, 1.680500, -320.351715, 1.000000)
vec4(-28.089882, 1.739200, -321.151917, 1.000000)
vec4(-28.086782, 1.656000, -319.970306, 1.000000)
vec4(-29.510782, 1.329000, -318.240601, 1.000000)
vec4(-28.085884, 1.634500, -319.599396, 1.000000)
vec4(-28.084883, 1.615800, -319.237396, 1.000000)
vec4(-29.528084, 1.316500, -317.950500, 1.000000)
vec4(-29.503782, 1.341700, -318.533997, 1.000000)
vec4(-29.527382, 1.309300, -317.667694, 1.000000)
vec4(-29.526684, 1.303900, -317.387512, 1.000000)
vec4(-29.524483, 1.299000, -316.554993, 1.000000)
vec4(-29.525982, 1.300400, -317.109222, 1.000000)
vec4(-29.523783, 1.301000, -316.277496, 1.000000)
vec4(-29.525183, 1.298800, -316.832001, 1.000000)
vec4(-29.523083, 1.304900, -315.998718, 1.000000)
vec4(-29.492382, 1.344900, -314.846802, 1.000000)
vec4(-29.522282, 1.310700, -315.717712, 1.000000)
vec4(-28.071682, 1.619700, -314.130493, 1.000000)
vec4(-29.521584, 1.318400, -315.433899, 1.000000)
vec4(-28.070683, 1.639100, -313.765808, 1.000000)
vec4(-29.501183, 1.331600, -315.141998, 1.000000)
vec4(-28.069782, 1.661200, -313.391693, 1.000000)
vec4(-28.066683, 1.746800, -312.197418, 1.000000)
vec4(-28.068783, 1.686400, -313.006714, 1.000000)
vec4(-28.065582, 1.782500, -311.769318, 1.000000)
vec4(-28.067684, 1.714800, -312.609222, 1.000000)
vec4(-16.310482, 4.250600, -304.131714, 1.000000)
vec4(-25.852182, 2.540400, -307.434814, 1.000000)
vec4(-29.500483, 1.562600, -311.810120, 1.000000)
vec4(-26.656883, 2.433800, -307.432800, 1.000000)
vec4(-27.397682, 2.338800, -307.430817, 1.000000)
vec4(-24.119383, 2.772300, -307.522522, 1.000000)
vec4(-28.083982, 2.254100, -307.429108, 1.000000)
vec4(-24.972683, 2.660800, -307.437103, 1.000000)
vec4(-28.723183, 2.178300, -307.427399, 1.000000)
vec4(-29.110983, 2.275700, -306.396820, 1.000000)
vec4(-29.112984, 2.168500, -307.169312, 1.000000)
vec4(-29.108784, 2.397700, -305.542603, 1.000000)
vec4(-29.106283, 2.537200, -304.590118, 1.000000)
vec4(-29.157383, 3.338000, -299.404419, 1.000000)
vec4(-29.144382, 2.684000, -303.587616, 1.000000)
vec4(-29.038282, 2.908200, -302.184113, 1.000000)
vec4(-27.162682, 4.589400, -292.529297, 1.000000)
vec4(-29.110683, 3.099300, -300.924408, 1.000000)
vec4(-28.224983, 4.513300, -292.586304, 1.000000)
vec4(-48.110283, 3.034700, -303.629608, 1.000000)
vec4(-46.276184, 3.119100, -301.686310, 1.000000)
vec4(-46.483681, 3.009100, -302.567993, 1.000000)
vec4(-48.918785, 3.118800, -303.710693, 1.000000)
vec4(-46.754784, 2.933500, -303.285309, 1.000000)
vec4(-49.260681, 3.084300, -304.311707, 1.000000)
vec4(-47.497581, 3.002800, -303.358093, 1.000000)
vec4(-49.263184, 2.975000, -305.209412, 1.000000)
vec4(-49.738083, 2.812800, -307.225311, 1.000000)
vec4(-49.300484, 2.885200, -306.016602, 1.000000)
vec4(-50.520584, 2.905500, -307.419098, 1.000000)
vec4(-54.204185, 3.901200, -302.890015, 1.000000)
vec4(-50.795181, 2.892100, -307.979706, 1.000000)
vec4(-52.503784, 2.999400, -309.922119, 1.000000)
vec4(-50.642685, 2.796400, -308.781097, 1.000000)
vec4(-52.019081, 2.861700, -310.799622, 1.000000)
vec4(-51.857883, 2.981000, -308.815094, 1.000000)
vec4(-53.937683, 3.180200, -310.778503, 1.000000)
vec4(-52.734482, 3.096400, -309.100311, 1.000000)
vec4(-52.892082, 2.868600, -313.727997, 1.000000)
vec4(-62.472984, 4.713800, -308.871002, 1.000000)
vec4(-52.619282, 2.802200, -314.387604, 1.000000)
vec4(-52.261082, 2.725300, -315.028809, 1.000000)
vec4(-69.100388, 5.871600, -308.149719, 1.000000)
vec4(-52.728783, 2.798800, -315.578522, 1.000000)
vec4(-64.409485, 4.970700, -310.495911, 1.000000)
vec4(-53.280380, 2.890700, -316.157410, 1.000000)
vec4(-52.347183, 2.724800, -316.771301, 1.000000)
vec4(-59.376682, 3.967200, -317.641693, 1.000000)
vec4(-49.872082, 2.296000, -317.742310, 1.000000)
vec4(-49.988583, 2.325300, -318.249207, 1.000000)
vec4(-49.016785, 2.164100, -318.600708, 1.000000)
vec4(-50.348885, 2.417700, -319.329315, 1.000000)
vec4(-50.475883, 2.460400, -319.888611, 1.000000)
vec4(-53.249580, 2.991100, -321.190613, 1.000000)
vec4(-51.872383, 2.770100, -321.426910, 1.000000)
vec4(-52.094883, 2.847100, -322.133301, 1.000000)
vec4(-49.725883, 2.438200, -321.842010, 1.000000)
vec4(-49.838783, 2.499100, -322.460815, 1.000000)
vec4(-51.742485, 2.728700, -323.985199, 1.000000)
vec4(-57.033283, 3.772700, -327.530212, 1.000000)
vec4(-55.977482, 3.651600, -327.908295, 1.000000)
vec4(-55.342182, 3.612600, -328.490509, 1.000000)
vec4(-54.719982, 3.579500, -329.061310, 1.000000)
vec4(-55.724884, 3.885400, -330.833496, 1.000000)
vec4(-50.383083, 2.866700, -327.647797, 1.000000)
vec4(-50.589783, 3.004500, -328.696014, 1.000000)
