vec3(-7.430802, 0.000000, -17.592875)
vec4(-0.066902, -0.435100, -18.308174, 1.000000)
vec4(-0.066202, -0.438400, -18.020475, 1.000000)
vec4(-0.065403, -0.442400, -17.728174, 1.000000)
vec4(-0.063703, -0.515400, -18.591574, 1.000000)
vec4(-0.066902, -0.518300, -18.308174, 1.000000)
vec4(-0.066202, -0.522200, -18.020575, 1.000000)
vec4(-0.065403, -0.527000, -17.728174, 1.000000)
vec4(-0.064602, -0.532600, -17.430075, 1.000000)
vec4(-0.063703, -0.598200, -18.591574, 1.000000)
vec4(-0.066902, -0.601600, -18.308275, 1.000000)
vec4(-0.066202, -0.606100, -18.020575, 1.000000)
vec4(-0.065403, -0.611600, -17.728174, 1.000000)
vec4(-0.064602, -0.618100, -17.430075, 1.000000)
vec4(-0.059302, -0.626000, -17.123775, 1.000000)
vec4(-0.068402, -0.677700, -18.873074, 1.000000)
vec4(-0.063703, -0.681200, -18.591574, 1.000000)
vec4(-0.066902, -0.685000, -18.308275, 1.000000)
vec4(-0.066202, -0.690200, -18.020575, 1.000000)
vec4(-0.065403, -0.696500, -17.728174, 1.000000)
vec4(-0.064602, -0.703800, -17.430174, 1.000000)
vec4(-0.057402, -0.713000, -17.123175, 1.000000)
vec4(-0.068402, -0.760500, -18.873074, 1.000000)
vec4(-0.063703, -0.764400, -18.591675, 1.000000)
vec4(-0.066902, -0.768600, -18.308275, 1.000000)
vec4(-0.066202, -0.774400, -18.020674, 1.000000)
vec4(-0.065403, -0.781500, -17.728275, 1.000000)
vec4(-0.064602, -0.789700, -17.430174, 1.000000)
vec4(-0.055603, -0.800200, -17.122574, 1.000000)
vec4(-0.046702, -0.812100, -16.806574, 1.000000)
vec4(-0.069102, -0.840700, -19.151875, 1.000000)
vec4(-0.068402, -0.843400, -18.873074, 1.000000)
vec4(-0.063703, -0.847800, -18.591675, 1.000000)
vec4(-0.066902, -0.852400, -18.308374, 1.000000)
vec4(-0.066202, -0.858900, -18.020674, 1.000000)
vec4(-0.065403, -0.866600, -17.728275, 1.000000)
vec4(-0.064602, -0.875800, -17.430174, 1.000000)
vec4(-0.053702, -0.887600, -17.121975, 1.000000)
vec4(-0.044802, -0.900800, -16.805874, 1.000000)
vec4(-0.069102, -0.923600, -19.151974, 1.000000)
vec4(-0.068402, -0.926500, -18.873175, 1.000000)
vec4(-0.063703, -0.931300, -18.591675, 1.000000)
vec4(-0.066902, -0.936500, -18.308374, 1.000000)
vec4(-0.066202, -0.943500, -18.020674, 1.000000)
vec4(-0.065403, -0.952000, -17.728275, 1.000000)
vec4(-0.064602, -0.962100, -17.430275, 1.000000)
vec4(-0.051802, -0.975300, -17.121374, 1.000000)
vec4(-0.043002, -0.989800, -16.805174, 1.000000)
vec4(-0.069802, -1.005000, -19.429474, 1.000000)
vec4(-0.069102, -1.006700, -19.151974, 1.000000)
vec4(-0.068402, -1.009900, -18.873175, 1.000000)
vec4(-0.063703, -1.015100, -18.591675, 1.000000)
vec4(-0.066902, -1.020700, -18.308374, 1.000000)
vec4(-0.066202, -1.028400, -18.020674, 1.000000)
vec4(-0.065403, -1.037700, -17.728374, 1.000000)
vec4(-0.064602, -1.048600, -17.430275, 1.000000)
vec4(-0.049902, -1.063300, -17.120775, 1.000000)
vec4(-0.041102, -1.079000, -16.804575, 1.000000)
vec4(-0.069802, -1.088200, -19.429474, 1.000000)
vec4(-0.069102, -1.090100, -19.151974, 1.000000)
vec4(-0.068402, -1.093600, -18.873175, 1.000000)
vec4(-0.063703, -1.099200, -18.591774, 1.000000)
vec4(-0.066902, -1.105200, -18.308475, 1.000000)
vec4(-0.066202, -1.113500, -18.020775, 1.000000)
vec4(-0.065403, -1.123600, -17.728374, 1.000000)
vec4(-0.064602, -1.135400, -17.430275, 1.000000)
vec4(-0.048002, -1.151600, -17.120174, 1.000000)
vec4(-0.039302, -1.168600, -16.803875, 1.000000)
vec4(-0.038102, -1.186600, -16.480974, 1.000000)
vec4(-0.069802, -1.171700, -19.429474, 1.000000)
vec4(-0.069102, -1.173800, -19.152075, 1.000000)
vec4(-0.068402, -1.177500, -18.873274, 1.000000)
vec4(-0.063703, -1.183500, -18.591774, 1.000000)
vec4(-0.066902, -1.190000, -18.308475, 1.000000)
vec4(-0.066202, -1.199000, -18.020775, 1.000000)
vec4(-0.065403, -1.209700, -17.728374, 1.000000)
vec4(-0.064602, -1.222500, -17.430374, 1.000000)
vec4(-0.046103, -1.240200, -17.119576, 1.000000)
vec4(-0.037402, -1.258600, -16.803175, 1.000000)
vec4(-0.036202, -1.277900, -16.480175, 1.000000)
vec4(-0.063902, -1.256600, -19.429375, 1.000000)
vec4(-0.063303, -1.258700, -19.151674, 1.000000)
vec4(-0.062802, -1.262600, -18.872675, 1.000000)
vec4(-0.063703, -1.268100, -18.591774, 1.000000)
vec4(-0.066902, -1.275100, -18.308475, 1.000000)
vec4(-0.066202, -1.284700, -18.020775, 1.000000)
vec4(-0.065403, -1.296200, -17.728474, 1.000000)
vec4(-0.064602, -1.309900, -17.430374, 1.000000)
vec4(-0.044202, -1.329200, -17.118975, 1.000000)
