vec3(-5.595856, 0.000000, -82.646683)
vec4(-30.269712, 2.835500, -129.729156, 1.000000)
vec4(-35.659012, 3.931400, -133.339050, 1.000000)
vec4(-34.475815, 3.772900, -133.645554, 1.000000)
vec4(-33.841213, 3.724800, -134.225952, 1.000000)
vec4(-33.219612, 3.683100, -134.795059, 1.000000)
vec4(-28.914213, 2.943500, -133.395050, 1.000000)
vec4(-34.392715, 4.026000, -136.695358, 1.000000)
vec4(-29.121613, 3.079300, -134.445557, 1.000000)
vec4(-25.817413, 2.830700, -135.744751, 1.000000)
vec4(-27.935913, 2.905600, -134.266861, 1.000000)
vec4(-26.486912, 3.162800, -137.754654, 1.000000)
vec4(-27.229313, 3.557700, -140.147461, 1.000000)
vec4(-28.348812, 3.108800, -135.611557, 1.000000)
vec4(-26.386414, 3.499100, -140.302856, 1.000000)
vec4(-27.252312, 2.955700, -135.437256, 1.000000)
vec4(-30.706314, 5.192300, -149.575958, 1.000000)
vec4(-26.877413, 2.982700, -136.017151, 1.000000)
vec4(-29.361813, 5.072000, -149.520264, 1.000000)
vec4(-25.502813, 7.915600, -169.173355, 1.000000)
vec4(-27.277912, 4.652100, -147.767563, 1.000000)
vec4(-26.477512, 10.513200, -184.998657, 1.000000)
vec4(-26.173512, 4.585800, -147.853256, 1.000000)
vec4(-26.118813, 5.006200, -150.629959, 1.000000)
vec4(-25.002712, 4.976300, -150.864166, 1.000000)
vec4(-28.510612, 7.649500, -166.691467, 1.000000)
vec4(-26.895912, 7.682400, -167.372467, 1.000000)
vec4(7.258688, 9.130800, -172.411652, 1.000000)
vec4(23.793287, 10.358500, -170.049255, 1.000000)
vec4(6.322086, 5.294200, -145.121353, 1.000000)
vec4(41.128090, 12.115800, -165.998459, 1.000000)
vec4(42.293884, 12.049800, -163.536057, 1.000000)
vec4(39.544685, 12.489800, -171.779755, 1.000000)
vec4(44.956985, 12.310600, -162.100357, 1.000000)
vec4(-6.619413, 1.664100, -126.477661, 1.000000)
vec4(-8.066713, 1.466500, -126.875854, 1.000000)
vec4(-6.618413, 1.640800, -126.084061, 1.000000)
vec4(-6.617413, 1.620500, -125.702560, 1.000000)
vec4(5.096786, 4.013600, -133.803253, 1.000000)
vec4(-8.033813, 1.344900, -124.864555, 1.000000)
vec4(-6.620513, 1.690600, -126.884956, 1.000000)
vec4(-8.041412, 1.331100, -124.558258, 1.000000)
vec4(-8.059513, 1.309300, -123.965462, 1.000000)
vec4(-8.060213, 1.317400, -124.256355, 1.000000)
vec4(-8.058713, 1.303200, -123.678955, 1.000000)
vec4(-8.055113, 1.301100, -122.283356, 1.000000)
vec4(-8.058013, 1.299100, -123.396156, 1.000000)
vec4(-8.054413, 1.306200, -122.005959, 1.000000)
vec4(-8.053713, 1.313100, -121.727158, 1.000000)
vec4(-8.057313, 1.296800, -123.115959, 1.000000)
vec4(-8.052913, 1.322000, -121.446358, 1.000000)
vec4(-8.056613, 1.296400, -122.837555, 1.000000)
vec4(-8.029013, 1.337100, -121.158562, 1.000000)
vec4(-8.055813, 1.297800, -122.560356, 1.000000)
vec4(-8.019413, 1.351600, -120.868256, 1.000000)
vec4(-8.035112, 1.363600, -120.578758, 1.000000)
vec4(-6.597313, 1.797000, -117.930962, 1.000000)
vec4(-6.602313, 1.648600, -119.862556, 1.000000)
vec4(-6.596213, 1.837500, -117.503258, 1.000000)
vec4(-6.601413, 1.672000, -119.498055, 1.000000)
vec4(-6.600413, 1.698300, -119.124260, 1.000000)
vec4(5.158787, 4.390300, -109.893456, 1.000000)
vec4(-6.599413, 1.727700, -118.739555, 1.000000)
vec4(-8.014313, 1.620800, -117.530556, 1.000000)
vec4(-6.598413, 1.760500, -118.342361, 1.000000)
vec4(-2.391413, 2.932500, -113.081955, 1.000000)
vec4(-4.323112, 2.657600, -113.127258, 1.000000)
vec4(-3.437013, 2.779000, -113.129555, 1.000000)
vec4(-5.133413, 2.550000, -113.125160, 1.000000)
vec4(-7.641613, 2.389900, -112.136559, 1.000000)
vec4(-5.879213, 2.454300, -113.123260, 1.000000)
vec4(-7.639413, 2.521200, -111.283760, 1.000000)
vec4(-6.569913, 2.368900, -113.121460, 1.000000)
vec4(-7.637013, 2.671300, -110.332855, 1.000000)
vec4(-7.213213, 2.292500, -113.119759, 1.000000)
vec4(-7.629813, 2.845600, -109.255257, 1.000000)
vec4(-7.643613, 2.274100, -112.907860, 1.000000)
vec4(-7.569013, 3.068800, -107.931061, 1.000000)
vec4(-7.627413, 3.279700, -106.645058, 1.000000)
vec4(-7.661513, 3.541400, -105.096756, 1.000000)
vec4(-5.537913, 4.934200, -97.909058, 1.000000)
vec4(-6.617813, 4.855800, -97.967857, 1.000000)
vec4(-24.851212, 3.299700, -107.364960, 1.000000)
vec4(-24.921612, 3.133900, -108.452858, 1.000000)
vec4(-25.338213, 3.097500, -108.961060, 1.000000)
vec4(-26.373013, 3.102400, -109.689758, 1.000000)
vec4(-26.085514, 3.166400, -109.034454, 1.000000)
vec4(-27.482513, 3.270400, -109.424461, 1.000000)
vec4(-28.262613, 2.915300, -112.975555, 1.000000)
vec4(-29.046913, 3.006300, -113.168762, 1.000000)
vec4(-27.933914, 3.257400, -109.918159, 1.000000)
vec4(-29.330414, 2.988600, -113.723457, 1.000000)
vec4(-27.816513, 3.106800, -110.936157, 1.000000)
vec4(-27.853413, 3.007800, -111.744255, 1.000000)
vec4(-29.176613, 2.883800, -114.524658, 1.000000)
vec4(-28.471714, 3.055100, -112.041359, 1.000000)
vec4(-30.123713, 3.013000, -114.701859, 1.000000)
vec4(-30.982212, 3.063200, -115.692360, 1.000000)
vec4(-31.277412, 3.181900, -114.843155, 1.000000)
vec4(-30.501713, 2.916800, -116.564362, 1.000000)
vec4(-31.405613, 2.897500, -119.477058, 1.000000)
vec4(-32.483315, 3.247500, -116.522858, 1.000000)
vec4(-31.131912, 2.823700, -120.135361, 1.000000)
vec4(-30.746513, 2.734900, -120.777962, 1.000000)
vec4(-41.027714, 4.803300, -114.630257, 1.000000)
vec4(-31.615713, 2.873600, -121.298561, 1.000000)
vec4(-31.771214, 2.888800, -121.904655, 1.000000)
vec4(-47.575012, 5.953700, -113.943855, 1.000000)
vec4(-33.145012, 3.122600, -122.527458, 1.000000)
vec4(-43.120213, 5.070600, -116.224861, 1.000000)
vec4(-37.972813, 3.967100, -123.402260, 1.000000)
vec4(-28.420712, 2.287100, -123.483055, 1.000000)
vec4(-28.540512, 2.311400, -123.991356, 1.000000)
vec4(-27.429012, 2.121700, -124.319855, 1.000000)
vec4(-28.885313, 2.389100, -125.070961, 1.000000)
vec4(-29.011312, 2.425500, -125.630661, 1.000000)
vec4(-31.723013, 2.930500, -126.921661, 1.000000)
vec4(-30.498013, 2.734400, -127.201157, 1.000000)
vec4(-30.668114, 2.794200, -127.893661, 1.000000)
vec4(-27.845913, 2.304700, -127.417862, 1.000000)
vec4(-28.941713, 2.542500, -128.456955, 1.000000)
vec4(-30.257113, 2.644700, -129.721054, 1.000000)
vec4(-35.503914, 3.641400, -133.252762, 1.000000)
vec4(-34.456612, 3.517500, -133.631561, 1.000000)
vec4(-33.318115, 3.376900, -133.888565, 1.000000)
vec4(-33.202110, 3.432800, -134.780151, 1.000000)
vec4(-34.083214, 3.694400, -136.459961, 1.000000)
vec4(-28.947813, 2.752200, -133.420364, 1.000000)
vec4(-29.157413, 2.879200, -134.474762, 1.000000)
vec4(-28.220013, 2.770900, -134.533356, 1.000000)
vec4(-28.447914, 2.920800, -135.710358, 1.000000)
vec4(-27.145412, 2.730600, -135.317764, 1.000000)
vec4(-27.027214, 2.816700, -136.192566, 1.000000)
vec4(-27.804111, 3.142400, -138.284958, 1.000000)
vec4(-27.667213, 3.261900, -139.385651, 1.000000)
vec4(-27.253613, 3.322100, -140.181366, 1.000000)
vec4(-26.408613, 3.266900, -140.336563, 1.000000)
vec4(-30.148212, 4.661000, -148.581665, 1.000000)
vec4(-29.054012, 4.620800, -148.918854, 1.000000)
vec4(-27.214214, 4.310300, -147.628159, 1.000000)
vec4(-26.341013, 4.338100, -148.245667, 1.000000)
vec4(-26.138214, 4.671300, -150.677460, 1.000000)
vec4(-24.983212, 4.625300, -150.802856, 1.000000)
vec4(-28.162813, 6.934900, -165.510651, 1.000000)
vec4(-26.925413, 7.172900, -167.482956, 1.000000)
vec4(-24.957813, 6.973100, -166.642853, 1.000000)
vec4(-26.221413, 9.563300, -183.542755, 1.000000)
vec4(-5.416413, 5.014600, -153.301453, 1.000000)
vec4(-4.181713, 5.056200, -153.129654, 1.000000)
vec4(-2.853913, 5.136000, -153.133057, 1.000000)
vec4(-1.484413, 5.226200, -153.136566, 1.000000)
vec4(9.569187, 8.672100, -172.417664, 1.000000)
vec4(23.479788, 9.578800, -169.660950, 1.000000)
vec4(39.040787, 11.541700, -171.318359, 1.000000)
vec4(40.839188, 11.564800, -169.237854, 1.000000)
vec4(43.134087, 11.406300, -164.125656, 1.000000)
vec4(45.258186, 11.545000, -162.289352, 1.000000)
vec4(-8.066713, 1.368700, -126.874855, 1.000000)
vec4(-8.036413, 1.347800, -126.522659, 1.000000)
vec4(-8.051313, 1.321600, -126.159760, 1.000000)
vec4(-8.064313, 1.298500, -125.812355, 1.000000)
vec4(-8.063413, 1.280600, -125.483459, 1.000000)
vec4(-8.062613, 1.264900, -125.164558, 1.000000)
vec4(-8.061813, 1.251600, -124.854355, 1.000000)
vec4(-8.061012, 1.240300, -124.551758, 1.000000)
vec4(-8.060213, 1.231000, -124.255455, 1.000000)
vec4(-8.059513, 1.223700, -123.964561, 1.000000)
vec4(-8.058713, 1.218200, -123.678055, 1.000000)
vec4(-8.058013, 1.214500, -123.395256, 1.000000)
vec4(-8.057313, 1.212500, -123.115059, 1.000000)
vec4(-8.056613, 1.212300, -122.836655, 1.000000)
vec4(-8.055813, 1.213900, -122.559456, 1.000000)
vec4(-8.055113, 1.217100, -122.282455, 1.000000)
vec4(-8.054413, 1.222100, -122.005058, 1.000000)
vec4(-8.053713, 1.228800, -121.726257, 1.000000)
vec4(-8.052913, 1.237300, -121.445457, 1.000000)
vec4(-8.052213, 1.247600, -121.161659, 1.000000)
vec4(-8.051513, 1.259800, -120.874062, 1.000000)
vec4(-8.050713, 1.274000, -120.581757, 1.000000)
vec4(-8.049913, 1.290300, -120.283859, 1.000000)
vec4(-8.049112, 1.308800, -119.979256, 1.000000)
vec4(-8.027412, 1.333300, -119.658859, 1.000000)
vec4(-6.599413, 1.618600, -118.738358, 1.000000)
vec4(-6.598413, 1.649600, -118.341156, 1.000000)
vec4(-6.597313, 1.684000, -117.929756, 1.000000)
vec4(-6.596213, 1.722100, -117.502060, 1.000000)
vec4(5.158787, 4.115200, -109.890457, 1.000000)
vec4(-8.014812, 1.519300, -117.529755, 1.000000)
vec4(-2.579313, 2.709800, -113.214958, 1.000000)
vec4(-3.439413, 2.605300, -113.129555, 1.000000)
vec4(-4.325212, 2.491800, -113.127258, 1.000000)
vec4(-5.135213, 2.391200, -113.125160, 1.000000)
vec4(-5.880813, 2.301700, -113.123260, 1.000000)
vec4(-6.571413, 2.221800, -113.121460, 1.000000)
vec4(-7.214513, 2.150400, -113.119759, 1.000000)
vec4(-7.643613, 2.133700, -112.906357, 1.000000)
vec4(-7.641613, 2.242500, -112.134956, 1.000000)
vec4(-7.639413, 2.366000, -111.282158, 1.000000)
vec4(-7.637013, 2.507000, -110.331161, 1.000000)
vec4(-7.634213, 2.669300, -109.260857, 1.000000)
