vec3(-1.068905, 0.000000, -10.933312)
vec4(-25.835762, 3.394700, -62.821281, 1.000000)
vec4(-33.601162, 4.460500, -61.827084, 1.000000)
vec4(-24.073162, 3.091000, -62.241585, 1.000000)
vec4(-27.555061, 3.337100, -59.662182, 1.000000)
vec4(-23.553461, 3.072500, -62.656883, 1.000000)
vec4(-25.558561, 3.000300, -59.316784, 1.000000)
vec4(-23.039661, 3.058700, -63.068085, 1.000000)
vec4(-25.594662, 3.078000, -60.098381, 1.000000)
vec4(-22.873161, 3.139300, -63.852482, 1.000000)
vec4(-25.788662, 3.197800, -61.030483, 1.000000)
vec4(-22.682762, 3.224900, -64.662781, 1.000000)
vec4(-25.510162, 3.224600, -61.673485, 1.000000)
vec4(-21.962360, 3.171400, -64.857185, 1.000000)
vec4(-22.371262, 3.457200, -66.573380, 1.000000)
vec4(-22.208561, 4.708200, -74.845581, 1.000000)
vec4(-21.727461, 3.445000, -66.935287, 1.000000)
vec4(-20.828762, 3.350500, -66.874786, 1.000000)
vec4(-20.769361, 4.471500, -74.019379, 1.000000)
vec4(-21.179062, 3.697400, -68.946381, 1.000000)
vec4(-19.844662, 4.451100, -74.265884, 1.000000)
vec4(-19.825161, 4.933100, -77.168884, 1.000000)
vec4(-24.189060, 5.124400, -76.497681, 1.000000)
vec4(-23.402161, 7.779800, -92.930183, 1.000000)
vec4(-20.145861, 7.740900, -93.532486, 1.000000)
vec4(-21.607460, 10.860600, -111.230682, 1.000000)
vec4(-21.235962, 7.374300, -91.145981, 1.000000)
vec4(-1.434061, 3.252600, -66.507881, 1.000000)
vec4(-2.998261, 2.190500, -60.278782, 1.000000)
vec4(-1.434061, 3.062300, -65.239281, 1.000000)
vec4(-1.552061, 2.860800, -63.942284, 1.000000)
vec4(-2.998261, 2.096300, -59.577782, 1.000000)
vec4(-1.486961, 2.736700, -63.024483, 1.000000)
vec4(-1.552061, 2.079900, -57.890984, 1.000000)
vec4(-1.434061, 2.411600, -60.561882, 1.000000)
vec4(-1.216161, 2.095500, -57.586281, 1.000000)
vec4(-1.552061, 2.293200, -59.734283, 1.000000)
vec4(-0.401561, 2.214300, -57.586281, 1.000000)
vec4(0.512439, 2.350900, -57.586281, 1.000000)
vec4(1.548339, 2.509300, -57.586281, 1.000000)
vec4(-1.552061, 2.214300, -59.079082, 1.000000)
vec4(2.735839, 2.694600, -57.586281, 1.000000)
vec4(4.115139, 2.914000, -57.586281, 1.000000)
vec4(-1.552061, 2.143500, -58.466484, 1.000000)
vec4(5.741639, 3.177100, -57.586281, 1.000000)
vec4(-3.366561, 1.355800, -52.271683, 1.000000)
vec4(10.183139, 3.966600, -58.505882, 1.000000)
vec4(-3.312861, 1.355800, -51.987682, 1.000000)
vec4(-3.269861, 1.355800, -51.701881, 1.000000)
vec4(-3.590961, 1.355800, -53.108582, 1.000000)
vec4(-3.237561, 1.355800, -51.414684, 1.000000)
vec4(-3.505761, 1.355800, -52.832481, 1.000000)
vec4(-3.216161, 1.355800, -51.126385, 1.000000)
vec4(-3.430861, 1.355800, -52.553383, 1.000000)
vec4(-3.205661, 1.355800, -50.837482, 1.000000)
vec4(-3.205961, 1.355800, -50.548382, 1.000000)
vec4(-3.435161, 1.355800, -48.831982, 1.000000)
vec4(-3.217161, 1.355800, -50.259483, 1.000000)
vec4(-3.510761, 1.355800, -48.552681, 1.000000)
vec4(-3.239161, 1.355800, -49.971085, 1.000000)
vec4(-3.596761, 1.355800, -48.276482, 1.000000)
vec4(-3.272061, 1.355800, -49.683784, 1.000000)
vec4(-3.693161, 1.355800, -48.003582, 1.000000)
vec4(-3.315661, 1.355800, -49.397884, 1.000000)
vec4(-3.799761, 1.355800, -47.734581, 1.000000)
vec4(-3.370061, 1.355800, -49.113785, 1.000000)
vec4(-3.916461, 1.355800, -47.469784, 1.000000)
vec4(-4.043061, 1.355800, -47.209484, 1.000000)
vec4(-4.667961, 1.432100, -45.484783, 1.000000)
vec4(-4.179261, 1.355800, -46.954082, 1.000000)
vec4(-4.325061, 1.355800, -46.703983, 1.000000)
vec4(-4.480261, 1.355800, -46.459583, 1.000000)
vec4(1.070639, 2.844900, -39.861584, 1.000000)
vec4(-4.644461, 1.355800, -46.221184, 1.000000)
vec4(0.202139, 2.733300, -39.861584, 1.000000)
vec4(-4.667961, 1.389200, -45.872482, 1.000000)
vec4(-0.602061, 2.633800, -39.861584, 1.000000)
vec4(-1.924562, 2.623200, -38.817284, 1.000000)
vec4(-1.350961, 2.544700, -39.861584, 1.000000)
vec4(-1.920661, 2.764200, -37.830383, 1.000000)
vec4(-1.851562, 2.520700, -39.615383, 1.000000)
vec4(-1.921062, 2.924000, -36.736984, 1.000000)
vec4(-2.119061, 3.039700, -35.842484, 1.000000)
vec4(-32.563263, 4.617600, -35.936382, 1.000000)
vec4(-32.913761, 4.578400, -36.881485, 1.000000)
vec4(-17.421360, 1.327500, -46.950584, 1.000000)
vec4(-34.237263, 4.483200, -40.558483, 1.000000)
vec4(-33.934063, 4.587400, -38.553982, 1.000000)
vec4(-33.817062, 4.335000, -41.751282, 1.000000)
vec4(-34.498859, 4.611900, -39.369984, 1.000000)
vec4(-21.464161, 1.895000, -48.743584, 1.000000)
vec4(-23.000561, 2.258500, -46.500282, 1.000000)
vec4(-21.803961, 1.943800, -49.102283, 1.000000)
vec4(-23.209560, 2.269500, -46.940784, 1.000000)
vec4(-22.162762, 1.998200, -49.480385, 1.000000)
vec4(-22.365961, 2.027400, -49.893383, 1.000000)
vec4(-23.163261, 2.236900, -47.454681, 1.000000)
vec4(-29.267361, 3.240400, -50.089882, 1.000000)
vec4(-21.624361, 1.938600, -48.292484, 1.000000)
vec4(-26.185162, 2.695600, -50.771282, 1.000000)
vec4(-28.299961, 3.071200, -51.433784, 1.000000)
vec4(-26.463861, 2.753700, -51.946682, 1.000000)
vec4(-27.984859, 3.034100, -52.715881, 1.000000)
vec4(-24.838360, 2.488600, -52.883083, 1.000000)
vec4(-24.330961, 2.414100, -53.325584, 1.000000)
vec4(-24.241962, 2.417600, -53.833683, 1.000000)
vec4(-24.152962, 2.424700, -54.343983, 1.000000)
vec4(-24.063862, 2.435400, -54.858185, 1.000000)
vec4(-27.377060, 3.086800, -56.588882, 1.000000)
vec4(-25.608860, 2.795500, -56.592182, 1.000000)
vec4(-41.374962, 5.882600, -64.232483, 1.000000)
vec4(-33.870461, 4.221600, -61.958885, 1.000000)
vec4(-27.720463, 3.152400, -59.751083, 1.000000)
vec4(-26.351261, 2.958000, -59.781384, 1.000000)
vec4(-26.100262, 2.978000, -60.420883, 1.000000)
vec4(-25.244560, 2.882000, -60.654083, 1.000000)
vec4(-25.326962, 2.978400, -61.536282, 1.000000)
vec4(-25.807961, 3.169500, -62.798882, 1.000000)
vec4(-24.054462, 2.887200, -62.225384, 1.000000)
vec4(-26.308361, 3.499300, -65.253685, 1.000000)
vec4(-23.520561, 2.974400, -63.556984, 1.000000)
vec4(-23.016161, 2.971600, -64.009186, 1.000000)
vec4(-22.659061, 3.010500, -64.634880, 1.000000)
vec4(-21.940460, 2.960700, -64.829384, 1.000000)
vec4(-21.574162, 3.009500, -65.472885, 1.000000)
vec4(-21.740061, 3.226300, -66.954285, 1.000000)
vec4(-20.839962, 3.137700, -66.893082, 1.000000)
vec4(-21.186260, 3.461200, -68.959480, 1.000000)
vec4(-23.536560, 4.558400, -75.233185, 1.000000)
vec4(-22.378662, 4.470400, -75.208282, 1.000000)
vec4(-20.942162, 4.256000, -74.426987, 1.000000)
vec4(-19.971760, 4.222900, -74.600281, 1.000000)
vec4(-19.947262, 4.677800, -77.530579, 1.000000)
vec4(-22.977760, 7.030900, -91.499084, 1.000000)
vec4(-21.153362, 6.843300, -90.823784, 1.000000)
vec4(-19.839161, 7.001400, -92.114288, 1.000000)
vec4(-21.365162, 9.930100, -109.863388, 1.000000)
vec4(-14.022861, 5.186900, -81.934586, 1.000000)
vec4(-1.434061, 3.042700, -66.507980, 1.000000)
vec4(-1.434061, 2.864700, -65.239380, 1.000000)
vec4(-1.552061, 2.676100, -63.942383, 1.000000)
vec4(-2.998261, 2.148600, -61.046684, 1.000000)
vec4(-2.982561, 2.053200, -60.297783, 1.000000)
vec4(-1.525761, 2.327000, -61.230682, 1.000000)
vec4(-1.552061, 2.227800, -60.439083, 1.000000)
vec4(-1.552061, 2.145200, -59.734383, 1.000000)
vec4(-1.552061, 2.071300, -59.079082, 1.000000)
vec4(-1.552061, 2.005100, -58.466583, 1.000000)
vec4(-1.552061, 1.945600, -57.891083, 1.000000)
vec4(-1.216261, 1.960200, -57.586281, 1.000000)
vec4(-0.401661, 2.071300, -57.586281, 1.000000)
vec4(0.512339, 2.199100, -57.586281, 1.000000)
vec4(1.548239, 2.347200, -57.586281, 1.000000)
vec4(2.735739, 2.520600, -57.586281, 1.000000)
vec4(4.114939, 2.725700, -57.586281, 1.000000)
vec4(5.741439, 2.971900, -57.586281, 1.000000)
vec4(10.183139, 3.710400, -58.505981, 1.000000)
vec4(-3.086961, 1.355800, -53.273483, 1.000000)
vec4(-2.995761, 1.355800, -52.978382, 1.000000)
vec4(-2.915661, 1.355800, -52.680084, 1.000000)
vec4(-2.846861, 1.355800, -52.378883, 1.000000)
vec4(-2.789461, 1.355800, -52.075382, 1.000000)
vec4(-2.743461, 1.355800, -51.769783, 1.000000)
vec4(-2.708961, 1.355800, -51.462685, 1.000000)
vec4(-2.685961, 1.355800, -51.154583, 1.000000)
vec4(-2.674661, 1.355800, -50.845684, 1.000000)
vec4(-2.674961, 1.355800, -50.536583, 1.000000)
vec4(-2.686861, 1.355800, -50.227684, 1.000000)
vec4(-2.710361, 1.355800, -49.919384, 1.000000)
vec4(-2.745461, 1.355800, -49.612183, 1.000000)
vec4(-2.792061, 1.355800, -49.306484, 1.000000)
vec4(-2.850162, 1.355800, -49.002785, 1.000000)
vec4(-2.919661, 1.355800, -48.701382, 1.000000)
vec4(-3.000461, 1.355800, -48.402882, 1.000000)
vec4(-3.092361, 1.355800, -48.107483, 1.000000)
vec4(-3.195461, 1.355800, -47.815784, 1.000000)
vec4(-3.309361, 1.355800, -47.528084, 1.000000)
vec4(-3.434061, 1.355800, -47.244884, 1.000000)
vec4(-3.569261, 1.355800, -46.966583, 1.000000)
vec4(-3.714961, 1.355800, -46.693584, 1.000000)
vec4(-3.870861, 1.355800, -46.426083, 1.000000)
vec4(-4.036661, 1.355800, -46.164783, 1.000000)
vec4(-4.212261, 1.355800, -45.909782, 1.000000)
