vec3(-6.549557, 0.000000, -17.981323)
vec4(0.815843, -0.611600, -18.116623, 1.000000)
vec4(0.816643, -0.618100, -17.818523, 1.000000)
vec4(0.815043, -0.690200, -18.409023, 1.000000)
vec4(0.815843, -0.696500, -18.116623, 1.000000)
vec4(0.816643, -0.703800, -17.818623, 1.000000)
vec4(0.823843, -0.713000, -17.511623, 1.000000)
vec4(0.814343, -0.768600, -18.696724, 1.000000)
vec4(0.815043, -0.774400, -18.409122, 1.000000)
vec4(0.815843, -0.781500, -18.116724, 1.000000)
vec4(0.816643, -0.789700, -17.818623, 1.000000)
vec4(0.825643, -0.800200, -17.511023, 1.000000)
vec4(0.834543, -0.812100, -17.195023, 1.000000)
vec4(0.814343, -0.852400, -18.696823, 1.000000)
vec4(0.815043, -0.858900, -18.409122, 1.000000)
vec4(0.815843, -0.866600, -18.116724, 1.000000)
vec4(0.816643, -0.875800, -17.818623, 1.000000)
vec4(0.827543, -0.887600, -17.510424, 1.000000)
vec4(0.836443, -0.900800, -17.194323, 1.000000)
vec4(0.817543, -0.931300, -18.980124, 1.000000)
vec4(0.814343, -0.936500, -18.696823, 1.000000)
vec4(0.815043, -0.943500, -18.409122, 1.000000)
vec4(0.815843, -0.952000, -18.116724, 1.000000)
vec4(0.816643, -0.962100, -17.818724, 1.000000)
vec4(0.829443, -0.975300, -17.509823, 1.000000)
vec4(0.838243, -0.989800, -17.193623, 1.000000)
vec4(0.839343, -1.005000, -16.870924, 1.000000)
vec4(0.817543, -1.015100, -18.980124, 1.000000)
vec4(0.814343, -1.020700, -18.696823, 1.000000)
vec4(0.815043, -1.028400, -18.409122, 1.000000)
vec4(0.815843, -1.037700, -18.116823, 1.000000)
vec4(0.816643, -1.048600, -17.818724, 1.000000)
vec4(0.831343, -1.063300, -17.509224, 1.000000)
vec4(0.840143, -1.079000, -17.193024, 1.000000)
vec4(0.841243, -1.095600, -16.870123, 1.000000)
vec4(0.812843, -1.093600, -19.261623, 1.000000)
