vec3(-7.042361, 0.000000, -17.754255)
vec4(0.322239, -0.438400, -18.181856, 1.000000)
vec4(0.323039, -0.442400, -17.889555, 1.000000)
vec4(0.321539, -0.518300, -18.469555, 1.000000)
vec4(0.322239, -0.522200, -18.181955, 1.000000)
vec4(0.323039, -0.527000, -17.889555, 1.000000)
vec4(0.323839, -0.532600, -17.591455, 1.000000)
vec4(0.324739, -0.598200, -18.752954, 1.000000)
vec4(0.321539, -0.601600, -18.469656, 1.000000)
vec4(0.322239, -0.606100, -18.181955, 1.000000)
vec4(0.323039, -0.611600, -17.889555, 1.000000)
vec4(0.323839, -0.618100, -17.591455, 1.000000)
vec4(0.329139, -0.626000, -17.285156, 1.000000)
vec4(0.324739, -0.681200, -18.752954, 1.000000)
vec4(0.321539, -0.685000, -18.469656, 1.000000)
vec4(0.322239, -0.690200, -18.181955, 1.000000)
vec4(0.323039, -0.696500, -17.889555, 1.000000)
vec4(0.323839, -0.703800, -17.591555, 1.000000)
vec4(0.331039, -0.713000, -17.284555, 1.000000)
vec4(0.339939, -0.723600, -16.968555, 1.000000)
vec4(0.320039, -0.760500, -19.034454, 1.000000)
vec4(0.324739, -0.764400, -18.753056, 1.000000)
vec4(0.321539, -0.768600, -18.469656, 1.000000)
vec4(0.322239, -0.774400, -18.182055, 1.000000)
vec4(0.323039, -0.781500, -17.889656, 1.000000)
vec4(0.323839, -0.789700, -17.591555, 1.000000)
vec4(0.332839, -0.800200, -17.283955, 1.000000)
vec4(0.341739, -0.812100, -16.967955, 1.000000)
vec4(0.320039, -0.843400, -19.034454, 1.000000)
vec4(0.324739, -0.847800, -18.753056, 1.000000)
vec4(0.321539, -0.852400, -18.469755, 1.000000)
vec4(0.322239, -0.858900, -18.182055, 1.000000)
vec4(0.323039, -0.866600, -17.889656, 1.000000)
vec4(0.323839, -0.875800, -17.591555, 1.000000)
vec4(0.334739, -0.887600, -17.283356, 1.000000)
vec4(0.343639, -0.900800, -16.967255, 1.000000)
vec4(0.320039, -0.926500, -19.034555, 1.000000)
vec4(0.324739, -0.931300, -18.753056, 1.000000)
vec4(0.321539, -0.936500, -18.469755, 1.000000)
vec4(0.322239, -0.943500, -18.182055, 1.000000)
vec4(0.323039, -0.952000, -17.889656, 1.000000)
vec4(0.323839, -0.962100, -17.591656, 1.000000)
vec4(0.336639, -0.975300, -17.282755, 1.000000)
vec4(0.345439, -0.989800, -16.966555, 1.000000)
vec4(0.346539, -1.005000, -16.643856, 1.000000)
vec4(0.319339, -1.006700, -19.313354, 1.000000)
vec4(0.320039, -1.009900, -19.034555, 1.000000)
vec4(0.324739, -1.015100, -18.753056, 1.000000)
vec4(0.321539, -1.020700, -18.469755, 1.000000)
vec4(0.322239, -1.028400, -18.182055, 1.000000)
vec4(0.323039, -1.037700, -17.889755, 1.000000)
vec4(0.323839, -1.048600, -17.591656, 1.000000)
vec4(0.338539, -1.063300, -17.282156, 1.000000)
vec4(0.347339, -1.079000, -16.965956, 1.000000)
vec4(0.348439, -1.095600, -16.643055, 1.000000)
vec4(0.319339, -1.090100, -19.313354, 1.000000)
vec4(0.320039, -1.093600, -19.034555, 1.000000)
vec4(0.324739, -1.099200, -18.753155, 1.000000)
vec4(0.321539, -1.105200, -18.469856, 1.000000)
vec4(0.322239, -1.113500, -18.182156, 1.000000)
vec4(0.323039, -1.123600, -17.889755, 1.000000)
vec4(0.323839, -1.135400, -17.591656, 1.000000)
vec4(0.340439, -1.151600, -17.281555, 1.000000)
vec4(0.349139, -1.168600, -16.965256, 1.000000)
vec4(0.350339, -1.186600, -16.642355, 1.000000)
vec4(0.319339, -1.173800, -19.313456, 1.000000)
vec4(0.320039, -1.177500, -19.034655, 1.000000)
vec4(0.324739, -1.183500, -18.753155, 1.000000)
vec4(0.321539, -1.190000, -18.469856, 1.000000)
vec4(0.322239, -1.199000, -18.182156, 1.000000)
vec4(0.323039, -1.209700, -17.889755, 1.000000)
vec4(0.323839, -1.222500, -17.591755, 1.000000)
vec4(0.342339, -1.240200, -17.280956, 1.000000)
vec4(0.351039, -1.258600, -16.964556, 1.000000)
vec4(0.352239, -1.277900, -16.641556, 1.000000)
vec4(0.324539, -1.256600, -19.590755, 1.000000)
vec4(0.325139, -1.258700, -19.313055, 1.000000)
vec4(0.325639, -1.262600, -19.034056, 1.000000)
vec4(0.324739, -1.268100, -18.753155, 1.000000)
vec4(0.321539, -1.275100, -18.469856, 1.000000)
vec4(0.322239, -1.284700, -18.182156, 1.000000)
vec4(0.323039, -1.296200, -17.889854, 1.000000)
vec4(0.323839, -1.309900, -17.591755, 1.000000)
vec4(0.344239, -1.329200, -17.280355, 1.000000)
vec4(0.352939, -1.348800, -16.963955, 1.000000)
vec4(0.354139, -1.369600, -16.640856, 1.000000)
vec4(0.340939, -1.390200, -16.313955, 1.000000)
vec4(0.320539, -1.340000, -19.590956, 1.000000)
vec4(0.321239, -1.342300, -19.313354, 1.000000)
vec4(0.321739, -1.346500, -19.034555, 1.000000)
vec4(0.322139, -1.352600, -18.753555, 1.000000)
vec4(0.321539, -1.360500, -18.469856, 1.000000)
vec4(0.322239, -1.370700, -18.182255, 1.000000)
