vec3(-6.048695, 0.000000, -18.236553)
vec4(1.316705, -0.952000, -18.371954, 1.000000)
vec4(1.317505, -0.962100, -18.073954, 1.000000)
vec4(1.330306, -0.975300, -17.765053, 1.000000)
vec4(1.316705, -1.037700, -18.372053, 1.000000)
vec4(1.317505, -1.048600, -18.073954, 1.000000)
vec4(1.332205, -1.063300, -17.764454, 1.000000)
vec4(1.341005, -1.079000, -17.448254, 1.000000)
vec4(1.315906, -1.113500, -18.664454, 1.000000)
vec4(1.316705, -1.123600, -18.372053, 1.000000)
vec4(1.317505, -1.135400, -18.073954, 1.000000)
vec4(1.334105, -1.151600, -17.763853, 1.000000)
vec4(1.342805, -1.168600, -17.447554, 1.000000)
vec4(1.315906, -1.199000, -18.664454, 1.000000)
vec4(1.316705, -1.209700, -18.372053, 1.000000)
vec4(1.317505, -1.222500, -18.074053, 1.000000)
vec4(1.336005, -1.240200, -17.763252, 1.000000)
vec4(1.344706, -1.258600, -17.446854, 1.000000)
vec4(1.345905, -1.277900, -17.123854, 1.000000)
vec4(1.315206, -1.275100, -18.952152, 1.000000)
vec4(1.315906, -1.284700, -18.664454, 1.000000)
vec4(1.316705, -1.296200, -18.372152, 1.000000)
vec4(1.317505, -1.309900, -18.074053, 1.000000)
vec4(1.337905, -1.329200, -17.762653, 1.000000)
vec4(1.346605, -1.348800, -17.446253, 1.000000)
vec4(1.347806, -1.369600, -17.123154, 1.000000)
vec4(1.315206, -1.360500, -18.952152, 1.000000)
vec4(1.315906, -1.370700, -18.664553, 1.000000)
vec4(1.316705, -1.383000, -18.372152, 1.000000)
vec4(1.317505, -1.397600, -18.074053, 1.000000)
vec4(1.339106, -1.418500, -17.762253, 1.000000)
vec4(1.345805, -1.439000, -17.446552, 1.000000)
vec4(1.346106, -1.460900, -17.123854, 1.000000)
vec4(1.315206, -1.446300, -18.952253, 1.000000)
vec4(1.315906, -1.457100, -18.664553, 1.000000)
vec4(1.316705, -1.470200, -18.372152, 1.000000)
vec4(1.317505, -1.485700, -18.074154, 1.000000)
vec4(1.339106, -1.507900, -17.762354, 1.000000)
vec4(1.343105, -1.529100, -17.447554, 1.000000)
vec4(1.343306, -1.552400, -17.125053, 1.000000)
vec4(1.329305, -1.575600, -16.798754, 1.000000)
vec4(1.315206, -1.532400, -18.952253, 1.000000)
vec4(1.315906, -1.543900, -18.664553, 1.000000)
vec4(1.316705, -1.557700, -18.372253, 1.000000)
vec4(1.317505, -1.574100, -18.074154, 1.000000)
vec4(1.339106, -1.597600, -17.762354, 1.000000)
vec4(1.340405, -1.619500, -17.448654, 1.000000)
vec4(1.340506, -1.644200, -17.126253, 1.000000)
vec4(1.326605, -1.668800, -16.800053, 1.000000)
vec4(1.314506, -1.609200, -19.236153, 1.000000)
vec4(1.315206, -1.618900, -18.952253, 1.000000)
vec4(1.315906, -1.631000, -18.664654, 1.000000)
vec4(1.316705, -1.645700, -18.372253, 1.000000)
vec4(1.317505, -1.663000, -18.074154, 1.000000)
vec4(1.337405, -1.687400, -17.762953, 1.000000)
vec4(1.337605, -1.710300, -17.449753, 1.000000)
vec4(1.337706, -1.736300, -17.127453, 1.000000)
vec4(1.323905, -1.762300, -16.801353, 1.000000)
vec4(1.314506, -1.695600, -19.236153, 1.000000)
vec4(1.315206, -1.705800, -18.952353, 1.000000)
vec4(1.315906, -1.718600, -18.664654, 1.000000)
vec4(1.316705, -1.734000, -18.372253, 1.000000)
vec4(1.317505, -1.752200, -18.074253, 1.000000)
vec4(1.334705, -1.777300, -17.763853, 1.000000)
vec4(1.334906, -1.801400, -17.450752, 1.000000)
vec4(1.334906, -1.828800, -17.128754, 1.000000)
vec4(1.321206, -1.856200, -16.802652, 1.000000)
vec4(1.314506, -1.782500, -19.236254, 1.000000)
vec4(1.315206, -1.793200, -18.952353, 1.000000)
vec4(1.315906, -1.806600, -18.664654, 1.000000)
vec4(1.316705, -1.822800, -18.372353, 1.000000)
vec4(1.317505, -1.842000, -18.074253, 1.000000)
vec4(1.332006, -1.867700, -17.764853, 1.000000)
vec4(1.332105, -1.893000, -17.451853, 1.000000)
vec4(1.332105, -1.921700, -17.129953, 1.000000)
vec4(1.320806, -1.951200, -16.802954, 1.000000)
vec4(1.314506, -1.869800, -19.236254, 1.000000)
vec4(1.315206, -1.881000, -18.952353, 1.000000)
vec4(1.315906, -1.895100, -18.664753, 1.000000)
vec4(1.316705, -1.912100, -18.372353, 1.000000)
vec4(1.317505, -1.932200, -18.074253, 1.000000)
vec4(1.329206, -1.958400, -17.765753, 1.000000)
vec4(1.329305, -1.984900, -17.452953, 1.000000)
vec4(1.329206, -2.015000, -17.131153, 1.000000)
vec4(1.320806, -2.046700, -16.802954, 1.000000)
vec4(1.314506, -1.957600, -19.236254, 1.000000)
vec4(1.315206, -1.969400, -18.952454, 1.000000)
vec4(1.315906, -1.984100, -18.664753, 1.000000)
vec4(1.316705, -2.001900, -18.372353, 1.000000)
vec4(1.317505, -2.022900, -18.074352, 1.000000)
vec4(1.326505, -2.049600, -17.766754, 1.000000)
vec4(1.326505, -2.077300, -17.454054, 1.000000)
vec4(1.326406, -2.108800, -17.132454, 1.000000)
vec4(1.320806, -2.142800, -16.802954, 1.000000)
vec4(1.314506, -2.045900, -19.236254, 1.000000)
vec4(1.315206, -2.058200, -18.952454, 1.000000)
vec4(1.315906, -2.073600, -18.664753, 1.000000)
vec4(1.316705, -2.092200, -18.372454, 1.000000)
vec4(1.317505, -2.114100, -18.074352, 1.000000)
vec4(1.323705, -2.141200, -17.767754, 1.000000)
vec4(1.323705, -2.170200, -17.455153, 1.000000)
vec4(1.323505, -2.203100, -17.133654, 1.000000)
vec4(1.320806, -2.239400, -16.803053, 1.000000)
vec4(1.314506, -2.134800, -19.236353, 1.000000)
vec4(1.315206, -2.147600, -18.952454, 1.000000)
vec4(1.315906, -2.163600, -18.664854, 1.000000)
vec4(1.316705, -2.183100, -18.372454, 1.000000)
vec4(1.317505, -2.206000, -18.074352, 1.000000)
vec4(1.320905, -2.233300, -17.768654, 1.000000)
vec4(1.320806, -2.263500, -17.456253, 1.000000)
vec4(1.320605, -2.297800, -17.134853, 1.000000)
vec4(1.350006, -2.345900, -16.789454, 1.000000)
vec4(1.214705, -2.345900, -16.513754, 1.000000)
vec4(1.314506, -2.224200, -19.236353, 1.000000)
vec4(1.315206, -2.237600, -18.952553, 1.000000)
vec4(1.315906, -2.254300, -18.664854, 1.000000)
vec4(1.316705, -2.274500, -18.372454, 1.000000)
vec4(1.317505, -2.298300, -18.074453, 1.000000)
vec4(1.381206, -2.345900, -17.748554, 1.000000)
vec4(1.281905, -2.345900, -17.470953, 1.000000)
vec4(1.172405, -2.345900, -17.197353, 1.000000)
vec4(1.052605, -2.345900, -16.928053, 1.000000)
vec4(0.922805, -2.345900, -16.663452, 1.000000)
vec4(0.783105, -2.345900, -16.403852, 1.000000)
vec4(0.633805, -2.345900, -16.149754, 1.000000)
vec4(1.314506, -2.314200, -19.236353, 1.000000)
vec4(1.371406, -2.345900, -18.942753, 1.000000)
vec4(1.317105, -2.345900, -18.664654, 1.000000)
vec4(1.252505, -2.345900, -18.388754, 1.000000)
vec4(1.177405, -2.345900, -18.115553, 1.000000)
vec4(1.092206, -2.345900, -17.845352, 1.000000)
vec4(0.996905, -2.345900, -17.578552, 1.000000)
vec4(0.891605, -2.345900, -17.315554, 1.000000)
vec4(0.776505, -2.345900, -17.056753, 1.000000)
vec4(0.651705, -2.345900, -16.802353, 1.000000)
vec4(0.517505, -2.345900, -16.552954, 1.000000)
vec4(0.374005, -2.345900, -16.308754, 1.000000)
vec4(0.221406, -2.345900, -16.070152, 1.000000)
vec4(1.165805, -2.345900, -19.531754, 1.000000)
vec4(1.133905, -2.345900, -19.260954, 1.000000)
vec4(1.091705, -2.345900, -18.991552, 1.000000)
vec4(1.039505, -2.345900, -18.723854, 1.000000)
vec4(0.977305, -2.345900, -18.458454, 1.000000)
vec4(0.905106, -2.345900, -18.195454, 1.000000)
vec4(0.823105, -2.345900, -17.935453, 1.000000)
vec4(0.731405, -2.345900, -17.678753, 1.000000)
vec4(0.630105, -2.345900, -17.425653, 1.000000)
vec4(0.519305, -2.345900, -17.176554, 1.000000)
vec4(0.399305, -2.345900, -16.931753, 1.000000)
vec4(0.270105, -2.345900, -16.691753, 1.000000)
vec4(0.132005, -2.345900, -16.456753, 1.000000)
vec4(-0.014795, -2.345900, -16.227154, 1.000000)
vec4(-0.278594, -2.302600, -16.081253, 1.000000)
vec4(0.901906, -2.345900, -19.557552, 1.000000)
vec4(0.871205, -2.345900, -19.296654, 1.000000)
vec4(0.830606, -2.345900, -19.037054, 1.000000)
vec4(0.780305, -2.345900, -18.779253, 1.000000)
vec4(0.720406, -2.345900, -18.523453, 1.000000)
vec4(0.650805, -2.345900, -18.270153, 1.000000)
vec4(0.571805, -2.345900, -18.019653, 1.000000)
vec4(0.483406, -2.345900, -17.772253, 1.000000)
vec4(0.385806, -2.345900, -17.528454, 1.000000)
vec4(0.279105, -2.345900, -17.288452, 1.000000)
vec4(0.163506, -2.345900, -17.052652, 1.000000)
vec4(0.039105, -2.345900, -16.821354, 1.000000)
vec4(-0.093995, -2.345900, -16.594954, 1.000000)
vec4(-0.342595, -2.302600, -16.444954, 1.000000)
vec4(-0.489495, -2.302600, -16.233154, 1.000000)
vec4(0.675106, -2.345900, -19.834352, 1.000000)
vec4(0.654905, -2.345900, -19.581753, 1.000000)
vec4(0.625206, -2.345900, -19.330053, 1.000000)
vec4(0.586105, -2.345900, -19.079754, 1.000000)
vec4(0.537605, -2.345900, -18.831053, 1.000000)
vec4(0.479805, -2.345900, -18.584352, 1.000000)
vec4(0.412806, -2.345900, -18.340054, 1.000000)
vec4(0.336606, -2.345900, -18.098454, 1.000000)
vec4(0.251405, -2.345900, -17.859854, 1.000000)
vec4(0.157206, -2.345900, -17.624754, 1.000000)
vec4(0.054306, -2.345900, -17.393253, 1.000000)
vec4(-0.057195, -2.345900, -17.165854, 1.000000)
vec4(-0.285495, -2.302600, -17.003553, 1.000000)
vec4(-0.411395, -2.302600, -16.789154, 1.000000)
vec4(-0.545295, -2.302600, -16.579653, 1.000000)
