vec3(-22.918325, 0.000000, -238.732819)
vec4(-47.608562, 2.919800, -285.791718, 1.000000)
vec4(-46.202164, 3.057100, -289.420319, 1.000000)
vec4(-53.041862, 4.064600, -289.413696, 1.000000)
vec4(-46.406662, 3.203600, -290.464508, 1.000000)
vec4(-51.851761, 3.908300, -289.720795, 1.000000)
vec4(-45.044064, 2.984600, -290.118408, 1.000000)
vec4(-51.215561, 3.866500, -290.303497, 1.000000)
vec4(-50.592464, 3.831000, -290.874817, 1.000000)
vec4(-45.427464, 3.193300, -291.415009, 1.000000)
vec4(-51.801064, 4.203000, -292.800720, 1.000000)
vec4(-44.564865, 3.097000, -291.479401, 1.000000)
vec4(-43.172066, 2.987200, -291.840118, 1.000000)
vec4(-43.024162, 2.811600, -290.679810, 1.000000)
vec4(-43.816463, 3.334400, -293.815125, 1.000000)
vec4(-44.569263, 3.759100, -296.219696, 1.000000)
vec4(-43.724663, 3.701900, -296.375214, 1.000000)
vec4(-51.264366, 6.654400, -311.334900, 1.000000)
vec4(-44.554264, 4.912800, -303.703217, 1.000000)
vec4(-47.322163, 5.616900, -306.785614, 1.000000)
vec4(-43.383362, 4.815700, -303.622406, 1.000000)
vec4(-42.920063, 8.510800, -325.609497, 1.000000)
vec4(-43.754063, 11.157300, -340.708923, 1.000000)
vec4(-43.182861, 5.189200, -305.980408, 1.000000)
vec4(-42.675865, 5.483800, -307.932617, 1.000000)
vec4(-45.853966, 8.151200, -322.762421, 1.000000)
vec4(-44.566364, 8.426500, -324.732422, 1.000000)
vec4(-9.968063, 9.721100, -328.603516, 1.000000)
vec4(5.885635, 10.718600, -325.308716, 1.000000)
vec4(7.839737, 10.777000, -324.071014, 1.000000)
vec4(25.407635, 12.594000, -319.796021, 1.000000)
vec4(27.880535, 12.796300, -318.208923, 1.000000)
vec4(22.418236, 13.077000, -327.900024, 1.000000)
vec4(-25.389164, 1.515100, -282.945496, 1.000000)
vec4(-12.225563, 4.137700, -289.844421, 1.000000)
vec4(-23.941864, 1.708100, -282.545105, 1.000000)
vec4(-23.942963, 1.739200, -282.952118, 1.000000)
vec4(-23.940865, 1.680500, -282.151917, 1.000000)
vec4(-25.363863, 1.329000, -280.040802, 1.000000)
vec4(-23.939863, 1.656000, -281.770508, 1.000000)
vec4(-25.381165, 1.316500, -279.750702, 1.000000)
vec4(-23.938965, 1.634500, -281.399597, 1.000000)
vec4(-25.380463, 1.309300, -279.467896, 1.000000)
vec4(-23.937963, 1.615800, -281.037598, 1.000000)
vec4(-25.379765, 1.303900, -279.187714, 1.000000)
vec4(-25.356863, 1.341700, -280.334198, 1.000000)
vec4(-25.379063, 1.300400, -278.909424, 1.000000)
vec4(-25.377563, 1.299000, -278.355194, 1.000000)
vec4(-25.378263, 1.298800, -278.632202, 1.000000)
vec4(-25.376863, 1.301000, -278.077698, 1.000000)
vec4(-25.345463, 1.344900, -276.647003, 1.000000)
vec4(-25.376163, 1.304900, -277.798920, 1.000000)
vec4(-23.924763, 1.619700, -275.930695, 1.000000)
vec4(-25.375362, 1.310700, -277.517914, 1.000000)
vec4(-23.923763, 1.639100, -275.566010, 1.000000)
vec4(-23.922863, 1.661200, -275.191895, 1.000000)
vec4(-25.374664, 1.318400, -277.234100, 1.000000)
vec4(-23.921864, 1.686400, -274.806915, 1.000000)
vec4(-25.354263, 1.331600, -276.942200, 1.000000)
vec4(-23.920765, 1.714800, -274.409424, 1.000000)
vec4(-23.919764, 1.746800, -273.997620, 1.000000)
vec4(-23.918663, 1.782500, -273.569519, 1.000000)
vec4(-21.705263, 2.540400, -269.235016, 1.000000)
vec4(-12.163563, 4.250600, -265.931915, 1.000000)
vec4(-22.509964, 2.433800, -269.233002, 1.000000)
vec4(-23.250763, 2.338800, -269.231018, 1.000000)
vec4(-25.353563, 1.562600, -273.610321, 1.000000)
vec4(-23.937063, 2.254100, -269.229309, 1.000000)
vec4(-19.972464, 2.772300, -269.322723, 1.000000)
vec4(-24.576263, 2.178300, -269.227600, 1.000000)
vec4(-20.825764, 2.660800, -269.237305, 1.000000)
vec4(-24.966064, 2.168500, -268.969513, 1.000000)
vec4(-24.964064, 2.275700, -268.197021, 1.000000)
vec4(-25.010464, 3.338000, -261.204620, 1.000000)
vec4(-24.961864, 2.397700, -267.342804, 1.000000)
vec4(-24.959364, 2.537200, -266.390320, 1.000000)
vec4(-24.997463, 2.684000, -265.387817, 1.000000)
vec4(-23.015762, 4.589400, -254.329514, 1.000000)
vec4(-24.891363, 2.908200, -263.984314, 1.000000)
vec4(-24.078064, 4.513300, -254.386505, 1.000000)
vec4(-24.963764, 3.099300, -262.724609, 1.000000)
vec4(-42.129265, 3.119100, -263.486511, 1.000000)
vec4(-42.336761, 3.009100, -264.368195, 1.000000)
vec4(-43.963364, 3.034700, -265.429810, 1.000000)
vec4(-42.607864, 2.933500, -265.085510, 1.000000)
vec4(-43.350662, 3.002800, -265.158295, 1.000000)
vec4(-44.771866, 3.118800, -265.510895, 1.000000)
vec4(-45.591164, 2.812800, -269.025513, 1.000000)
vec4(-45.113762, 3.084300, -266.111908, 1.000000)
vec4(-46.373665, 2.905500, -269.219299, 1.000000)
vec4(-45.116264, 2.975000, -267.009613, 1.000000)
vec4(-46.648262, 2.892100, -269.779907, 1.000000)
vec4(-45.153564, 2.885200, -267.816803, 1.000000)
vec4(-46.495766, 2.796400, -270.581299, 1.000000)
vec4(-50.057266, 3.901200, -264.690216, 1.000000)
vec4(-47.710964, 2.981000, -270.615295, 1.000000)
vec4(-48.356865, 2.999400, -271.722321, 1.000000)
vec4(-48.587563, 3.096400, -270.900513, 1.000000)
vec4(-47.872162, 2.861700, -272.599823, 1.000000)
vec4(-48.745163, 2.868600, -275.528198, 1.000000)
vec4(-49.790764, 3.180200, -272.578705, 1.000000)
vec4(-48.472363, 2.802200, -276.187805, 1.000000)
vec4(-58.326065, 4.713800, -270.671204, 1.000000)
vec4(-48.114162, 2.725300, -276.829010, 1.000000)
vec4(-48.581863, 2.798800, -277.378723, 1.000000)
vec4(-49.133461, 2.890700, -277.957611, 1.000000)
vec4(-64.953461, 5.871600, -269.949921, 1.000000)
vec4(-48.200264, 2.724800, -278.571503, 1.000000)
vec4(-60.262566, 4.970700, -272.296112, 1.000000)
vec4(-55.229763, 3.967200, -279.441895, 1.000000)
vec4(-45.725163, 2.296000, -279.542511, 1.000000)
vec4(-45.841663, 2.325300, -280.049408, 1.000000)
vec4(-44.869865, 2.164100, -280.400909, 1.000000)
vec4(-46.201965, 2.417700, -281.129517, 1.000000)
vec4(-46.328964, 2.460400, -281.688812, 1.000000)
vec4(-49.102661, 2.991100, -282.990814, 1.000000)
vec4(-47.725464, 2.770100, -283.227112, 1.000000)
vec4(-47.947964, 2.847100, -283.933502, 1.000000)
vec4(-45.578964, 2.438200, -283.642212, 1.000000)
vec4(-45.691864, 2.499100, -284.261017, 1.000000)
vec4(-47.595566, 2.728700, -285.785400, 1.000000)
