vec3(-6.944445, 0.000000, -17.797417)
vec4(0.419455, -0.518300, -18.512716, 1.000000)
vec4(0.420155, -0.522200, -18.225117, 1.000000)
vec4(0.420955, -0.527000, -17.932716, 1.000000)
vec4(0.421755, -0.532600, -17.634617, 1.000000)
vec4(0.419455, -0.601600, -18.512817, 1.000000)
vec4(0.420155, -0.606100, -18.225117, 1.000000)
vec4(0.420955, -0.611600, -17.932716, 1.000000)
vec4(0.421755, -0.618100, -17.634617, 1.000000)
vec4(0.427055, -0.626000, -17.328316, 1.000000)
vec4(0.422655, -0.681200, -18.796116, 1.000000)
vec4(0.419455, -0.685000, -18.512817, 1.000000)
vec4(0.420155, -0.690200, -18.225117, 1.000000)
vec4(0.420955, -0.696500, -17.932716, 1.000000)
vec4(0.421755, -0.703800, -17.634716, 1.000000)
vec4(0.428955, -0.713000, -17.327717, 1.000000)
vec4(0.437855, -0.723600, -17.011717, 1.000000)
vec4(0.422655, -0.764400, -18.796217, 1.000000)
vec4(0.419455, -0.768600, -18.512817, 1.000000)
vec4(0.420155, -0.774400, -18.225216, 1.000000)
vec4(0.420955, -0.781500, -17.932817, 1.000000)
vec4(0.421755, -0.789700, -17.634716, 1.000000)
vec4(0.430755, -0.800200, -17.327116, 1.000000)
vec4(0.439655, -0.812100, -17.011116, 1.000000)
vec4(0.417955, -0.843400, -19.077618, 1.000000)
vec4(0.422655, -0.847800, -18.796217, 1.000000)
vec4(0.419455, -0.852400, -18.512917, 1.000000)
vec4(0.420155, -0.858900, -18.225216, 1.000000)
vec4(0.420955, -0.866600, -17.932817, 1.000000)
vec4(0.421755, -0.875800, -17.634716, 1.000000)
vec4(0.432655, -0.887600, -17.326517, 1.000000)
vec4(0.441555, -0.900800, -17.010416, 1.000000)
vec4(0.417955, -0.926500, -19.077717, 1.000000)
vec4(0.422655, -0.931300, -18.796217, 1.000000)
vec4(0.419455, -0.936500, -18.512917, 1.000000)
vec4(0.420155, -0.943500, -18.225216, 1.000000)
vec4(0.420955, -0.952000, -17.932817, 1.000000)
vec4(0.421755, -0.962100, -17.634817, 1.000000)
vec4(0.434555, -0.975300, -17.325916, 1.000000)
vec4(0.443355, -0.989800, -17.009716, 1.000000)
vec4(0.444455, -1.005000, -16.687017, 1.000000)
vec4(0.417255, -1.006700, -19.356516, 1.000000)
vec4(0.417955, -1.009900, -19.077717, 1.000000)
vec4(0.422655, -1.015100, -18.796217, 1.000000)
vec4(0.419455, -1.020700, -18.512917, 1.000000)
vec4(0.420155, -1.028400, -18.225216, 1.000000)
vec4(0.420955, -1.037700, -17.932917, 1.000000)
vec4(0.421755, -1.048600, -17.634817, 1.000000)
vec4(0.436455, -1.063300, -17.325317, 1.000000)
vec4(0.445255, -1.079000, -17.009117, 1.000000)
vec4(0.446355, -1.095600, -16.686216, 1.000000)
vec4(0.417255, -1.090100, -19.356516, 1.000000)
vec4(0.417955, -1.093600, -19.077717, 1.000000)
vec4(0.422655, -1.099200, -18.796316, 1.000000)
vec4(0.419455, -1.105200, -18.513016, 1.000000)
vec4(0.420155, -1.113500, -18.225317, 1.000000)
vec4(0.420955, -1.123600, -17.932917, 1.000000)
vec4(0.421755, -1.135400, -17.634817, 1.000000)
vec4(0.438355, -1.151600, -17.324717, 1.000000)
vec4(0.447055, -1.168600, -17.008417, 1.000000)
vec4(0.448255, -1.186600, -16.685516, 1.000000)
vec4(0.417255, -1.173800, -19.356617, 1.000000)
vec4(0.417955, -1.177500, -19.077816, 1.000000)
vec4(0.422655, -1.183500, -18.796316, 1.000000)
vec4(0.419455, -1.190000, -18.513016, 1.000000)
vec4(0.420155, -1.199000, -18.225317, 1.000000)
vec4(0.420955, -1.209700, -17.932917, 1.000000)
vec4(0.421755, -1.222500, -17.634916, 1.000000)
vec4(0.440255, -1.240200, -17.324116, 1.000000)
vec4(0.448955, -1.258600, -17.007717, 1.000000)
vec4(0.450155, -1.277900, -16.684717, 1.000000)
vec4(0.423055, -1.258700, -19.356216, 1.000000)
vec4(0.423555, -1.262600, -19.077217, 1.000000)
vec4(0.422655, -1.268100, -18.796316, 1.000000)
vec4(0.419455, -1.275100, -18.513016, 1.000000)
vec4(0.420155, -1.284700, -18.225317, 1.000000)
vec4(0.420955, -1.296200, -17.933016, 1.000000)
vec4(0.421755, -1.309900, -17.634916, 1.000000)
vec4(0.442155, -1.329200, -17.323517, 1.000000)
vec4(0.450855, -1.348800, -17.007116, 1.000000)
vec4(0.452055, -1.369600, -16.684017, 1.000000)
vec4(0.438855, -1.390200, -16.357117, 1.000000)
vec4(0.418455, -1.340000, -19.634117, 1.000000)
vec4(0.419155, -1.342300, -19.356516, 1.000000)
vec4(0.419655, -1.346500, -19.077717, 1.000000)
vec4(0.420055, -1.352600, -18.796717, 1.000000)
vec4(0.419455, -1.360500, -18.513016, 1.000000)
vec4(0.420155, -1.370700, -18.225416, 1.000000)
vec4(0.420955, -1.383000, -17.933016, 1.000000)
vec4(0.421755, -1.397600, -17.634916, 1.000000)
vec4(0.443355, -1.418500, -17.323116, 1.000000)
vec4(0.450055, -1.439000, -17.007416, 1.000000)
vec4(0.450355, -1.460900, -16.684717, 1.000000)
vec4(0.436255, -1.482800, -16.358418, 1.000000)
vec4(0.416555, -1.424100, -19.634117, 1.000000)
vec4(0.417255, -1.426600, -19.356716, 1.000000)
vec4(0.417955, -1.431100, -19.077816, 1.000000)
vec4(0.418755, -1.437600, -18.796917, 1.000000)
vec4(0.419455, -1.446300, -18.513117, 1.000000)
vec4(0.420155, -1.457100, -18.225416, 1.000000)
vec4(0.420955, -1.470200, -17.933016, 1.000000)
vec4(0.421755, -1.485700, -17.635017, 1.000000)
vec4(0.443355, -1.507900, -17.323217, 1.000000)
vec4(0.447355, -1.529100, -17.008417, 1.000000)
vec4(0.447555, -1.552400, -16.685917, 1.000000)
vec4(0.433555, -1.575600, -16.359617, 1.000000)
vec4(0.416555, -1.509000, -19.634117, 1.000000)
vec4(0.417255, -1.511500, -19.356716, 1.000000)
vec4(0.417955, -1.516300, -19.077917, 1.000000)
vec4(0.418755, -1.523200, -18.797016, 1.000000)
vec4(0.419455, -1.532400, -18.513117, 1.000000)
vec4(0.420155, -1.543900, -18.225416, 1.000000)
vec4(0.420955, -1.557700, -17.933117, 1.000000)
vec4(0.421755, -1.574100, -17.635017, 1.000000)
vec4(0.443355, -1.597600, -17.323217, 1.000000)
vec4(0.444655, -1.619500, -17.009518, 1.000000)
vec4(0.444755, -1.644200, -16.687117, 1.000000)
vec4(0.430855, -1.668800, -16.360916, 1.000000)
vec4(0.416555, -1.594200, -19.634216, 1.000000)
vec4(0.417255, -1.596900, -19.356716, 1.000000)
vec4(0.417955, -1.601900, -19.077917, 1.000000)
vec4(0.418755, -1.609200, -18.797016, 1.000000)
vec4(0.419455, -1.618900, -18.513117, 1.000000)
vec4(0.420155, -1.631000, -18.225517, 1.000000)
vec4(0.420955, -1.645700, -17.933117, 1.000000)
vec4(0.421755, -1.663000, -17.635017, 1.000000)
vec4(0.441655, -1.687400, -17.323816, 1.000000)
vec4(0.441855, -1.710300, -17.010616, 1.000000)
vec4(0.441955, -1.736300, -16.688316, 1.000000)
vec4(0.428155, -1.762300, -16.362217, 1.000000)
vec4(0.416555, -1.679800, -19.634216, 1.000000)
vec4(0.417255, -1.682700, -19.356716, 1.000000)
vec4(0.417955, -1.687900, -19.077917, 1.000000)
vec4(0.418755, -1.695600, -18.797016, 1.000000)
vec4(0.419455, -1.705800, -18.513216, 1.000000)
vec4(0.420155, -1.718600, -18.225517, 1.000000)
vec4(0.420955, -1.734000, -17.933117, 1.000000)
vec4(0.421755, -1.752200, -17.635117, 1.000000)
vec4(0.438955, -1.777300, -17.324717, 1.000000)
vec4(0.439155, -1.801400, -17.011616, 1.000000)
vec4(0.439155, -1.828800, -16.689617, 1.000000)
vec4(0.425455, -1.856200, -16.363516, 1.000000)
vec4(0.416555, -1.765900, -19.634216, 1.000000)
vec4(0.417255, -1.768900, -19.356817, 1.000000)
vec4(0.417955, -1.774400, -19.078016, 1.000000)
vec4(0.418755, -1.782500, -18.797117, 1.000000)
vec4(0.419455, -1.793200, -18.513216, 1.000000)
vec4(0.420155, -1.806600, -18.225517, 1.000000)
vec4(0.420955, -1.822800, -17.933216, 1.000000)
vec4(0.421755, -1.842000, -17.635117, 1.000000)
vec4(0.436255, -1.867700, -17.325716, 1.000000)
vec4(0.436355, -1.893000, -17.012716, 1.000000)
vec4(0.436355, -1.921700, -16.690817, 1.000000)
vec4(0.425055, -1.951200, -16.363817, 1.000000)
vec4(0.416555, -1.852400, -19.634317, 1.000000)
vec4(0.417255, -1.855500, -19.356817, 1.000000)
vec4(0.417955, -1.861300, -19.078016, 1.000000)
vec4(0.418755, -1.869800, -18.797117, 1.000000)
vec4(0.419455, -1.881000, -18.513216, 1.000000)
vec4(0.420155, -1.895100, -18.225616, 1.000000)
vec4(0.420955, -1.912100, -17.933216, 1.000000)
vec4(0.421755, -1.932200, -17.635117, 1.000000)
vec4(0.433455, -1.958400, -17.326616, 1.000000)
vec4(0.433555, -1.984900, -17.013817, 1.000000)
vec4(0.433455, -2.015000, -16.692017, 1.000000)
vec4(0.425055, -2.046700, -16.363817, 1.000000)
vec4(0.416555, -1.939400, -19.634317, 1.000000)
vec4(0.417255, -1.942700, -19.356817, 1.000000)
vec4(0.417955, -1.948700, -19.078016, 1.000000)
vec4(0.418755, -1.957600, -18.797117, 1.000000)
vec4(0.419455, -1.969400, -18.513317, 1.000000)
vec4(0.420155, -1.984100, -18.225616, 1.000000)
vec4(0.420955, -2.001900, -17.933216, 1.000000)
vec4(0.421755, -2.022900, -17.635216, 1.000000)
vec4(0.430755, -2.049600, -17.327618, 1.000000)
vec4(0.430755, -2.077300, -17.014917, 1.000000)
vec4(0.430655, -2.108800, -16.693317, 1.000000)
vec4(0.425055, -2.142800, -16.363817, 1.000000)
vec4(0.415855, -2.026300, -19.911316, 1.000000)
vec4(0.416555, -2.026900, -19.634317, 1.000000)
vec4(0.417255, -2.030300, -19.356817, 1.000000)
vec4(0.417955, -2.036700, -19.078117, 1.000000)
vec4(0.418755, -2.045900, -18.797117, 1.000000)
vec4(0.419455, -2.058200, -18.513317, 1.000000)
vec4(0.420155, -2.073600, -18.225616, 1.000000)
vec4(0.420955, -2.092200, -17.933317, 1.000000)
vec4(0.421755, -2.114100, -17.635216, 1.000000)
vec4(0.427955, -2.141200, -17.328617, 1.000000)
vec4(0.427955, -2.170200, -17.016016, 1.000000)
vec4(0.427755, -2.203100, -16.694517, 1.000000)
vec4(0.425055, -2.239400, -16.363916, 1.000000)
vec4(0.415855, -2.114400, -19.911316, 1.000000)
vec4(0.416555, -2.114900, -19.634417, 1.000000)
vec4(0.417255, -2.118500, -19.356916, 1.000000)
vec4(0.417955, -2.125100, -19.078117, 1.000000)
vec4(0.418755, -2.134800, -18.797216, 1.000000)
vec4(0.419455, -2.147600, -18.513317, 1.000000)
vec4(0.420155, -2.163600, -18.225718, 1.000000)
vec4(0.420955, -2.183100, -17.933317, 1.000000)
vec4(0.421755, -2.206000, -17.635216, 1.000000)
vec4(0.425155, -2.233300, -17.329517, 1.000000)
vec4(0.425055, -2.263500, -17.017117, 1.000000)
vec4(0.424855, -2.297800, -16.695717, 1.000000)
vec4(0.454255, -2.345900, -16.350317, 1.000000)
vec4(0.318955, -2.345900, -16.074617, 1.000000)
vec4(0.415855, -2.202900, -19.911417, 1.000000)
vec4(0.416555, -2.203500, -19.634417, 1.000000)
vec4(0.417255, -2.207300, -19.356916, 1.000000)
vec4(0.417955, -2.214100, -19.078117, 1.000000)
vec4(0.418755, -2.224200, -18.797216, 1.000000)
vec4(0.419455, -2.237600, -18.513416, 1.000000)
vec4(0.420155, -2.254300, -18.225718, 1.000000)
vec4(0.420955, -2.274500, -17.933317, 1.000000)
vec4(0.421755, -2.298300, -17.635317, 1.000000)
vec4(0.485455, -2.345900, -17.309418, 1.000000)
vec4(0.386155, -2.345900, -17.031816, 1.000000)
vec4(0.276655, -2.345900, -16.758217, 1.000000)
vec4(0.156855, -2.345900, -16.488916, 1.000000)
vec4(0.027055, -2.345900, -16.224316, 1.000000)
vec4(0.415855, -2.292100, -19.911417, 1.000000)
vec4(0.416555, -2.292700, -19.634417, 1.000000)
vec4(0.417255, -2.296600, -19.356916, 1.000000)
vec4(0.417955, -2.303800, -19.078217, 1.000000)
vec4(0.418755, -2.314200, -18.797216, 1.000000)
vec4(0.475655, -2.345900, -18.503616, 1.000000)
vec4(0.421355, -2.345900, -18.225517, 1.000000)
vec4(0.356755, -2.345900, -17.949617, 1.000000)
vec4(0.281655, -2.345900, -17.676416, 1.000000)
vec4(0.196455, -2.345900, -17.406216, 1.000000)
vec4(0.101155, -2.345900, -17.139416, 1.000000)
vec4(-0.004145, -2.345900, -16.876417, 1.000000)
vec4(-0.119245, -2.345900, -16.617617, 1.000000)
vec4(-0.244045, -2.345900, -16.363216, 1.000000)
vec4(-0.378245, -2.345900, -16.113817, 1.000000)
vec4(0.304455, -2.345900, -19.909718, 1.000000)
vec4(0.303255, -2.345900, -19.636917, 1.000000)
vec4(0.291755, -2.345900, -19.364517, 1.000000)
vec4(0.270055, -2.345900, -19.092617, 1.000000)
vec4(0.238155, -2.345900, -18.821817, 1.000000)
vec4(0.195955, -2.345900, -18.552416, 1.000000)
vec4(0.143755, -2.345900, -18.284718, 1.000000)
vec4(0.081555, -2.345900, -18.019318, 1.000000)
vec4(0.009355, -2.345900, -17.756317, 1.000000)
vec4(-0.072645, -2.345900, -17.496317, 1.000000)
vec4(-0.164345, -2.345900, -17.239616, 1.000000)
vec4(-0.265645, -2.345900, -16.986517, 1.000000)
vec4(-0.376445, -2.345900, -16.737417, 1.000000)
vec4(-0.496445, -2.345900, -16.492617, 1.000000)
vec4(-0.625645, -2.345900, -16.252617, 1.000000)
