vec3(-39.089806, 0.000000, -389.486603)
vec4(-68.775665, 3.920400, -438.982300, 1.000000)
vec4(-67.207161, 3.682600, -439.084991, 1.000000)
vec4(-66.575859, 3.632800, -439.620605, 1.000000)
vec4(-66.865959, 3.779800, -440.718903, 1.000000)
vec4(-62.003761, 2.827100, -438.329895, 1.000000)
vec4(-62.139359, 2.935900, -439.179688, 1.000000)
vec4(-61.093960, 2.785300, -439.133606, 1.000000)
vec4(-61.206062, 2.902200, -440.014587, 1.000000)
vec4(-60.529461, 2.838700, -440.221100, 1.000000)
vec4(-60.540863, 3.357200, -444.117584, 1.000000)
vec4(-60.600460, 2.964200, -441.149506, 1.000000)
vec4(-60.319160, 3.462800, -445.020996, 1.000000)
vec4(-58.672962, 2.576500, -439.967987, 1.000000)
vec4(-59.518360, 3.399500, -445.139679, 1.000000)
vec4(-61.343559, 4.226200, -449.475403, 1.000000)
vec4(-59.553761, 2.932700, -441.852386, 1.000000)
vec4(-63.346062, 5.231400, -454.836792, 1.000000)
vec4(-59.832760, 4.583100, -452.547180, 1.000000)
vec4(-61.894260, 5.046100, -454.432281, 1.000000)
vec4(-58.909363, 4.565700, -452.847687, 1.000000)
vec4(-58.217163, 7.855700, -472.311188, 1.000000)
vec4(-58.618862, 4.869100, -454.793884, 1.000000)
vec4(-57.075161, 8.351400, -475.363495, 1.000000)
vec4(-57.873760, 4.993500, -455.798187, 1.000000)
vec4(-57.263161, 10.858100, -489.551483, 1.000000)
vec4(-64.041962, 9.494600, -480.307190, 1.000000)
vec4(-59.917660, 7.918000, -472.273102, 1.000000)
vec4(-23.687660, 10.032900, -479.611389, 1.000000)
vec4(-23.268061, 9.491500, -475.973694, 1.000000)
vec4(-45.758060, 1.092400, -434.534393, 1.000000)
vec4(-7.713161, 10.571300, -472.136688, 1.000000)
vec4(8.542538, 12.861200, -473.375793, 1.000000)
vec4(-26.454161, 5.182000, -447.894806, 1.000000)
vec4(-27.941961, 4.084600, -438.861908, 1.000000)
vec4(10.521038, 12.303400, -465.043488, 1.000000)
vec4(-27.974562, 4.010400, -437.910187, 1.000000)
vec4(-28.006062, 3.944300, -436.990387, 1.000000)
vec4(-28.036661, 3.885600, -436.098389, 1.000000)
vec4(-28.123861, 3.750100, -433.554779, 1.000000)
vec4(-28.066462, 3.833900, -435.230682, 1.000000)
vec4(-41.388062, 1.347000, -430.529694, 1.000000)
vec4(-41.396561, 1.367700, -431.117981, 1.000000)
vec4(-41.404762, 1.335900, -430.238281, 1.000000)
vec4(-41.465862, 1.312200, -429.104889, 1.000000)
vec4(-41.419960, 1.327100, -429.951202, 1.000000)
vec4(-41.475460, 1.312000, -428.824890, 1.000000)
vec4(-41.433662, 1.320600, -429.667084, 1.000000)
vec4(-41.485062, 1.313600, -428.544281, 1.000000)
vec4(-41.446060, 1.316100, -429.385284, 1.000000)
vec4(-41.494762, 1.317100, -428.262390, 1.000000)
